Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Walt Frazier,23,NYK,PG,80,36.9,6.6,13.2,.505,4.3,5.7,.746,6.2,7.9,3.1,17.5,DEF1
Walt Bellamy,29,2TM,C,88,35.9,6.4,12.5,.510,4.6,7.0,.649,12.5,2.0,3.6,17.4,
Clem Haskins,25,CHI,PG,79,36.4,6.8,16.1,.421,3.6,4.6,.781,4.5,3.9,2.9,17.2,
Jerry Sloan,26,CHI,SG,78,37.7,6.3,15.0,.417,4.3,5.7,.745,7.9,3.5,4.0,16.8,"AS,DEF1"
Dave DeBusschere,28,2TM,PF,76,38.7,6.7,15.0,.444,3.0,4.3,.698,11.7,2.5,3.8,16.3,"NBA2,DEF1"
Connie Dierking,32,CIN,C,82,31.0,6.7,15.0,.443,3.0,3.9,.762,9.0,2.7,3.7,16.3,
Sam Jones,35,BOS,SG,70,26.0,7.1,15.8,.450,2.1,2.7,.783,3.8,2.6,1.7,16.3,
Jack Marin,24,BAL,SF,82,33.0,6.2,13.5,.455,3.6,4.3,.830,7.4,2.8,3.4,15.9,
Joe Caldwell,27,ATL,SG,81,33.6,6.9,13.7,.507,2.0,3.7,.537,3.7,4.0,2.9,15.8,AS
John Block,24,SDR,PF,78,31.9,5.7,13.6,.422,3.8,5.1,.748,9.0,1.8,3.2,15.3,
Len Chappell,28,MIL,PF,80,27.6,5.7,12.6,.454,3.1,4.2,.737,8.0,1.2,3.1,14.6,
Jim Barnett,24,SDR,SG,80,29.3,5.8,13.7,.425,2.9,3.9,.752,4.5,4.2,3.0,14.5,
Fred Hetzel,26,2TM,SF,84,27.1,5.4,12.5,.436,3.6,4.3,.838,7.3,1.3,3.4,14.4,
Luke Jackson,27,PHI,C,25,33.6,5.8,13.3,.437,2.8,3.9,.711,11.4,2.2,4.1,14.4,
Larry Siegfried,29,BOS,PG,79,32.4,5.0,13.1,.380,4.3,4.9,.864,3.6,4.7,2.8,14.2,
Tom Meschery,30,SEA,SF,82,32.6,5.6,12.4,.453,2.7,3.6,.736,10.0,2.4,3.7,14.0,
Jim Washington,25,CHI,SF,80,33.8,5.5,12.8,.430,3.0,4.5,.677,10.6,1.3,2.8,14.0,
Wes Unseld,22,BAL,C,82,36.2,5.2,10.9,.476,3.4,5.6,.605,18.2,2.6,3.4,13.8,"MVP-1,ROY-1,AS,NBA1"
Archie Clark,27,PHI,SG,82,26.1,5.4,11.3,.478,2.7,3.8,.697,3.2,3.6,2.3,13.5,
Eddie Miles,28,DET,SG,80,28.2,5.5,12.3,.449,2.3,3.4,.667,3.5,2.3,2.5,13.3,
Wali Jones,26,PHI,PG,81,28.9,5.3,12.4,.430,2.6,3.2,.809,3.1,3.6,3.5,13.2,
Wayne Embry,31,MIL,C,78,30.2,4.9,11.5,.427,3.3,5.0,.664,8.6,1.9,3.9,13.1,
John Tresvant,29,2TM,PF,77,32.2,4.9,10.6,.463,2.6,4.3,.612,8.9,2.2,3.9,12.5,
Bill Bradley,25,NYK,SF,82,29.4,5.0,11.6,.429,2.5,3.1,.814,4.3,3.7,3.6,12.4,
Mel Counts,27,LAL,PF,77,24.2,5.1,11.3,.450,2.3,2.9,.805,7.8,1.4,2.9,12.4,
Art Harris,22,SEA,SG,80,32.0,5.2,13.2,.395,2.0,3.1,.641,3.8,3.2,4.1,12.4,
Don Ohl,32,ATL,SG,76,26.3,5.1,11.9,.427,1.9,2.7,.707,2.2,2.9,3.1,12.1,
Dick Snyder,24,PHO,SF,81,26.0,4.9,10.4,.472,2.3,3.1,.725,4.0,2.6,2.6,12.1,
Joe Ellis,24,SFW,SF,74,23.4,5.0,12.7,.395,2.0,2.7,.731,6.5,1.8,3.5,12.0,
Bill Bridges,29,ATL,PF,80,36.6,4.4,9.7,.453,3.0,4.4,.677,14.2,3.7,3.6,11.8,DEF2
Ray Scott,30,BAL,PF,82,26.4,4.7,11.3,.416,2.4,3.1,.759,8.8,1.6,2.6,11.8,
Jimmy Walker,24,DET,SG,69,23.8,4.5,9.7,.466,2.6,3.3,.795,2.3,3.2,2.5,11.7,
Don Nelson,28,BOS,SF,82,21.6,4.6,9.4,.485,2.5,3.2,.776,5.6,1.1,2.4,11.6,
Rod Thorn,27,SEA,SG,29,19.6,4.5,9.8,.463,2.4,3.3,.732,2.9,2.8,2.0,11.5,
Howard Komives,27,2TM,PG,85,30.1,4.5,11.5,.389,2.5,3.1,.799,3.5,4.7,3.2,11.4,
Walt Hazzard,26,ATL,PG,80,30.3,4.3,10.9,.397,2.6,3.7,.707,3.3,5.9,3.3,11.2,
Tom Sanders,30,BOS,SF,82,26.6,4.4,10.3,.430,2.3,3.1,.733,7.0,1.3,3.6,11.2,DEF2
Gary Gregor,23,PHO,PF,80,27.3,5.0,12.0,.415,1.1,1.6,.649,8.9,1.2,3.1,11.1,
Jim Fox,25,2TM,C,76,31.0,4.2,8.9,.470,2.5,3.5,.715,10.8,2.2,3.5,10.9,
Clyde Lee,24,SFW,PF,65,34.4,4.1,10.4,.398,2.5,3.9,.625,13.8,1.3,3.5,10.7,
Al Tucker,25,2TM,PF,84,22.4,4.3,9.6,.446,1.9,2.9,.648,5.2,0.9,2.2,10.5,
Guy Rodgers,33,MIL,PG,81,26.6,4.0,10.6,.377,2.3,2.9,.793,2.8,6.9,2.6,10.3,
Bill Russell,34,BOS,C,77,42.7,3.6,8.4,.433,2.6,5.0,.526,19.3,4.9,3.0,9.9,"MVP-4,AS,DEF1"
Dave Gambee,31,2TM,SF,59,15.7,3.6,7.9,.452,2.7,3.3,.815,4.4,0.8,2.7,9.8,
Tom Boerwinkle,23,CHI,C,80,29.6,4.0,10.4,.383,1.8,2.8,.653,11.1,2.2,4.0,9.8,
Adrian Smith,32,CIN,SG,73,18.3,3.3,7.7,.432,3.0,3.7,.807,1.4,1.7,2.3,9.6,
Stan McKenzie,24,PHO,SF,80,19.6,3.3,7.7,.427,2.7,3.6,.763,3.1,1.5,2.4,9.3,
Darrall Imhoff,30,PHI,C,82,28.8,3.4,7.2,.470,2.4,4.0,.597,9.7,2.7,3.8,9.2,
McCoy McLemore,26,2TM,SF,81,20.0,3.5,8.9,.391,2.1,2.6,.790,5.0,1.2,2.3,9.0,
George Wilson,26,2TM,C,79,23.4,3.4,8.4,.410,1.9,3.0,.651,9.1,1.4,2.9,8.8,
Jim Davis,27,ATL,C,78,17.5,3.4,7.3,.467,2.0,3.0,.667,6.8,1.2,3.1,8.8,
Terry Dischinger,28,DET,SF,75,19.4,3.5,6.8,.515,1.7,2.4,.730,4.3,1.2,3.1,8.8,
Pat Riley,23,SDR,SG,56,18.3,3.6,8.9,.406,1.6,2.4,.672,2.0,2.4,2.6,8.8,
Paul Silas,25,ATL,PF,79,23.5,3.1,7.3,.419,2.6,4.2,.613,9.4,1.8,2.1,8.7,
Johnny Egan,30,LAL,PG,82,22.0,3.0,7.3,.412,2.5,2.9,.850,1.8,2.6,2.5,8.5,
Keith Erickson,24,LAL,SG,77,25.6,3.4,8.2,.420,1.6,2.3,.686,4.0,2.5,2.9,8.4,
Al Attles,32,SFW,PG,51,29.7,3.2,7.0,.451,1.9,2.9,.638,3.5,6.0,3.6,8.2,
Greg Smith,22,MIL,PF,79,27.9,3.5,7.8,.450,1.2,2.0,.587,10.2,1.7,3.3,8.1,
Bob Warlick,27,2TM,SG,66,15.1,3.2,7.7,.418,1.3,2.2,.613,2.3,2.0,1.8,7.8,
Bob Kauffman,22,SEA,C,82,20.2,2.7,6.0,.442,2.5,3.5,.702,5.9,1.0,3.1,7.8,
Toby Kimball,26,SDR,PF,76,22.1,3.1,7.1,.445,1.5,3.3,.468,8.8,1.2,2.8,7.8,
Stu Lantz,22,SDR,SG,73,18.9,3.0,6.6,.456,1.8,2.3,.772,3.2,1.4,2.4,7.8,
Bill Turner,24,SFW,SF,79,18.8,2.8,6.8,.415,2.2,2.9,.761,4.8,0.8,2.9,7.8,
Ron Williams,24,SFW,PG,75,19.6,3.2,7.6,.420,1.5,1.9,.768,2.4,3.3,2.3,7.8,
Jim King,27,SFW,PG,46,22.0,3.0,8.6,.348,1.7,2.3,.722,2.6,2.7,2.2,7.7,
Otto Moore,22,DET,C,74,21.7,3.3,7.4,.443,1.2,2.3,.524,7.1,0.9,2.5,7.7,
Walt Wesley,24,CIN,C,82,16.3,3.0,6.5,.459,1.6,2.5,.647,4.9,0.6,2.3,7.6,
Barry Clemens,25,CHI,SF,75,19.3,3.1,8.4,.374,1.1,1.7,.656,4.2,1.7,2.2,7.4,
Zaid Abdul-Aziz,22,2TM,C,49,19.3,2.9,8.0,.369,1.4,2.3,.619,8.3,0.8,2.3,7.3,
Leroy Ellis,28,BAL,C,80,20.0,2.9,6.6,.435,1.5,1.9,.755,6.4,0.9,2.1,7.2,
Bill Hewitt,24,LAL,PF,75,19.4,3.2,7.0,.453,0.8,1.4,.575,4.4,1.0,1.9,7.2,
Tom Hawkins,32,LAL,SF,74,20.4,3.1,6.2,.499,0.8,2.0,.411,3.6,1.1,2.3,7.1,
Phil Jackson,23,NYK,PF,47,19.7,2.7,6.3,.429,1.7,2.5,.672,5.2,0.9,3.6,7.1,
Art Williams,29,SDR,PG,79,25.2,2.9,7.5,.383,1.3,1.9,.705,4.6,6.6,3.0,7.1,
Bob Weiss,26,2TM,PG,77,19.2,2.5,6.5,.379,1.7,2.1,.800,2.1,2.6,2.3,6.6,
John Barnhill,30,BAL,PG,30,16.8,2.5,5.8,.434,1.3,2.2,.600,1.8,2.4,2.1,6.4,
Rick Adelman,22,SDR,PG,77,18.8,2.3,5.8,.394,1.7,2.6,.642,2.8,3.1,2.1,6.3,
Freddie Crawford,27,LAL,SG,81,20.9,2.6,5.6,.465,1.0,1.9,.539,2.7,1.9,2.8,6.2,
Joe Kennedy,22,SEA,SF,72,17.2,2.4,6.1,.395,1.4,1.7,.790,3.3,0.8,2.2,6.2,
Dave Lattin,25,PHO,PF,68,14.5,2.2,5.4,.410,1.6,2.5,.634,4.8,0.7,2.4,6.0,
Bob Love,26,2TM,PF,49,11.1,2.2,5.6,.397,1.4,2.0,.740,3.1,0.3,1.2,5.9,
Neil Johnson,25,PHO,PF,80,16.5,2.2,4.6,.481,1.4,2.2,.621,5.0,1.7,2.7,5.8,
Dale Schlueter,23,SFW,C,31,18.0,2.2,5.1,.433,1.5,2.6,.549,7.0,1.0,2.6,5.8,
Em Bryant,30,BOS,PG,80,17.4,2.5,6.1,.404,0.8,1.3,.650,2.4,2.2,3.3,5.7,
Richie Guerin,36,ATL,SG,27,17.5,1.7,4.1,.423,2.1,2.7,.770,2.2,3.7,2.4,5.6,
Dorie Murrey,25,SEA,PF,38,12.2,2.0,5.1,.387,1.6,2.6,.639,3.9,0.6,2.1,5.6,
Dave Newmark,22,CHI,C,81,14.3,2.3,5.9,.389,1.1,1.7,.619,4.3,0.7,2.5,5.6,
George Lehmann,27,ATL,PG,11,12.5,2.4,6.1,.388,0.7,1.1,.667,0.8,2.5,1.6,5.5,
Jim Barnes,27,2TM,C,59,12.0,1.9,4.4,.441,1.3,1.9,.676,3.8,0.5,2.1,5.2,
Tommy Kron,25,SEA,SG,76,14.8,1.9,4.9,.392,1.3,1.8,.701,2.8,2.5,2.4,5.1,
Bobby Lewis,23,SFW,SG,62,12.2,1.8,4.7,.390,1.3,1.8,.735,1.8,1.2,1.9,5.0,
Erwin Mueller,24,2TM,PF,78,17.4,1.8,4.9,.375,1.1,2.1,.549,3.8,2.4,1.8,4.8,
Johnny Green,35,PHI,PF,74,10.7,2.0,3.8,.518,0.8,1.7,.456,4.5,0.6,1.5,4.7,
Ed Manning,25,BAL,PF,63,11.5,2.0,4.6,.448,0.6,0.9,.648,3.9,0.3,1.9,4.7,
Dick Cunningham,22,MIL,C,77,16.1,1.8,4.3,.425,0.9,1.4,.651,5.7,0.8,2.2,4.6,
Don May,23,NYK,SF,48,11.7,1.7,4.6,.363,0.9,1.2,.724,2.4,0.7,1.3,4.3,
Bill Dinwiddie,25,CIN,SF,69,14.9,1.8,5.1,.352,0.7,1.3,.517,3.5,0.8,2.1,4.2,
Sonny Dove,23,DET,PF,29,8.1,1.6,3.4,.470,0.8,1.2,.667,2.1,0.4,1.7,4.1,
Skip Harlicka,22,ATL,PG,26,8.4,1.6,3.5,.456,0.9,1.2,.774,0.6,1.4,1.1,4.1,
Sam Williams,24,MIL,SG,55,11.4,1.4,4.1,.342,1.3,2.4,.537,2.0,1.1,1.9,4.1,
Don Chaney,22,BOS,SG,20,10.5,1.8,5.7,.319,0.4,1.0,.400,2.3,1.0,1.6,4.0,
Cliff Anderson,24,LAL,SG,35,8.3,1.3,3.1,.407,1.3,2.3,.573,1.3,0.9,1.7,3.9,
Hank Finkel,26,SDR,C,35,9.5,1.4,3.2,.441,0.9,1.2,.756,3.1,0.6,1.5,3.7,
Shaler Halimon,23,PHI,SF,50,7.0,1.8,3.9,.449,0.2,0.6,.313,1.7,0.4,0.7,3.7,
Fred Foster,22,CIN,SF,56,8.9,1.3,3.4,.383,0.8,1.2,.652,1.1,0.6,0.9,3.4,
Matt Guokas,24,PHI,SF,72,11.6,1.3,3.0,.426,0.8,1.1,.667,1.3,1.4,1.7,3.3,
Rich Niemann,22,2TM,C,34,8.0,1.3,3.1,.415,0.6,0.7,.760,2.9,0.5,1.8,3.1,
Bob Quick,22,BAL,SF,28,5.5,1.1,2.6,.411,1.0,1.6,.614,0.9,0.4,0.5,3.1,
John Trapp,23,SDR,SF,25,5.7,1.2,3.2,.363,0.8,1.2,.655,2.0,0.2,1.5,3.1,
Dennis Hamilton,24,ATL,PF,25,5.6,1.5,2.7,.552,0.1,0.2,.400,1.2,0.3,0.8,3.0,
Jay Miller,25,MIL,SF,3,9.0,0.7,3.3,.200,1.7,2.3,.714,0.7,0.0,1.3,3.0,
Charlie Paulk,22,MIL,PF,17,12.8,1.1,4.9,.226,0.8,1.4,.565,4.6,0.2,1.5,3.0,
Nate Bowman,25,NYK,C,67,9.1,1.2,3.4,.363,0.4,0.9,.475,3.3,0.8,2.1,2.9,
Barry Orms,22,BAL,PG,64,14.3,1.2,3.8,.309,0.5,0.9,.483,2.5,0.8,2.4,2.8,
Loy Petersen,23,CHI,SG,38,7.9,1.2,2.9,.404,0.5,0.7,.704,1.1,0.7,1.0,2.8,
Jay Carty,27,LAL,PF,28,6.9,1.2,3.2,.382,0.3,0.4,.727,2.1,0.4,1.1,2.7,
Pat Frink,23,CIN,SG,48,7.6,1.0,3.1,.340,0.5,0.6,.793,0.9,1.1,1.1,2.6,
Bill Hosket,22,NYK,PF,50,7.0,1.1,2.5,.431,0.5,0.8,.571,1.9,0.4,1.5,2.6,
Tom Workman,24,BAL,,21,4.1,1.0,2.6,.407,0.4,0.7,.600,1.3,0.1,0.8,2.5,
Mike Riordan,23,NYK,SF,54,7.4,0.9,2.7,.340,0.5,0.8,.667,1.1,0.9,1.7,2.3,
Al Hairston,23,SEA,SG,39,7.0,1.0,2.9,.333,0.2,0.4,.571,0.9,1.0,0.9,2.2,
Rich Johnson,22,BOS,C,31,5.3,0.9,2.5,.382,0.4,0.7,.478,1.7,0.2,1.3,2.2,
Harry Barnes,23,SDR,SF,22,5.7,0.8,2.9,.281,0.3,0.6,.538,1.2,0.2,1.1,2.0,
Bud Olsen,28,2TM,PF,17,6.6,0.9,2.5,.357,0.2,1.1,.222,1.5,0.6,0.8,2.0,
Craig Raymond,23,PHI,C,27,6.6,0.8,2.4,.344,0.4,0.6,.647,2.5,0.3,1.7,2.0,
Bob Ferry,31,BAL,C,7,5.1,0.7,2.0,.357,0.4,0.9,.500,1.3,0.6,0.4,1.9,
Bob Allen,22,SFW,PF,27,8.6,0.5,1.6,.326,0.7,1.3,.556,2.1,0.4,1.0,1.8,
Ken Wilburn,24,CHI,SF,4,3.5,0.8,2.0,.375,0.3,1.0,.250,0.8,0.3,0.3,1.8,
Mal Graham,23,BOS,PG,22,4.7,0.6,2.5,.236,0.5,0.6,.786,1.1,0.6,1.2,1.7,
Plummer Lott,23,SEA,SF,23,7.0,0.7,2.9,.258,0.1,0.2,.400,1.3,0.3,0.4,1.6,
Cliff Williams,23,DET,,3,6.0,0.7,3.0,.222,0.0,0.0,,1.0,0.7,2.3,1.3,
Rod Knowles,22,PHO,,8,5.0,0.5,1.8,.286,0.1,0.4,.333,1.1,0.0,1.3,1.1,
Doug Sims,25,CIN,,4,3.0,0.5,1.3,.400,0.0,0.0,,1.0,0.0,1.0,1.0,
Ed Biedenbach,23,PHO,,7,2.6,0.0,0.9,.000,0.6,0.9,.667,0.3,0.4,0.1,0.6,
Dwight Waller,23,ATL,,11,2.6,0.2,0.8,.222,0.3,0.6,.429,0.9,0.1,0.7,0.6,
