Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Elvin Hayes,23,SDR,C,82,45.1,11.3,25.4,.447,5.7,9.1,.626,17.1,1.4,3.2,28.4,"ROY-2,AS"
Jerry West,30,LAL,SG,61,39.2,8.9,19.0,.471,8.0,9.8,.821,4.3,6.9,2.6,25.9,"AS,NBA2,DEF2"
Earl Monroe,24,BAL,SG,80,38.4,10.1,23.0,.440,5.6,7.3,.768,3.5,4.9,3.3,25.8,"AS,NBA1"
Elgin Baylor,34,LAL,SF,76,40.3,9.6,21.5,.447,5.5,7.5,.743,10.6,5.4,2.7,24.8,"MVP-5,AS,NBA1"
Billy Cunningham,25,PHI,PF,82,40.8,9.0,21.2,.426,6.8,9.2,.737,12.8,3.5,4.0,24.8,"MVP-3,AS,NBA1"
Oscar Robertson,30,CIN,PG,79,43.8,8.3,17.1,.486,8.1,9.7,.838,6.4,9.8,2.9,24.7,"AS,NBA1"
Bob Rule,24,SEA,C,82,37.9,9.5,20.2,.469,5.0,7.4,.682,11.5,1.7,3.9,24.0,
Gail Goodrich,25,PHO,PG,81,40.0,8.9,21.6,.411,6.1,8.2,.747,5.4,6.4,3.1,23.8,AS
Dave Bing,25,DET,PG,77,39.5,8.8,20.7,.425,5.8,8.1,.713,5.0,7.1,3.3,23.4,AS
Hal Greer,32,PHI,SG,82,40.4,8.9,19.5,.459,5.3,6.6,.796,5.3,5.0,3.6,23.1,"AS,NBA2"
Jeff Mullins,26,SFW,SG,78,37.4,8.9,19.4,.459,4.9,5.8,.843,5.9,4.3,3.2,22.8,AS
Kevin Loughery,28,BAL,PG,80,39.2,9.0,20.5,.438,4.7,5.8,.803,3.3,4.8,3.7,22.6,
Don Kojis,30,SDR,SF,81,38.6,8.5,19.5,.434,5.5,7.4,.748,9.6,2.6,3.7,22.5,AS
Lenny Wilkens,31,SEA,PG,82,42.2,7.9,17.8,.440,6.7,8.7,.770,6.2,8.2,3.6,22.4,AS
Lou Hudson,24,ATL,SF,81,35.4,8.8,18.0,.492,4.2,5.4,.777,6.6,2.7,3.1,21.9,AS
Bob Boozer,31,CHI,PF,79,36.4,8.4,17.4,.481,5.0,6.2,.806,7.8,2.0,2.8,21.7,
John Havlicek,28,BOS,SG,82,38.7,8.4,20.8,.405,4.7,6.0,.780,7.0,5.4,3.0,21.6,"AS,NBA2,DEF2"
Zelmo Beaty,29,ATL,C,72,35.8,8.2,17.4,.470,5.1,7.0,.731,11.1,1.8,3.8,21.5,
Nate Thurmond,27,SFW,C,71,45.2,8.0,19.6,.410,5.4,8.7,.615,19.7,3.6,2.4,21.5,DEF1
Willis Reed,26,NYK,C,82,37.9,8.6,16.5,.521,4.0,5.3,.747,14.5,2.3,3.8,21.1,"MVP-2,AS,NBA2"
Dick Van Arsdale,25,PHO,SG,80,42.4,7.7,17.3,.442,5.7,8.1,.705,6.9,4.8,3.1,21.0,AS
Rudy LaRusso,31,SFW,SF,75,37.1,7.4,18.0,.410,5.9,7.5,.794,8.3,2.1,3.6,20.7,"AS,DEF2"
Wilt Chamberlain,32,LAL,C,81,45.3,7.9,13.6,.583,4.7,10.6,.446,21.1,4.5,1.8,20.5,AS
Flynn Robinson,27,2TM,PG,83,31.5,7.5,17.4,.433,5.0,5.9,.839,3.7,4.5,3.1,20.0,
Bailey Howell,32,BOS,PF,78,32.4,7.8,16.1,.487,4.0,5.5,.735,8.8,1.8,3.7,19.7,
Jon McGlocklin,25,MIL,SG,80,36.1,8.3,17.0,.487,3.1,3.7,.842,4.3,3.9,2.3,19.6,AS
Tom Van Arsdale,25,CIN,SG,77,39.7,7.1,16.0,.444,5.2,6.9,.747,4.6,2.7,3.9,19.4,
Jerry Lucas,28,CIN,PF,74,41.6,7.5,13.6,.551,3.3,4.4,.755,18.4,4.1,2.8,18.3,AS
Cazzie Russell,24,NYK,SF,50,32.9,7.2,16.1,.450,3.8,4.8,.796,4.2,2.3,2.8,18.3,
Happy Hairston,26,DET,PF,81,35.7,6.5,14.0,.469,5.0,6.8,.731,11.8,1.3,3.1,18.1,
Chet Walker,28,PHI,SF,82,33.6,6.8,14.0,.484,4.5,5.6,.804,7.8,1.8,3.0,18.0,
Gus Johnson,30,BAL,PF,49,34.1,7.3,16.0,.459,3.3,4.6,.717,11.6,2.0,3.6,17.9,AS
Dick Barnett,32,NYK,SG,82,36.0,6.9,14.9,.463,3.8,4.9,.774,3.1,3.5,2.9,17.6,
