Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Dick Snyder,27,SEA,SG,73,,34.7,6.8,12.8,.529,3.0,3.5,.842,3.1,3.9,2.7,16.6,
Jerry Sloan,29,CHI,SG,82,,37.0,6.5,14.7,.444,3.1,4.8,.660,8.4,2.6,3.8,16.2,"MVP-21,DEF1"
Walt Hazzard,29,BUF,PG,72,,33.2,6.3,13.9,.451,3.3,4.2,.782,3.0,5.6,3.2,15.8,
Clem Haskins,28,PHO,PG,79,,31.1,6.4,13.3,.483,2.8,3.3,.853,3.4,3.7,2.5,15.7,
Neal Walk,23,PHO,C,81,,26.4,6.2,13.0,.479,3.2,4.2,.744,8.2,1.9,3.6,15.7,
Butch Beard,24,CLE,PG,68,,35.8,5.8,12.5,.464,3.8,5.0,.760,4.1,6.7,3.1,15.4,AS
Dave DeBusschere,31,NYK,PF,80,,38.4,6.5,15.2,.427,2.4,3.3,.728,11.3,3.6,2.7,15.4,"MVP-10,AS,DEF1"
Bob Rule,27,2TM,C,76,53,29.3,6.1,13.9,.436,3.0,4.4,.675,7.0,1.5,2.5,15.1,
Bill Bradley,28,NYK,SF,78,,35.6,6.5,13.9,.465,2.2,2.6,.849,3.2,4.0,3.3,15.1,MVP-25
Bingo Smith,25,CLE,SF,82,,33.3,6.4,14.5,.443,2.2,2.7,.795,6.1,3.0,2.7,15.0,
Rudy Tomjanovich,23,HOU,PF,78,,34.5,6.4,12.9,.495,2.2,3.1,.723,11.8,1.5,2.5,15.0,
Wilt Chamberlain,35,LAL,C,82,,42.3,6.0,9.3,.649,2.7,6.4,.422,19.2,4.0,2.4,14.8,"MVP-3,AS,NBA2,DEF1"
Zaid Abdul-Aziz,25,SEA,C,58,,30.7,5.6,12.9,.429,2.7,3.7,.720,11.3,2.1,3.1,13.8,
Stan McKenzie,27,POR,SF,82,,24.8,5.0,10.2,.492,3.8,4.6,.831,3.3,1.8,2.9,13.8,
Don Nelson,31,BOS,PF,82,,25.4,4.7,9.9,.480,4.3,5.5,.788,5.5,2.3,2.7,13.8,
Fred Carter,26,2TM,SG,79,50,28.0,5.6,12.9,.438,2.3,3.7,.621,4.1,2.7,3.1,13.6,MVP-25
Lucius Allen,24,MIL,PG,80,,29.0,5.5,10.9,.505,2.5,3.2,.764,3.2,4.2,2.7,13.5,
Willis Reed,29,NYK,C,11,,33.0,5.5,12.5,.438,2.5,3.5,.692,8.7,2.0,2.7,13.4,
Randy Smith,23,BUF,SF,76,,27.6,5.7,11.8,.482,2.1,3.3,.622,4.8,2.5,2.7,13.4,
Happy Hairston,29,LAL,PF,80,,34.4,4.6,10.0,.461,3.9,5.0,.779,13.1,2.4,3.1,13.1,
Rick Roberson,24,CLE,PF,63,,35.0,4.8,10.9,.442,3.4,5.8,.587,12.7,1.7,4.0,13.1,
Wes Unseld,25,BAL,C,76,,41.7,5.4,10.8,.498,2.3,3.6,.629,17.6,3.7,2.9,13.0,AS
Bill Bridges,32,2TM,PF,78,62,35.3,4.9,10.0,.487,2.8,4.1,.703,13.5,2.5,3.4,12.6,
Jim Washington,28,2TM,PF,84,11,35.3,4.7,10.5,.444,3.0,3.8,.793,8.8,1.7,3.3,12.4,
Kevin Loughery,31,2TM,SG,76,29,23.3,4.5,10.6,.422,3.5,4.2,.822,2.4,2.6,2.8,12.4,
Jim Barnett,27,GSW,PG,80,,27.5,4.7,11.4,.409,3.1,3.7,.836,3.1,3.9,2.4,12.4,
Walt Wesley,27,CLE,C,82,,26.6,5.0,12.3,.410,2.4,3.5,.674,8.7,0.9,3.0,12.4,
Phil Chenier,21,BAL,SG,81,,30.6,5.0,12.1,.415,2.2,3.0,.737,3.3,2.5,2.4,12.3,
Dick Barnett,35,NYK,SG,79,,28.6,5.1,11.6,.437,2.1,2.7,.753,1.9,2.5,2.9,12.2,
Earl Monroe,27,2TM,SG,63,,21.2,4.6,10.5,.434,2.8,3.6,.781,1.6,2.3,2.2,11.9,
Don Chaney,25,BOS,SG,79,,28.8,4.7,9.9,.475,2.5,3.2,.773,5.0,2.6,3.7,11.9,DEF2
Fred Foster,25,PHI,SF,74,14,23.0,4.7,11.3,.415,2.5,3.3,.761,3.7,1.2,2.5,11.9,
Nate Williams,21,CIN,SG,81,,26.8,5.2,12.0,.432,1.6,2.1,.738,4.6,2.1,3.7,11.9,
Elgin Baylor,37,LAL,SF,9,,26.6,4.7,10.8,.433,2.4,3.0,.815,6.3,2.0,2.2,11.8,
Hal Greer,35,PHI,PG,81,52,29.8,4.8,10.7,.449,2.2,2.9,.774,3.3,3.9,3.3,11.8,
Dale Schlueter,26,POR,C,81,,33.2,4.4,8.3,.525,3.0,4.0,.739,10.6,3.5,3.4,11.7,
Fred Hilton,24,BUF,SG,61,,22.1,5.1,13.0,.389,1.5,2.0,.738,2.6,1.9,2.4,11.6,
Sam Lacey,23,CIN,C,81,,35.0,5.1,12.0,.422,1.5,2.1,.704,12.0,2.1,3.5,11.6,
Jim Fox,28,2TM,C,81,,26.9,4.4,9.7,.449,2.8,3.7,.764,8.8,1.1,3.2,11.5,
Norm Van Lier,24,2TM,PG,79,,30.6,4.2,9.6,.439,3.0,3.8,.790,4.5,6.9,3.0,11.5,DEF2
Don Adams,24,2TM,SF,73,,28.4,4.3,10.9,.392,2.8,3.8,.745,6.9,1.9,3.6,11.4,
Don Kojis,33,SEA,SF,73,,25.4,4.4,9.4,.469,2.6,3.2,.793,4.6,1.1,2.3,11.4,
Curtis Rowe,22,DET,PF,82,,32.5,4.5,9.8,.460,2.3,3.5,.669,8.5,1.2,2.1,11.3,ROY-5
Bob Weiss,29,CHI,PG,82,,29.9,4.4,10.1,.430,2.6,3.1,.835,2.1,4.6,2.6,11.3,
Gary Gregor,26,POR,SF,82,,28.9,4.9,10.8,.451,1.4,1.8,.755,7.2,2.3,2.5,11.1,
Dick Garrett,25,BUF,SG,73,,26.1,4.5,10.1,.442,1.9,2.2,.866,3.1,2.3,3.1,10.8,
Jon McGlocklin,28,MIL,SG,80,,27.7,4.7,9.2,.510,1.4,1.6,.865,2.3,2.9,1.8,10.7,
Dave Stallworth,30,2TM,SF,78,,26.2,4.3,10.0,.432,1.9,2.4,.809,5.6,2.0,2.8,10.6,
Lee Winfield,24,SEA,PG,81,,25.2,4.2,8.5,.496,2.2,3.2,.668,2.7,3.6,2.4,10.6,
Herm Gilliam,25,ATL,PG,82,,28.5,4.2,9.4,.446,1.8,2.1,.838,4.1,4.6,2.8,10.2,
Rick Adelman,25,POR,PG,80,,30.6,4.1,9.4,.437,1.9,2.5,.751,2.9,5.2,2.6,10.1,
John Mengelt,22,CIN,SG,78,,18.4,3.7,7.8,.474,2.7,3.2,.825,1.9,1.9,2.1,10.0,
Cliff Meely,24,HOU,PF,77,,23.6,4.1,10.1,.406,1.7,2.6,.675,6.6,1.5,3.3,9.9,
Flynn Robinson,30,LAL,SG,64,,15.7,4.1,8.4,.490,1.7,2.0,.860,1.8,2.2,2.2,9.9,
Charlie Davis,22,CLE,SG,61,,18.8,3.8,9.3,.402,2.3,2.8,.840,1.5,2.0,2.3,9.8,
Johnny Green,38,CIN,PF,82,,23.3,4.0,7.1,.569,1.7,3.0,.564,6.8,1.5,2.9,9.8,
Ron Williams,27,GSW,PG,80,,24.2,3.6,7.7,.474,2.4,2.9,.833,1.8,3.9,2.9,9.7,
Mike Riordan,26,2TM,SF,58,,23.7,4.0,8.6,.467,1.4,2.1,.677,2.2,2.2,2.2,9.5,
Terry Dischinger,31,DET,SF,79,,26.1,3.7,7.3,.514,2.0,2.5,.780,4.3,1.2,3.7,9.4,
Jim McDaniels,23,SEA,C,12,,19.6,4.3,10.3,.415,0.9,1.5,.611,6.8,0.8,2.2,9.4,AS
Mike Davis,25,BUF,SG,62,,17.2,3.4,8.1,.425,2.2,2.9,.767,1.9,1.3,2.3,9.1,
Mo Layton,23,PHO,PG,80,,23.1,3.8,9.0,.424,1.5,2.1,.739,2.1,3.1,2.7,9.1,
Greg Smith,25,2TM,SF,82,,27.5,3.8,8.2,.461,1.4,2.0,.661,5.9,2.7,3.2,8.9,
Howard Komives,30,DET,PG,79,,26.2,3.3,8.9,.373,2.1,2.6,.808,2.2,3.7,2.5,8.7,
John Block,27,MIL,PF,79,,19.3,2.9,6.7,.440,2.6,3.5,.749,5.2,1.2,2.7,8.5,
Joe Ellis,27,GSW,SF,78,,18.7,3.6,8.7,.411,1.2,1.7,.720,5.0,1.2,2.9,8.4,
William Smith,22,POR,C,22,,20.4,3.3,7.9,.416,1.7,2.9,.594,6.1,0.9,3.3,8.3,
Clyde Lee,27,GSW,PF,78,,34.3,3.3,7.0,.471,1.5,2.8,.541,14.5,1.1,3.1,8.1,
Dave Wohl,22,PHI,PG,79,32,20.6,3.1,7.2,.429,2.0,2.6,.757,1.9,2.9,2.9,8.1,
Gar Heard,23,SEA,PF,58,,25.8,3.3,8.2,.401,1.4,2.2,.617,7.6,0.9,2.2,7.9,
Stan Love,22,BAL,PF,74,,17.9,3.3,7.2,.451,1.4,1.9,.736,4.6,0.7,2.7,7.9,
Don May,26,ATL,SF,75,,17.1,3.1,6.3,.492,1.7,2.2,.768,2.9,0.7,1.8,7.9,
Charlie Yelverton,23,POR,SG,69,,17.8,3.0,7.7,.389,1.9,2.7,.707,2.9,1.2,2.1,7.9,
Otto Moore,25,PHO,C,81,,20.0,3.2,7.4,.436,1.2,1.9,.603,6.7,1.1,2.6,7.6,
Mike Newlin,23,HOU,SG,82,,18.2,3.1,7.5,.414,1.3,1.8,.750,2.8,1.6,2.8,7.6,ROY-6
Wali Jones,29,MIL,PG,48,,21.5,3.0,7.4,.407,1.5,1.9,.822,1.6,2.9,2.3,7.5,
Willie Norwood,24,DET,SF,78,,16.3,2.8,5.6,.505,1.8,2.8,.651,4.1,0.6,2.9,7.5,
Matt Guokas,27,CIN,SG,61,,32.4,3.1,6.3,.496,1.0,1.4,.771,2.3,5.3,2.5,7.3,
Phil Jackson,26,NYK,PF,80,,15.9,2.6,5.8,.440,2.1,2.9,.732,4.1,0.9,2.8,7.2,
Barry Clemens,28,SEA,SF,82,,17.6,3.1,5.9,.521,0.9,1.1,.844,3.5,0.8,2.4,7.1,
Tom Boerwinkle,26,CHI,C,80,,25.3,2.7,6.3,.438,1.5,2.3,.656,11.2,3.5,3.2,7.0,
Clifford Ray,23,CHI,C,82,,22.8,2.7,5.4,.499,1.6,2.7,.615,10.6,3.1,3.6,7.0,ROY-4
Dave Sorenson,23,CLE,PF,76,,15.3,2.8,6.3,.448,1.4,1.8,.779,4.0,1.1,1.6,7.0,
Jerry Chambers,28,BUF,SF,26,,14.2,3.0,6.9,.433,0.8,1.2,.688,2.6,0.9,1.5,6.8,
John Tresvant,32,BAL,PF,65,,18.9,2.5,5.5,.450,1.9,2.3,.818,5.0,1.3,2.7,6.8,
Pat Riley,26,LAL,SG,67,,13.8,2.9,6.6,.447,0.8,1.1,.743,1.9,1.1,1.6,6.7,
Milt Williams,26,ATL,PG,10,,12.7,2.3,5.3,.434,2.1,2.9,.724,0.4,2.0,1.8,6.7,
Gary Zeller,24,BAL,SG,28,,16.8,3.0,8.2,.362,0.8,1.3,.629,2.3,1.1,2.2,6.7,
Tom Sanders,33,BOS,SF,82,,19.9,2.6,6.4,.410,1.4,1.7,.816,4.3,1.2,3.1,6.6,
George Trapp,23,ATL,PF,60,,14.8,2.4,6.5,.371,1.8,2.3,.755,3.1,0.9,2.4,6.6,
Gus Johnson,33,BAL,PF,39,,17.1,2.6,6.9,.383,1.1,1.6,.683,5.8,1.3,2.3,6.4,
Steve Kuberski,24,BOS,PF,71,,15.9,2.6,6.3,.417,1.1,1.4,.784,4.5,0.6,1.8,6.3,
Willie McCarter,25,POR,SG,39,,15.7,2.6,6.6,.401,0.9,1.4,.673,1.1,2.2,1.5,6.2,
Bob Quick,25,DET,SF,18,,11.3,2.2,4.6,.476,1.9,2.5,.756,2.8,0.6,1.6,6.2,
Cornell Warner,23,BUF,PF,62,,20.0,2.6,5.9,.443,0.9,1.3,.744,6.1,0.9,2.0,6.2,
Howard Porter,23,CHI,SF,67,,10.9,2.6,6.0,.424,0.9,1.1,.766,2.7,0.4,1.3,6.0,
Curtis Perry,23,2TM,C,75,,24.3,2.4,6.5,.372,1.0,1.6,.639,7.9,1.3,3.5,5.8,
Luke Jackson,30,PHI,PF,63,22,17.2,2.2,5.5,.396,1.5,2.1,.692,4.9,1.4,2.2,5.8,
Keith Erickson,27,LAL,SF,15,,17.5,2.7,5.5,.482,0.4,0.5,.857,2.6,2.3,1.7,5.7,
Jim King,30,CHI,SG,73,,13.9,2.2,4.9,.455,1.2,1.5,.788,1.1,1.4,1.4,5.7,
John Trapp,26,LAL,SF,58,,13.1,2.4,5.4,.443,0.9,1.3,.699,3.1,0.7,2.2,5.7,
Pete Cross,23,SEA,C,74,,19.2,2.1,4.8,.428,1.4,1.9,.736,6.9,0.9,1.8,5.5,
Jim Davis,30,3TM,C,75,,13.1,2.0,4.5,.435,1.3,2.1,.649,3.7,0.7,1.8,5.3,
Mel Counts,30,PHO,C,76,,11.9,1.9,4.5,.427,1.3,1.8,.721,3.4,1.3,2.1,5.2,
John Hummer,23,BUF,PF,55,,21.6,2.1,5.3,.390,1.1,2.3,.468,4.2,1.3,3.2,5.2,
Ron Knight,24,POR,SF,49,,9.9,2.3,5.2,.436,0.6,1.3,.500,2.4,0.7,1.1,5.2,
Em Bryant,33,BUF,PG,54,,22.6,1.9,4.1,.459,1.4,2.3,.600,2.4,3.8,3.1,5.1,
Larry Steele,22,POR,SG,72,,18.2,2.1,4.3,.481,1.0,1.3,.722,3.9,2.2,2.8,5.1,
Bobby Washington,24,CLE,PG,69,,14.0,1.8,4.5,.398,1.5,1.9,.813,1.9,3.2,2.0,5.1,
Art Williams,32,BOS,PG,81,,16.4,2.0,4.2,.475,1.1,1.5,.756,3.2,4.0,2.5,5.1,
Lamar Green,24,PHO,PF,67,,14.8,2.0,4.4,.446,1.0,1.3,.733,5.2,0.7,2.0,5.0,
Bill Hosket,25,BUF,PF,44,,13.5,2.0,4.1,.492,1.0,1.2,.808,2.8,0.9,1.8,5.0,
Harvey Marlatt,23,DET,SG,31,,16.3,1.9,4.8,.403,1.2,1.4,.857,2.0,1.9,2.1,5.0,
John Warren,24,CLE,SG,68,,14.3,2.1,5.1,.417,0.7,0.9,.845,2.0,1.3,1.4,5.0,
Leroy Ellis,31,LAL,C,74,,14.6,1.9,4.1,.460,0.9,1.3,.695,4.2,0.6,1.6,4.6,
Dean Meminger,23,NYK,SG,78,,15.0,1.8,3.8,.474,1.0,1.8,.564,2.4,1.3,1.8,4.6,
Steve Mix,24,DET,SF,8,,13.0,1.9,5.9,.319,0.9,1.5,.583,2.9,0.5,0.9,4.6,
Jake Jones,22,2TM,SG,17,0,11.9,1.6,4.2,.389,1.2,1.8,.645,1.5,0.7,1.3,4.5,
Bill Hewitt,27,DET,PF,68,,17.7,1.9,4.1,.473,0.6,1.2,.500,5.4,1.0,2.0,4.5,
Ken Durrett,23,CIN,SF,19,,12.3,1.6,4.2,.392,1.1,1.5,.750,2.1,0.7,2.2,4.4,
Al Henry,22,PHI,C,43,1,9.8,1.6,3.6,.436,1.2,1.7,.699,3.2,0.2,1.0,4.3,
Erwin Mueller,27,DET,PF,42,,14.4,1.6,4.7,.345,1.0,1.8,.581,3.5,1.4,1.5,4.3,
Dennis Awtrey,23,PHI,C,58,7,13.7,1.7,3.8,.441,0.8,1.3,.645,4.3,0.9,2.4,4.2,
Fred Brown,23,SEA,SG,33,,10.9,1.8,5.5,.328,0.7,0.9,.759,1.1,1.8,1.3,4.2,
Gil McGregor,22,CIN,PF,42,,12.7,1.6,4.3,.363,0.9,1.3,.696,3.5,0.4,2.9,4.1,
Tom Payne,21,ATL,C,29,,7.8,1.6,3.6,.437,1.0,1.6,.630,2.4,0.5,1.4,4.1,
Jeff Halliburton,22,ATL,SG,37,,7.8,1.6,3.6,.459,0.7,0.8,.833,1.0,0.5,1.4,4.0,
Larry Siegfried,32,2TM,PG,31,,18.0,1.4,4.0,.350,1.0,1.2,.865,1.4,2.3,1.7,3.8,
Bob Portman,24,GSW,SG,61,,9.1,1.5,3.6,.403,0.9,1.0,.883,2.2,0.4,1.1,3.8,
Dick Gibbs,23,HOU,SF,64,,11.8,1.4,4.1,.340,0.9,1.0,.833,2.2,0.8,2.0,3.7,
Luther Rackley,25,2TM,C,71,,9.6,1.5,3.4,.429,0.7,1.2,.568,2.9,0.3,1.5,3.6,
Jake Ford,26,SEA,PG,26,,7.0,1.3,2.5,.500,1.0,1.3,.788,0.4,1.0,0.8,3.5,
Toby Kimball,29,MIL,PF,74,,13.1,1.4,3.1,.467,0.6,1.1,.543,4.2,0.8,1.9,3.5,
Isaiah Wilson,23,DET,SG,48,,6.7,1.3,3.7,.356,0.9,1.2,.732,1.0,0.9,0.7,3.5,
John Vallely,23,2TM,SG,49,,7.5,1.4,3.5,.404,0.6,0.9,.667,0.7,0.8,1.0,3.4,
Jimmy Collins,25,CHI,SG,19,,7.1,1.4,3.7,.366,0.5,0.6,.909,0.6,0.5,0.6,3.3,
Nick Jones,26,GSW,SG,65,,7.4,1.3,3.0,.418,0.8,0.9,.836,0.6,0.7,1.7,3.3,
Hank Finkel,29,BOS,C,78,,9.4,1.3,3.3,.406,0.6,0.9,.581,3.2,0.8,1.5,3.2,
Steve Patterson,23,CLE,C,65,,11.9,1.4,4.0,.357,0.4,0.7,.500,3.5,0.8,1.2,3.2,
Mike Price,23,NYK,SG,6,,6.7,0.8,2.3,.357,1.5,1.8,.818,1.0,1.0,1.7,3.2,
Bob Christian,25,ATL,C,56,,8.7,1.2,2.5,.465,0.8,1.1,.721,3.2,0.5,1.4,3.1,
Jim Marsh,25,POR,SF,39,,9.6,1.0,3.0,.333,1.1,1.5,.695,2.2,0.8,1.3,3.1,
Kenny McIntosh,23,CHI,SF,43,,9.4,1.3,3.9,.339,0.5,1.0,.477,2.1,0.4,1.0,3.1,
Johnny Egan,33,HOU,PG,38,,11.5,1.1,2.7,.404,0.7,0.8,.813,0.7,1.3,1.4,2.9,
Greg Howard,24,CLE,PF,48,,8.9,1.0,2.7,.382,0.8,1.1,.765,2.3,0.6,1.0,2.9,
Bill Turner,27,GSW,PF,62,,9.6,1.1,2.9,.392,0.6,0.9,.755,2.1,0.4,1.1,2.9,
Barry Yates,26,PHI,PF,24,1,6.0,1.3,3.5,.373,0.3,0.5,.636,1.7,0.3,0.6,2.9,
McCoy McLemore,29,2TM,SF,27,,9.1,1.0,2.6,.394,0.7,0.9,.833,2.7,0.8,1.2,2.8,
Dick Cunningham,25,HOU,C,63,,11.4,1.1,2.8,.385,0.6,0.8,.698,3.9,0.9,1.2,2.7,
Terry Driscoll,24,BAL,PF,40,,7.8,1.0,2.6,.385,0.7,1.0,.692,2.7,0.6,1.3,2.7,
Rich Rinaldi,22,BAL,SG,39,,4.1,1.1,2.7,.404,0.5,0.8,.667,0.5,0.4,0.6,2.7,
Fred Taylor,23,2TM,SG,34,,8.3,1.1,3.4,.308,0.4,0.9,.469,1.6,0.5,1.2,2.6,
Jim Cleamons,22,LAL,PG,38,,5.3,0.9,2.6,.350,0.7,0.9,.778,1.0,0.9,0.6,2.6,
Clarence Glover,24,BOS,PF,25,,4.8,1.0,2.2,.455,0.6,1.3,.469,1.8,0.2,1.0,2.6,
Art Harris,25,PHO,SG,21,,6.9,1.1,3.3,.329,0.4,1.0,.429,0.6,0.9,1.2,2.6,
Darrall Imhoff,33,2TM,C,49,,9.8,1.1,2.7,.394,0.5,0.9,.558,2.7,1.1,2.0,2.6,
Eddie Mast,23,NYK,PF,40,,6.8,1.0,2.8,.348,0.6,1.0,.610,1.8,0.3,1.0,2.6,
Jackie Dinkins,22,CHI,SF,18,,4.9,0.9,2.3,.415,0.6,1.1,.550,1.1,0.4,0.6,2.5,
Garfield Smith,26,BOS,PF,26,,5.2,1.1,2.5,.424,0.2,1.2,.194,1.4,0.3,0.8,2.4,
Charlie Lowery,22,MIL,PG,20,,6.7,0.9,1.9,.447,0.6,0.9,.611,1.0,0.7,0.8,2.3,
Dorie Murrey,28,BAL,PF,51,,8.3,0.8,2.2,.381,0.5,0.8,.615,2.5,0.3,1.5,2.2,
Jeff Webb,23,2TM,SG,46,,5.2,0.9,2.2,.400,0.3,0.5,.696,0.8,0.5,0.6,2.1,
Rex Morgan,23,BOS,SG,28,,5.4,0.6,1.8,.320,0.8,1.1,.742,1.1,0.6,1.2,2.0,
Odis Allison,22,GSW,SF,36,,4.6,0.5,2.2,.218,0.9,1.7,.541,1.3,0.3,0.9,1.9,
Charlie Paulk,25,2TM,PF,35,,6.0,0.7,2.5,.273,0.4,0.6,.714,1.8,0.3,0.9,1.8,
Jackie Ridgle,23,CLE,SG,32,,3.3,0.6,1.4,.432,0.6,0.8,.731,0.5,0.2,0.5,1.8,
John Wetzel,27,PHO,SG,51,,8.2,0.6,1.6,.378,0.5,0.6,.800,1.3,1.1,1.4,1.7,
Bill Dinwiddie,28,MIL,PF,23,,6.3,0.7,2.5,.281,0.2,0.4,.556,1.4,0.4,1.0,1.6,
Greg Fillmore,24,NYK,C,10,,6.7,0.7,2.7,.259,0.1,0.3,.333,1.5,0.3,1.7,1.5,
Eddie Miles,31,NYK,SG,42,,4.7,0.5,1.5,.359,0.4,0.4,.889,0.4,0.4,1.1,1.5,
Barry Nelson,22,MIL,C,28,,3.6,0.5,1.3,.417,0.2,0.4,.500,0.7,0.3,0.8,1.3,
Vic Bartolome,23,GSW,C,38,,4.3,0.4,1.6,.254,0.1,0.1,.800,1.6,0.1,0.6,0.9,
