Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Kareem Abdul-Jabbar,24,MIL,C,81,,44.2,14.3,24.9,.574,6.2,9.0,.689,16.6,4.6,2.9,34.8,"MVP-1,AS,NBA1"
Tiny Archibald,23,CIN,PG,76,,43.1,9.7,19.9,.486,8.9,10.8,.822,2.9,9.2,2.6,28.2,"MVP-15,NBA2"
John Havlicek,31,BOS,SF,82,,45.1,10.9,23.9,.458,5.6,6.7,.834,8.2,7.5,2.2,27.5,"MVP-4,AS,NBA1,DEF1"
Spencer Haywood,22,SEA,PF,73,,43.4,9.8,21.3,.461,6.6,8.0,.819,12.7,2.0,2.8,26.2,"MVP-5,AS,NBA1"
Gail Goodrich,28,LAL,SG,82,,37.1,10.1,20.7,.487,5.8,6.8,.850,3.6,4.5,2.6,25.9,"MVP-21,AS"
Bob Love,29,CHI,PF,79,,39.3,10.4,23.5,.442,5.1,6.4,.784,6.6,1.6,3.0,25.8,"MVP-6,AS,NBA2,DEF2"
Jerry West,33,LAL,PG,77,,38.6,9.5,20.0,.477,6.7,8.2,.814,4.2,9.7,2.7,25.8,"MVP-2,AS,NBA1,DEF1"
Bob Lanier,23,DET,C,80,,38.7,10.4,21.1,.493,4.9,6.3,.768,14.2,3.1,3.7,25.7,"MVP-9,AS"
Archie Clark,30,2TM,PG,77,1,42.7,9.2,19.7,.470,6.7,8.7,.771,3.5,8.0,2.5,25.2,"MVP-12,AS,NBA2"
Elvin Hayes,26,HOU,C,82,,42.2,10.1,23.4,.434,4.9,7.5,.649,14.6,3.3,2.8,25.2,"MVP-17,AS"
Lou Hudson,27,ATL,SG,77,,39.5,10.1,20.0,.503,4.5,5.6,.812,5.0,4.0,2.9,24.7,AS
Sidney Wicks,22,POR,PF,82,,39.6,9.6,22.4,.427,5.4,7.6,.710,11.5,4.3,2.3,24.5,"MVP-17,ROY-1,AS"
Billy Cunningham,28,PHI,SF,75,75,38.7,8.8,19.0,.461,5.7,8.0,.712,12.2,5.9,3.9,23.3,"MVP-21,AS,NBA2"
Walt Frazier,26,NYK,PG,77,,40.6,8.7,17.0,.512,5.8,7.2,.808,6.7,5.8,2.4,23.2,"MVP-11,AS,NBA1,DEF1"
Jo Jo White,25,BOS,PG,79,,41.3,9.7,22.6,.431,3.6,4.3,.831,5.6,5.3,2.9,23.1,AS
Dave Bing,28,DET,PG,45,,43.0,8.2,19.8,.414,6.2,7.9,.785,4.1,7.0,3.1,22.6,
Jack Marin,27,BAL,SF,78,,37.5,8.8,18.5,.478,4.6,5.1,.894,6.8,2.2,3.1,22.3,AS
Chet Walker,31,CHI,SF,78,,33.2,7.9,15.7,.505,6.2,7.3,.847,6.1,2.3,2.2,22.0,
Jeff Mullins,29,GSW,SG,80,,40.2,8.6,18.3,.467,4.4,5.5,.794,5.6,5.9,3.3,21.5,
Cazzie Russell,27,GSW,SF,79,,36.7,8.7,19.2,.455,4.0,4.8,.833,5.4,3.1,2.2,21.4,"MVP-17,AS"
Nate Thurmond,30,GSW,C,78,,43.1,8.1,18.6,.432,5.3,7.2,.743,16.1,2.9,2.7,21.4,"MVP-8,DEF2"
Jimmy Walker,27,DET,SG,78,,39.5,8.1,17.8,.457,5.1,6.2,.827,3.0,4.0,2.5,21.3,AS
Austin Carr,23,CLE,SG,43,,35.8,8.9,20.8,.426,3.5,4.6,.760,3.5,3.4,2.3,21.2,ROY-3
Connie Hawkins,29,PHO,SF,76,,36.8,7.5,16.4,.459,6.0,7.4,.807,8.3,3.9,3.1,21.0,"MVP-17,AS"
Dick Van Arsdale,28,PHO,SG,82,,37.8,6.6,14.4,.463,6.5,7.6,.845,4.1,3.6,2.8,19.7,
Pete Maravich,24,ATL,SG,66,,34.9,7.0,16.3,.427,5.4,6.6,.811,3.9,6.0,3.1,19.3,MVP-21
Tom Van Arsdale,28,CIN,SF,73,,35.6,7.5,16.5,.456,4.1,5.4,.755,4.8,2.7,3.3,19.2,AS
Bob Kauffman,25,BUF,PF,77,,41.6,7.2,14.6,.497,4.4,5.6,.795,10.2,3.9,3.5,18.9,AS
Geoff Petrie,23,POR,SG,60,,35.9,7.8,18.6,.417,3.4,4.3,.789,2.2,4.1,1.8,18.9,
Dave Cowens,23,BOS,C,79,,40.3,8.3,17.2,.484,2.2,3.1,.720,15.2,3.1,4.0,18.8,"MVP-7,AS"
Jim McMillian,23,LAL,SF,80,,38.1,8.0,16.6,.482,2.7,3.5,.791,6.5,2.6,2.6,18.8,
Charlie Scott,23,PHO,PG,6,,29.5,8.0,18.8,.425,2.8,3.5,.810,3.8,4.3,3.2,18.8,AS
Walt Bellamy,32,ATL,C,82,,38.9,7.2,13.3,.545,4.1,7.1,.585,12.8,3.2,3.1,18.6,MVP-25
Stu Lantz,25,HOU,SG,81,,38.2,6.9,15.8,.435,4.8,5.7,.838,4.3,4.2,2.6,18.5,
Bob Dandridge,24,MIL,SF,80,,37.0,7.9,15.8,.498,2.7,3.6,.739,7.7,3.1,3.7,18.4,
Calvin Murphy,23,HOU,PG,82,,31.0,7.0,15.3,.455,4.3,4.8,.890,3.1,4.8,3.6,18.2,
Lenny Wilkens,34,SEA,PG,80,,37.4,6.0,12.8,.466,6.0,7.8,.774,4.2,9.6,2.6,18.0,
Paul Silas,28,PHO,PF,80,,38.5,6.1,12.9,.470,5.4,7.0,.773,11.9,4.3,2.5,17.5,"MVP-14,AS,DEF2"
Oscar Robertson,33,MIL,PG,64,,37.3,6.5,13.9,.472,4.3,5.2,.836,5.0,7.7,1.8,17.4,"MVP-15,AS"
Elmore Smith,22,BUF,C,78,,40.8,7.4,16.3,.454,2.5,4.7,.534,15.2,1.4,3.9,17.3,ROY-2
John Johnson,24,CLE,SF,82,,37.1,6.8,15.7,.433,3.4,4.3,.785,7.7,5.1,3.3,17.0,AS
Jerry Lucas,31,NYK,C,77,,38.0,7.1,13.8,.512,2.6,3.2,.791,13.1,4.1,2.8,16.7,MVP-13
