Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Bob Pettit,23,STL,C,72,38.8,9.0,20.9,.429,7.7,10.5,.736,16.2,2.6,2.8,25.7,"MVP-1,AS,NBA1"
Paul Arizin,27,PHW,SF,72,37.8,8.6,19.1,.448,7.0,8.7,.810,7.5,2.6,3.9,24.2,"MVP-2,AS,NBA1"
Neil Johnston,26,PHW,C,70,37.1,7.1,15.6,.457,7.8,9.8,.801,12.5,3.2,3.6,22.1,"AS,NBA1"
Clyde Lovellette,26,MNL,C,71,35.5,8.4,19.3,.434,4.8,6.6,.721,14.0,2.3,3.5,21.5,"AS,NBA2"
Dolph Schayes,27,SYR,PF,72,35.0,6.5,16.7,.387,7.5,8.8,.858,12.4,2.8,3.5,20.4,"MVP-5,AS,NBA2"
Bill Sharman,29,BOS,SG,72,37.5,7.5,17.1,.438,5.0,5.7,.867,3.6,4.7,2.7,19.9,"MVP-5,AS,NBA1"
Bob Cousy,27,BOS,PG,72,38.4,6.1,17.0,.360,6.6,7.8,.844,6.8,8.9,2.9,18.8,"MVP-3,AS,NBA1"
Ed Macauley,27,BOS,C,71,33.2,5.9,14.0,.422,5.6,7.1,.794,5.9,3.0,2.2,17.5,AS
George Yardley,27,FTW,SF,71,33.1,6.1,15.0,.407,5.1,6.9,.742,9.7,2.2,3.0,17.4,AS
Maurice Stokes,22,ROC,C,67,34.7,6.0,17.0,.354,4.8,6.7,.714,16.3,4.9,4.1,16.8,"MVP-7,ROY-1,AS,NBA2"
Larry Foust,27,FTW,C,72,28.1,5.1,11.4,.447,6.0,7.7,.778,9.0,1.8,3.7,16.2,AS
Carl Braun,28,NYK,SG,72,32.2,5.5,14.8,.372,4.4,5.3,.838,3.6,4.1,3.0,15.4,AS
Joe Graboski,26,PHW,PF,72,33.0,5.5,14.9,.369,3.3,4.7,.706,8.9,2.6,3.8,14.4,
Jack Twyman,21,ROC,SF,72,30.4,5.8,13.7,.422,2.8,4.1,.685,6.5,2.4,3.3,14.4,
