Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Tracy McGrady,24,ORL,SG,67,67,39.9,9.7,23.4,.417,2.6,7.7,.339,7.1,15.7,.455,.473,5.9,7.5,.796,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,"AS,NBA2"
Allen Iverson,28,PHI,SG,48,47,42.5,9.1,23.4,.387,1.2,4.1,.286,7.9,19.3,.408,.412,7.1,9.5,.745,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,26.4,AS
Kevin Garnett,27,MIN,PF,82,82,39.4,9.8,19.6,.499,0.1,0.5,.256,9.7,19.1,.506,.502,4.5,5.7,.791,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,"MVP-1,DPOY-6,AS,NBA1,DEF1"
Peja Stojaković,26,SAC,SF,81,81,40.3,8.2,17.1,.480,3.0,6.8,.433,5.2,10.3,.511,.566,4.9,5.2,.927,1.1,5.1,6.3,2.1,1.3,0.2,1.9,2.0,24.2,"MVP-4,AS,NBA2"
Kobe Bryant,25,LAL,SG,65,64,37.6,7.9,18.1,.438,1.1,3.3,.327,6.8,14.8,.463,.468,7.0,8.2,.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24.0,"MVP-5,DPOY-10,AS,NBA1,DEF1"
Ray Allen,28,SEA,SG,56,56,38.4,8.0,18.2,.440,2.6,6.8,.392,5.3,11.4,.468,.512,4.4,4.8,.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23.0,AS
Paul Pierce,26,BOS,SG,80,80,38.7,7.5,18.7,.402,1.4,4.8,.299,6.1,13.9,.438,.441,6.5,7.9,.819,0.9,5.7,6.5,5.1,1.6,0.7,3.8,2.9,23.0,AS
Baron Davis,24,NOH,PG,67,66,40.1,8.3,20.9,.395,2.8,8.7,.321,5.5,12.2,.448,.462,3.5,5.3,.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9,"MVP-10,AS,NBA3"
Vince Carter,27,TOR,SG,73,73,38.2,8.3,20.0,.417,1.3,3.3,.383,7.1,16.6,.424,.449,4.6,5.7,.806,1.3,3.5,4.8,4.8,1.2,0.9,3.1,2.9,22.5,AS
Tim Duncan,27,SAS,PF,69,68,36.6,8.6,17.1,.501,0.0,0.2,.167,8.6,16.9,.505,.502,5.1,8.5,.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,2.4,22.3,"MVP-2,DPOY-7,AS,NBA1,DEF2"
Dirk Nowitzki,25,DAL,C,77,77,37.9,7.9,17.0,.462,1.3,3.8,.341,6.6,13.2,.496,.500,4.8,5.5,.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,"MVP-10,AS,NBA3"
Michael Redd,24,MIL,SG,82,82,36.8,7.7,17.5,.440,1.5,4.4,.350,6.2,13.1,.470,.484,4.7,5.4,.868,1.4,3.5,5.0,2.3,1.0,0.1,1.4,1.9,21.7,"MVP-14,AS,NBA3"
Shaquille O'Neal,31,LAL,C,67,67,36.8,8.3,14.1,.584,0.0,0.0,,8.3,14.1,.584,.584,4.9,10.1,.490,3.7,7.8,11.5,2.9,0.5,2.5,2.9,3.4,21.5,"MVP-6,DPOY-10,AS,NBA1"
Carmelo Anthony,19,DEN,SF,82,82,36.5,7.6,17.9,.426,0.8,2.6,.322,6.8,15.3,.444,.449,5.0,6.4,.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0,"MVP-14,ROY-2"
LeBron James,19,CLE,SG,79,79,39.5,7.9,18.9,.417,0.8,2.7,.290,7.1,16.1,.438,.438,4.4,5.8,.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,"MVP-9,ROY-1"
Jamal Mashburn,31,NOH,SF,19,18,38.4,8.2,20.9,.392,1.0,3.5,.284,7.2,17.4,.414,.416,3.4,4.2,.813,1.0,5.2,6.2,2.5,0.7,0.3,1.9,2.2,20.8,
Corey Maggette,24,LAC,SF,73,72,36.0,6.2,13.9,.447,1.0,3.2,.329,5.2,10.7,.482,.485,7.2,8.5,.848,1.3,4.6,5.9,3.1,0.9,0.2,2.8,3.0,20.7,
Amar'e Stoudemire,21,PHO,PF,55,53,36.8,7.5,15.7,.475,0.0,0.1,.200,7.5,15.6,.477,.476,5.6,7.9,.713,2.9,6.2,9.0,1.4,1.2,1.6,3.2,3.4,20.6,
Stephon Marbury,26,2TM,PG,81,81,40.2,7.4,17.1,.431,1.1,3.4,.318,6.3,13.7,.460,.463,4.4,5.4,.817,0.7,2.5,3.2,8.9,1.6,0.1,3.1,2.1,20.2,
Jermaine O'Neal,25,IND,PF,78,78,35.7,7.8,17.9,.434,0.0,0.2,.111,7.8,17.7,.438,.435,4.5,5.9,.757,2.5,7.5,10.0,2.1,0.8,2.6,2.3,3.2,20.1,"MVP-3,AS,NBA2"
Zach Randolph,22,POR,PF,81,80,37.9,8.2,16.9,.485,0.0,0.1,.200,8.2,16.8,.486,.485,3.7,4.9,.761,3.0,7.5,10.5,2.0,0.8,0.5,3.0,2.8,20.1,MIP-1
Elton Brand,24,LAC,PF,69,68,38.7,7.0,14.2,.493,0.0,0.0,.000,7.0,14.2,.493,.493,6.0,7.7,.773,3.9,6.4,10.3,3.3,0.9,2.2,2.8,3.3,20.0,
Sam Cassell,34,MIN,PG,81,81,35.0,7.7,15.7,.488,0.9,2.3,.398,6.7,13.4,.504,.517,3.6,4.1,.873,0.5,2.8,3.3,7.3,1.3,0.2,2.7,3.0,19.8,"MVP-10,AS,NBA2"
Gilbert Arenas,22,WAS,PG,55,52,37.6,6.5,16.6,.392,2.3,6.1,.375,4.2,10.6,.401,.460,4.3,5.8,.748,1.0,3.6,4.6,5.0,1.9,0.2,4.1,3.2,19.6,
Shawn Marion,25,PHO,SF,79,79,40.7,7.5,17.0,.440,1.1,3.4,.340,6.3,13.6,.465,.474,2.9,3.4,.851,2.7,6.6,9.3,2.7,2.1,1.3,2.0,2.6,19.0,
Larry Hughes,25,WAS,SG,61,61,33.8,6.6,16.5,.397,1.3,3.8,.341,5.3,12.7,.414,.437,4.4,5.5,.797,1.6,3.8,5.3,2.4,1.6,0.4,2.5,2.4,18.8,
Jason Richardson,23,GSW,SG,78,78,37.6,7.2,16.5,.438,1.0,3.5,.282,6.2,13.0,.481,.468,3.3,4.8,.684,1.6,5.1,6.7,2.9,1.1,0.5,2.5,2.3,18.7,
Chris Webber,30,SAC,PF,23,23,36.1,7.6,18.3,.413,0.0,0.2,.200,7.5,18.1,.416,.414,3.5,5.0,.711,2.1,6.6,8.7,4.6,1.3,0.9,2.6,3.3,18.7,
Michael Finley,30,DAL,SG,72,72,38.6,7.1,16.1,.443,2.1,5.1,.405,5.1,11.0,.461,.508,2.3,2.7,.850,1.1,3.4,4.5,2.9,1.2,0.5,1.2,1.6,18.6,
