Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Al Roges,23,BLB,SF,67,28.9,3.3,9.2,.358,1.9,2.7,.726,3.2,2.4,2.6,8.5,
Chuck Share,26,2TM,C,68,23.2,2.8,7.3,.381,2.8,4.0,.684,8.2,1.2,3.1,8.3,
Bill Calhoun,26,MLH,SF,72,32.9,2.6,7.6,.349,3.0,4.1,.733,3.8,2.6,2.1,8.3,
George Ratkovicz,31,MLH,PF,69,31.4,2.9,7.3,.393,2.6,4.0,.645,7.6,2.2,3.7,8.3,
Zeke Zawoluk,23,PHW,SF,71,25.3,2.9,7.6,.376,2.6,3.2,.809,4.6,1.4,3.1,8.3,
Clyde Lovellette,24,MNL,C,72,17.4,3.3,7.8,.423,1.6,2.3,.695,5.8,0.7,2.9,8.2,
Vince Boryla,26,NYK,SF,52,29.3,3.4,10.1,.333,1.3,1.6,.864,2.5,1.5,2.5,8.1,
Lew Hitch,24,MLH,PF,72,34.1,3.1,8.4,.367,1.8,2.9,.639,9.6,2.0,2.4,8.0,
Odie Spears,29,ROC,SF,72,22.7,2.6,7.0,.364,2.5,3.3,.769,4.3,1.5,2.9,7.7,
Ernie Beck,22,PHW,SG,15,28.1,2.6,9.5,.275,2.3,2.9,.791,3.3,2.3,1.9,7.5,
Irv Bemoras,23,MLH,SF,69,21.7,2.7,7.3,.366,2.0,3.0,.668,3.1,1.1,2.2,7.4,
Don Barksdale,30,BOS,PF,63,21.6,2.5,6.6,.376,2.4,3.6,.662,5.5,1.9,3.4,7.3,
Rollen Hans,22,BLB,SG,67,23.2,2.9,7.7,.371,1.5,2.7,.561,2.4,2.7,2.6,7.2,
Fred Scolari,31,FTW,PG,64,24.8,2.5,7.7,.324,2.3,2.8,.800,2.2,2.0,2.4,7.2,
Fred Schaus,28,2TM,SF,67,22.6,2.4,6.2,.388,2.3,2.9,.785,4.0,1.6,2.6,7.1,
Whitey Skoog,27,MNL,SG,71,26.4,3.0,7.5,.400,1.0,1.4,.742,3.2,2.5,3.3,7.0,
Danny Finn,25,PHW,PG,68,23.0,2.5,7.3,.343,1.9,2.9,.643,3.2,3.9,3.2,6.9,
Bill Tosheff,27,MLH,PG,71,25.7,2.4,8.1,.291,2.2,3.0,.743,2.3,2.8,2.9,6.9,
Jim Baechtold,26,NYK,SF,70,23.2,2.4,6.6,.366,1.9,2.5,.757,2.6,1.7,2.8,6.8,
Ernie Vandeweghe,25,NYK,SG,15,18.1,2.5,6.9,.359,1.7,2.1,.806,1.3,1.9,2.5,6.6,
Paul Walther,26,PHW,SG,64,32.3,2.2,6.1,.352,2.3,3.2,.704,4.0,3.4,3.1,6.6,
Leo Barnhorst,29,2TM,SF,72,28.7,2.8,8.2,.338,0.9,1.2,.716,4.1,3.1,2.8,6.4,
Pep Saul,29,MNL,SG,71,25.4,2.3,6.6,.347,1.8,2.4,.753,2.2,2.0,2.1,6.4,
Frankie Brian,30,FTW,SG,64,15.2,2.1,5.5,.375,2.1,2.8,.753,1.2,1.4,1.6,6.3,
Alex Hannum,30,ROC,PF,72,23.7,2.4,7.0,.348,1.4,2.3,.622,4.9,1.5,3.9,6.3,
Bob Harrison,26,2TM,SG,64,22.5,2.3,7.0,.321,1.5,2.5,.595,2.0,2.2,3.4,6.0,
Billy Kenville,23,SYR,PG,72,19.5,2.1,5.4,.384,1.9,2.5,.747,3.4,1.7,1.9,6.0,
Cal Christensen,26,ROC,SF,70,23.6,2.0,5.6,.347,2.0,3.7,.529,5.6,1.5,2.8,5.9,
Walt Davis,23,PHW,PF,68,23.1,2.5,6.7,.367,1.0,1.5,.644,6.4,0.9,3.0,5.9,
Bob Donham,27,BOS,SG,68,21.3,2.1,4.6,.448,1.7,3.1,.554,3.9,2.7,3.5,5.9,
Bob Harris,26,BOS,SF,71,26.7,2.2,5.8,.381,1.5,2.4,.628,7.3,1.3,3.2,5.9,
Jack Nichols,27,2TM,PF,75,21.4,2.2,7.0,.309,1.5,2.0,.743,4.8,1.4,2.5,5.9,
Bob Brannum,27,BOS,PF,71,24.4,2.0,6.4,.309,1.8,2.9,.626,7.2,2.0,3.9,5.8,
Monk Meineke,23,FTW,PF,71,20.6,1.9,5.5,.344,1.9,2.4,.805,5.2,1.1,3.0,5.7,
Bob Lavoy,27,2TM,PF,68,18.8,2.0,5.2,.379,1.4,1.9,.729,4.7,1.1,3.2,5.4,
Don Lofgran,24,MLH,SF,21,18.1,1.7,5.3,.313,1.5,2.3,.653,3.0,1.2,1.6,4.9,
Jim Neal,23,SYR,C,67,13.4,1.7,5.5,.317,1.2,2.0,.591,3.8,0.4,2.1,4.7,
Dick Schnittker,25,MNL,SF,71,14.6,1.7,4.3,.397,1.2,1.9,.652,2.5,0.8,2.5,4.6,
Dick Surhoff,24,MLH,PF,32,11.2,1.3,4.0,.333,1.5,1.9,.758,2.2,0.7,1.7,4.2,
Jim Fritsche,22,2TM,PF,68,18.0,1.7,5.6,.306,0.7,1.0,.721,3.2,1.1,1.5,4.1,
Mark Workman,23,BLB,,14,10.8,1.8,4.3,.417,0.4,0.7,.600,2.6,0.5,2.2,4.0,
Red Holzman,33,MLH,PG,51,12.7,1.5,4.4,.330,0.9,1.4,.658,0.9,1.5,1.4,3.8,
Hal Uplinger,24,BLB,SG,23,11.7,1.4,4.1,.351,0.9,1.0,.909,1.3,1.1,1.8,3.7,
Jim Holstein,23,MNL,SF,70,16.5,1.3,4.1,.306,0.9,1.6,.571,2.9,1.1,2.0,3.4,
Joe Smyth,24,2TM,SF,40,12.4,1.2,3.5,.348,0.9,1.6,.538,2.5,1.2,1.3,3.3,
Chuck Cooper,27,BOS,SF,70,15.7,1.1,3.7,.299,1.1,1.7,.672,4.3,1.1,2.1,3.3,
Bato Govedarica,25,SYR,PG,23,11.2,1.1,3.4,.316,1.1,1.6,.676,0.8,1.0,1.9,3.3,
Al Masino,25,2TM,PG,27,6.7,1.0,2.3,.419,1.1,1.8,.612,1.0,0.8,1.6,3.0,
Ken Murray,25,FTW,SG,49,10.8,1.1,4.0,.272,0.9,1.2,.717,1.3,1.1,1.2,3.0,
Jim Luisi,25,BLB,PG,31,11.8,1.0,3.1,.326,0.9,1.3,.659,0.8,1.1,1.5,2.9,
Ed Smith,24,NYK,SF,12,10.6,1.2,4.1,.286,0.6,1.1,.538,2.7,0.8,1.4,2.9,
Bill Bolger,22,BLB,SF,20,10.1,1.2,3.0,.407,0.4,0.7,.615,1.8,0.6,1.4,2.8,
Al McGuire,25,NYK,PG,64,13.3,0.9,2.8,.328,0.9,2.1,.436,1.9,1.6,2.3,2.7,
Dick Knostman,22,SYR,C,5,9.4,0.6,2.0,.300,1.4,2.2,.636,3.4,1.2,1.8,2.6,
Joe Fulks,32,PHW,PF,61,8.2,1.0,3.8,.266,0.5,0.8,.571,1.7,0.5,1.5,2.5,
Ernie Barrett,24,BOS,SG,59,10.9,1.0,3.2,.314,0.2,0.4,.560,1.7,0.9,2.0,2.3,
Ed Mikan,28,BOS,C,9,7.9,0.9,2.7,.333,0.6,1.0,.556,2.2,0.3,1.7,2.3,
Ed Earle,26,SYR,PF,2,6.0,0.5,1.0,.500,1.0,2.0,.500,1.0,0.0,0.0,2.0,
Bob Peterson,22,2TM,,8,7.5,0.4,1.3,.300,1.1,1.4,.818,1.5,0.4,1.9,1.9,
Frank Reddout,22,ROC,,7,2.6,0.7,0.9,.833,0.4,0.6,.750,1.3,0.0,0.9,1.9,
George Senesky,31,PHW,PG,58,13.3,0.7,2.1,.345,0.5,0.9,.547,1.1,1.4,1.4,1.9,
Norm Swanson,23,ROC,SF,63,9.7,0.5,2.2,.226,0.6,1.0,.594,1.7,0.5,1.4,1.6,
Don Ackerman,23,NYK,PG,28,7.9,0.5,2.3,.222,0.5,1.0,.536,0.5,0.8,1.5,1.5,
Gene Dyker,23,MLH,,11,8.3,0.5,2.4,.231,0.4,0.7,.500,1.5,0.5,1.9,1.5,
Connie Rea,23,BLB,,20,7.7,0.5,2.2,.209,0.3,0.8,.313,1.6,0.8,0.7,1.2,
Zeke Sinicola,25,FTW,,9,3.7,0.4,1.8,.250,0.3,0.7,.500,0.1,0.3,0.9,1.2,
Jim Phelan,24,PHW,,4,8.3,0.0,1.5,.000,0.8,1.5,.500,1.3,0.5,2.3,0.8,
Don Asmonga,25,BLB,,7,6.6,0.3,2.1,.133,0.1,0.1,1.000,0.1,0.7,1.7,0.7,
Isaac Walthour,23,MLH,,4,7.5,0.3,1.5,.167,0.0,0.0,,0.3,0.5,1.5,0.5,
Mike Novak,38,SYR,PF,5,4.8,0.0,1.4,.000,0.2,0.4,.500,0.4,0.4,1.8,0.2,
Norm Grekin,23,PHW,,1,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
Mo Mahoney,26,BLB,,2,5.5,0.0,1.0,.000,0.0,0.0,,1.0,0.5,0.0,0.0,
Paul Nolen,24,BLB,,1,2.0,0.0,1.0,.000,0.0,0.0,,1.0,0.0,1.0,0.0,
