Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Neil Johnston,24,PHW,C,72,45.8,8.2,18.3,.449,8.0,10.7,.747,11.1,2.8,3.6,24.4,"AS,NBA1"
Bob Cousy,25,BOS,PG,72,39.7,6.8,17.5,.385,5.7,7.3,.787,5.5,7.2,2.8,19.2,"AS,NBA1"
Ed Macauley,25,BOS,C,71,39.3,6.5,13.4,.486,5.9,7.8,.758,8.0,3.8,2.4,18.9,"AS,NBA2"
George Mikan,29,MNL,C,72,32.8,6.1,16.1,.380,5.9,7.6,.777,14.3,2.4,3.7,18.1,"AS,NBA1"
Ray Felix,23,BLB,C,72,37.1,5.7,13.7,.417,6.2,9.8,.638,13.3,1.1,3.5,17.6,"ROY-1,AS"
Dolph Schayes,25,SYR,C,72,36.9,5.1,13.5,.380,6.8,8.2,.827,12.1,3.0,3.2,17.1,"AS,NBA1"
Bill Sharman,27,BOS,SG,72,34.3,5.7,12.7,.450,4.6,5.4,.844,3.5,3.2,2.9,16.0,AS
Larry Foust,25,FTW,C,72,37.4,5.2,12.8,.409,4.7,6.6,.712,13.4,2.2,3.6,15.1,AS
Carl Braun,26,NYK,SG,72,33.0,4.9,12.3,.400,4.9,6.0,.825,3.4,2.9,3.6,14.8,"AS,NBA2"
Joe Graboski,24,PHW,PF,71,38.9,5.0,14.1,.354,3.3,4.9,.674,9.4,2.3,3.1,13.3,
Bobby Wanzer,32,ROC,SG,72,35.3,4.5,11.6,.386,4.4,5.9,.734,5.4,3.5,2.4,13.3,"AS,NBA2"
Harry Gallatin,26,NYK,PF,72,37.4,3.6,8.9,.404,6.0,7.7,.784,15.3,2.1,2.9,13.2,"AS,NBA1"
Arnie Risen,29,ROC,C,72,33.1,4.5,12.1,.368,4.3,6.0,.714,10.1,1.7,3.9,13.2,AS
Paul Seymour,26,SYR,SG,71,38.4,4.5,11.8,.377,4.2,5.2,.813,4.1,5.1,2.6,13.1,"AS,NBA2"
Max Zaslofsky,28,3TM,SG,65,28.9,4.3,11.6,.368,3.9,5.5,.714,2.5,2.4,2.2,12.5,
Bob Davies,34,ROC,PG,72,29.7,4.0,10.8,.371,4.3,6.0,.718,2.7,4.5,3.1,12.3,AS
Jim Pollard,31,MNL,SF,71,35.0,4.6,12.4,.370,2.5,3.2,.778,7.0,3.0,2.3,11.7,"AS,NBA2"
Jack Molinas,22,FTW,SF,32,29.9,3.6,9.1,.390,4.4,5.8,.759,7.1,1.6,2.6,11.6,AS
George King,25,SYR,PG,72,32.9,3.9,10.3,.376,3.6,5.7,.627,3.7,3.8,2.5,11.3,
Don Sunderlage,24,MLH,SG,68,32.8,3.7,11.0,.340,3.7,5.0,.748,3.3,2.8,3.9,11.2,AS
Vern Mikkelsen,25,MNL,PF,72,31.2,4.0,10.7,.374,3.1,4.1,.742,8.5,1.7,3.7,11.1,
Andy Phillip,31,FTW,PG,71,38.1,3.6,9.6,.375,3.4,4.6,.730,3.7,6.3,2.9,10.6,AS
Mel Hutchins,25,FTW,PF,72,40.8,4.1,10.2,.401,2.1,3.1,.677,9.7,2.9,3.2,10.3,AS
Paul Hoffman,28,BLB,PG,72,34.8,3.5,10.6,.332,3.0,4.2,.716,6.8,4.0,3.8,10.0,
Jack McMahon,25,ROC,PG,71,26.6,3.5,9.7,.362,3.0,4.3,.696,3.0,3.4,3.1,10.0,
Eddie Miller,22,BLB,C,72,23.0,3.4,8.3,.407,3.2,4.4,.729,7.5,1.3,2.7,10.0,
Connie Simmons,28,NYK,C,72,27.9,3.5,9.9,.358,2.9,4.2,.689,6.7,1.8,3.3,10.0,
Slater Martin,28,MNL,PG,69,35.8,3.7,9.5,.388,2.6,3.5,.724,2.4,3.7,2.9,9.9,AS
Jack Coleman,29,ROC,PF,71,33.5,4.1,10.1,.405,1.5,2.5,.597,8.3,2.2,2.8,9.7,
Nat Clifton,31,NYK,PF,72,30.3,3.6,9.7,.368,2.4,3.8,.628,7.3,2.4,3.0,9.6,
Jack George,25,PHW,PG,71,37.3,3.6,10.4,.352,2.2,3.7,.590,5.4,4.4,3.0,9.5,
Earl Lloyd,25,SYR,SF,72,30.6,3.5,9.3,.374,2.2,2.9,.746,7.3,1.6,4.2,9.1,
Dick McGuire,28,NYK,PG,68,34.5,3.0,7.3,.408,3.2,5.1,.638,4.6,5.2,2.9,9.1,AS
Bill Gabor,31,SYR,SG,61,19.9,3.3,9.0,.370,2.3,3.2,.716,1.6,2.7,3.0,9.0,
George Yardley,25,FTW,SF,63,23.6,3.3,7.8,.425,2.3,3.3,.712,6.5,1.6,2.6,9.0,
Wally Osterkorn,25,SYR,PF,70,30.9,2.9,8.4,.346,3.0,5.2,.579,7.0,2.2,3.0,8.8,
Bob Houbregs,21,2TM,PF,70,28.1,3.0,8.0,.372,2.7,3.8,.714,5.4,1.8,3.0,8.7,
