Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Michael Jordan,29,CHI,SG,78,78,39.3,12.7,25.7,.495,1.0,2.9,.352,11.7,22.7,.514,.515,6.1,7.3,.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,"MVP-3,DPOY-2,AS,NBA1,DEF1"
Dominique Wilkins,33,ATL,SF,71,70,37.3,10.4,22.3,.468,1.7,4.5,.380,8.7,17.9,.490,.506,7.3,8.8,.828,2.6,4.2,6.8,3.2,1.0,0.4,2.6,1.6,29.9,"MVP-5,AS,NBA2"
Karl Malone,29,UTA,PF,82,82,37.8,9.7,17.6,.552,0.0,0.2,.200,9.7,17.4,.557,.554,7.5,10.2,.740,2.8,8.4,11.2,3.8,1.5,1.0,2.9,3.2,27.0,"MVP-8,AS,NBA1"
Hakeem Olajuwon,30,HOU,C,82,82,39.5,10.3,19.5,.529,0.0,0.1,.000,10.3,19.5,.532,.529,5.4,7.0,.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,"MVP-2,DPOY-1,AS,NBA1,DEF1"
Chris Mullin,29,GSW,SF,46,46,41.3,10.3,20.2,.510,1.3,2.9,.451,9.0,17.3,.519,.542,4.0,4.9,.810,0.9,4.1,5.0,3.6,1.5,0.9,3.0,1.7,25.9,AS
Charles Barkley,29,PHO,PF,76,76,37.6,9.4,18.1,.520,0.9,2.9,.305,8.5,15.2,.561,.545,5.9,7.7,.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,2.6,25.6,"MVP-1,AS,NBA1"
Patrick Ewing,30,NYK,C,81,81,37.1,9.6,19.1,.503,0.0,0.1,.143,9.6,19.0,.504,.503,4.9,6.9,.719,2.4,9.7,12.1,1.9,0.9,2.0,3.3,3.5,24.2,"MVP-4,DPOY-5,AS,NBA2"
Joe Dumars,29,DET,SG,77,77,40.2,8.8,18.9,.466,1.5,3.9,.375,7.3,15.0,.489,.504,4.5,5.2,.864,0.8,1.1,1.9,4.0,1.0,0.1,1.8,1.8,23.5,"MVP-10,AS,NBA2,DEF1"
Shaquille O'Neal,20,ORL,C,81,81,37.9,9.0,16.1,.562,0.0,0.0,.000,9.0,16.1,.563,.562,5.3,8.9,.592,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4.0,23.4,"MVP-7,ROY-1,AS"
David Robinson,27,SAS,C,82,82,39.2,8.2,16.4,.501,0.0,0.2,.176,8.2,16.2,.506,.503,6.8,9.3,.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4,"MVP-6,DPOY-2,AS,NBA3,DEF2"
Danny Manning,26,LAC,PF,79,77,34.9,8.9,17.5,.509,0.1,0.4,.267,8.8,17.1,.514,.512,4.9,6.1,.802,2.5,4.1,6.6,2.6,1.4,1.3,2.9,4.1,22.8,AS
Dražen Petrović,28,NJN,SG,70,67,38.0,8.4,16.2,.518,1.1,2.4,.449,7.3,13.8,.529,.551,4.5,5.2,.870,0.6,2.1,2.7,3.5,1.3,0.2,2.9,3.4,22.3,NBA3
Larry Johnson,23,CHH,PF,82,82,40.5,8.9,16.9,.526,0.2,0.9,.254,8.7,16.0,.540,.532,4.1,5.3,.767,3.4,7.1,10.5,4.3,0.6,0.3,2.8,2.3,22.1,"AS,NBA2"
Mitch Richmond,27,SAC,SG,45,45,38.4,8.2,17.4,.474,1.1,2.9,.369,7.2,14.5,.495,.505,4.4,5.2,.845,0.4,3.0,3.4,4.9,1.2,0.2,2.9,3.0,21.9,AS
Tim Hardaway,26,GSW,PG,66,66,39.5,7.9,17.7,.447,1.5,4.7,.330,6.4,13.0,.489,.491,4.1,5.6,.744,0.9,3.1,4.0,10.6,1.8,0.2,3.3,2.3,21.5,"AS,NBA3"
Reggie Miller,27,IND,SG,82,82,36.0,7.0,14.5,.479,2.0,5.1,.399,4.9,9.4,.522,.549,5.2,5.9,.880,0.8,2.3,3.1,3.2,1.5,0.3,1.8,2.2,21.2,
Alonzo Mourning,22,CHH,C,78,78,33.9,7.3,14.3,.511,0.0,0.0,.000,7.3,14.3,.513,.511,6.3,8.1,.781,3.4,6.9,10.3,1.0,0.3,3.5,3.0,3.7,21.0,ROY-2
Reggie Lewis,27,BOS,SG,80,80,39.3,8.3,17.6,.470,0.2,0.8,.233,8.1,16.9,.481,.475,4.1,4.7,.867,1.1,3.2,4.3,3.7,1.5,1.0,1.7,3.1,20.8,
Derrick Coleman,25,NJN,PF,76,73,36.3,7.4,16.1,.460,0.3,1.3,.232,7.1,14.8,.480,.469,5.5,6.9,.808,3.3,8.0,11.2,3.6,1.2,1.7,3.2,2.8,20.7,NBA3
Hersey Hawkins,26,PHI,SG,81,81,36.8,6.8,14.5,.470,1.5,3.8,.397,5.3,10.7,.496,.522,5.2,6.0,.860,1.1,3.1,4.3,3.9,1.7,0.4,2.2,2.3,20.3,
Brad Daugherty,27,CLE,C,71,71,37.9,7.3,12.8,.571,0.0,0.0,.500,7.3,12.8,.571,.571,5.5,6.9,.795,2.3,7.9,10.2,4.4,0.7,0.8,2.1,2.5,20.2,"MVP-10,AS"
Nick Anderson,25,ORL,SG,79,76,37.0,7.5,16.8,.449,1.1,3.2,.353,6.4,13.6,.471,.482,3.8,5.1,.741,1.5,4.5,6.0,3.4,1.6,0.7,2.1,2.5,19.9,
Clyde Drexler,30,POR,SG,49,49,34.1,7.1,16.7,.429,0.6,2.7,.233,6.5,13.9,.467,.448,5.0,6.0,.839,2.6,3.7,6.3,5.7,1.9,0.8,2.3,3.2,19.9,"MVP-10,AS"
Doug West,25,MIN,SG,80,80,38.8,8.1,15.6,.517,0.0,0.3,.087,8.1,15.3,.525,.518,3.1,3.7,.841,1.1,2.0,3.1,2.9,1.1,0.3,2.1,3.5,19.3,
Mahmoud Abdul-Rauf,23,DEN,PG,81,81,33.5,7.8,17.4,.450,0.9,2.4,.355,7.0,14.9,.465,.475,2.7,2.9,.935,0.6,2.1,2.8,4.2,1.0,0.1,2.3,2.2,19.2,MIP-1
Jeff Hornacek,29,PHI,PG,79,78,36.2,7.4,15.7,.470,1.2,3.2,.390,6.1,12.5,.490,.509,3.2,3.7,.865,1.1,3.3,4.3,6.9,1.7,0.3,2.8,2.6,19.1,
Clifford Robinson,26,POR,PF,82,12,31.4,7.7,16.3,.473,0.2,0.9,.247,7.5,15.4,.487,.480,3.5,5.1,.690,2.0,4.6,6.6,2.2,1.2,2.0,2.1,3.5,19.1,6MOY-1
Detlef Schrempf,30,IND,PF,82,60,37.8,6.3,13.2,.476,0.1,0.6,.154,6.2,12.6,.493,.480,6.4,8.0,.804,2.6,7.0,9.5,6.0,1.0,0.3,3.0,3.7,19.1,AS
Glen Rice,25,MIA,SF,82,82,37.6,7.1,16.1,.440,1.8,4.7,.383,5.3,11.4,.463,.495,3.0,3.6,.820,1.1,4.0,5.2,2.2,1.1,0.3,1.9,2.5,19.0,
Harvey Grant,27,WSB,SF,72,72,37.0,7.8,16.0,.487,0.0,0.1,.100,7.8,15.8,.491,.488,3.0,4.2,.727,1.8,3.9,5.7,2.8,1.0,0.6,1.3,2.3,18.6,
Scottie Pippen,27,CHI,SF,81,81,38.6,7.8,16.4,.473,0.3,1.1,.237,7.5,15.2,.491,.482,2.9,4.3,.663,2.5,5.2,7.7,6.3,2.1,0.9,3.0,2.7,18.6,"AS,NBA3,DEF1"
Derek Harper,31,DAL,SG,62,60,34.0,6.3,15.1,.419,1.6,4.1,.393,4.7,11.0,.428,.472,3.9,5.1,.756,0.7,1.3,2.0,5.4,1.3,0.3,2.2,2.3,18.2,
Christian Laettner,23,MIN,PF,81,81,34.9,6.2,13.1,.474,0.0,0.5,.100,6.2,12.6,.489,.476,5.7,6.8,.835,2.1,6.6,8.7,2.8,1.3,1.0,3.4,3.6,18.2,
Ricky Pierce,33,SEA,SG,77,72,28.8,6.8,13.9,.489,0.5,1.5,.372,6.3,12.4,.503,.509,4.1,4.6,.889,0.8,1.7,2.5,2.9,1.3,0.1,2.1,2.2,18.2,
