Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Michael Jordan,25,CHI,SG,81,81,40.2,11.9,22.2,.538,0.3,1.2,.276,11.6,21.0,.553,.546,8.3,9.8,.850,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,"MVP-2,DPOY-5,AS,NBA1,DEF1"
Karl Malone,25,UTA,PF,80,80,39.1,10.1,19.5,.519,0.1,0.2,.313,10.1,19.3,.521,.521,8.8,11.5,.766,3.2,7.4,10.7,2.7,1.8,0.9,3.6,3.6,29.1,"MVP-3,AS,NBA1"
Dale Ellis,28,SEA,SG,82,82,38.9,10.5,20.9,.501,2.0,4.1,.478,8.5,16.7,.507,.549,4.6,5.6,.816,1.9,2.3,4.2,2.0,1.3,0.3,2.7,2.4,27.5,"AS,NBA3"
Clyde Drexler,26,POR,SG,78,78,39.3,10.6,21.4,.496,0.3,1.3,.260,10.3,20.1,.511,.504,5.6,7.0,.799,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2,AS
Alex English,35,DEN,SF,82,82,36.5,11.3,22.9,.491,0.0,0.1,.250,11.2,22.8,.492,.492,4.0,4.6,.858,1.8,2.2,4.0,4.7,0.8,0.1,2.4,2.1,26.5,AS
Chris Mullin,25,GSW,SF,82,82,37.7,10.1,19.9,.509,0.3,1.2,.230,9.8,18.7,.527,.516,6.0,6.7,.892,1.9,4.0,5.9,5.1,2.1,0.5,3.6,2.2,26.5,"MVP-13,AS,NBA2"
Dominique Wilkins,29,ATL,SF,80,80,37.5,10.2,22.0,.464,0.4,1.3,.276,9.8,20.6,.475,.472,5.5,6.6,.844,3.2,3.7,6.9,2.6,1.5,0.7,2.3,1.7,26.2,"AS,NBA3"
Charles Barkley,25,PHI,PF,79,79,39.1,8.9,15.3,.579,0.4,2.1,.216,8.4,13.2,.636,.594,7.6,10.1,.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,"MVP-6,AS,NBA1"
Tom Chambers,29,PHO,PF,81,81,37.1,9.6,20.3,.471,0.3,1.1,.326,9.2,19.2,.479,.480,6.3,7.4,.851,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,"MVP-9,AS,NBA2"
Hakeem Olajuwon,26,HOU,C,82,82,36.9,9.6,19.0,.508,0.0,0.1,.000,9.6,18.9,.511,.508,5.5,8.0,.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,"MVP-5,DPOY-2,AS,NBA1"
Terry Cummings,27,MIL,SF,80,78,35.3,9.1,19.5,.467,0.1,0.2,.467,9.0,19.4,.467,.469,4.5,5.8,.787,3.5,4.6,8.1,2.5,1.3,0.9,2.5,3.3,22.9,"MVP-17,AS,NBA3"
Patrick Ewing,26,NYK,C,80,80,36.2,9.1,16.0,.567,0.0,0.1,.000,9.1,16.0,.570,.567,4.5,6.1,.746,2.7,6.6,9.3,2.4,1.5,3.5,3.3,3.9,22.7,"MVP-4,DPOY-6,AS,NBA2,DEF2"
Kelly Tripucka,29,CHH,SF,71,65,32.4,8.0,17.1,.467,0.4,1.2,.357,7.6,15.9,.476,.480,6.2,7.2,.866,1.1,2.6,3.8,3.2,1.2,0.2,3.3,2.8,22.6,
Magic Johnson,29,LAL,PG,77,77,37.5,7.5,14.8,.509,0.8,2.4,.314,6.8,12.3,.548,.535,6.7,7.3,.911,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,"MVP-1,AS,NBA1"
Kevin McHale,31,BOS,PF,78,74,36.9,8.5,15.5,.546,0.0,0.1,.000,8.5,15.5,.548,.546,5.6,6.8,.818,2.9,5.3,8.2,2.2,0.3,1.2,2.5,2.9,22.5,"AS,DEF2"
Mitch Richmond,23,GSW,SG,79,79,34.4,8.2,17.5,.468,0.4,1.1,.367,7.8,16.4,.475,.480,5.2,6.4,.810,2.0,3.9,5.9,4.2,1.0,0.2,3.4,2.8,22.0,ROY-1
Jeff Malone,27,WSB,SG,76,75,31.8,8.9,18.6,.480,0.0,0.3,.053,8.9,18.3,.486,.480,3.9,4.5,.871,0.7,1.6,2.4,2.9,0.5,0.2,2.2,2.0,21.7,
Chuck Person,24,IND,SF,80,79,37.7,8.9,18.2,.489,0.8,2.6,.307,8.1,15.6,.519,.511,3.0,3.8,.792,1.8,4.7,6.5,3.6,1.0,0.2,3.9,3.5,21.6,
Eddie Johnson,29,PHO,SF,70,7,29.2,8.7,17.5,.497,1.0,2.5,.413,7.7,15.0,.510,.526,3.1,3.6,.868,1.3,3.1,4.4,2.3,0.7,0.1,1.7,2.8,21.5,6MOY-1
Bernard King,32,WSB,SF,81,81,31.6,8.1,16.9,.477,0.1,0.4,.167,8.0,16.6,.484,.479,4.5,5.4,.819,1.6,3.1,4.7,3.6,0.8,0.2,2.8,2.7,20.7,
Xavier McDaniel,25,SEA,SF,82,10,29.1,8.3,16.9,.489,0.1,0.4,.306,8.1,16.5,.494,.493,3.8,5.2,.732,2.2,3.1,5.3,1.6,1.0,0.5,2.6,2.8,20.5,6MOY-5
James Worthy,27,LAL,SF,81,81,36.5,8.7,15.8,.548,0.0,0.3,.087,8.6,15.5,.556,.548,3.1,4.0,.782,2.1,4.0,6.0,3.6,1.3,0.7,2.2,2.2,20.5,AS
Kevin Johnson,22,PHO,PG,81,81,39.2,7.0,13.9,.505,0.0,0.3,.091,7.0,13.7,.514,.506,6.3,7.1,.882,0.6,3.6,4.2,12.2,1.7,0.3,4.0,2.8,20.4,"MVP-8,MIP-1,NBA2"
Moses Malone,33,ATL,C,81,80,35.5,6.6,13.5,.491,0.0,0.1,.000,6.6,13.4,.496,.491,6.9,8.8,.789,4.8,7.0,11.8,1.4,1.0,1.2,3.0,1.9,20.2,"MVP-13,AS"
Fat Lever,28,DEN,SG,71,71,38.7,7.9,17.2,.457,0.3,0.9,.348,7.5,16.3,.463,.466,3.8,4.8,.785,2.6,6.7,9.3,7.9,2.7,0.3,2.2,2.5,19.8,DPOY-7
Rolando Blackman,29,DAL,SG,78,78,37.8,7.6,16.0,.476,0.4,1.1,.353,7.2,14.9,.485,.488,4.1,4.7,.854,0.9,2.6,3.5,3.7,0.8,0.3,2.1,1.8,19.7,
Byron Scott,27,LAL,SG,74,73,35.2,7.9,16.2,.491,1.0,2.6,.399,6.9,13.6,.508,.523,2.6,3.1,.863,1.0,3.1,4.1,3.1,1.5,0.4,2.1,2.4,19.6,
Thurl Bailey,27,UTA,SF,82,3,33.9,7.5,15.5,.483,0.0,0.1,.400,7.5,15.5,.484,.484,4.4,5.4,.825,1.4,4.0,5.5,1.7,0.6,1.1,2.5,2.3,19.5,6MOY-2
Larry Bird,32,BOS,SF,6,6,31.5,8.2,17.3,.471,0.0,0.0,,8.2,17.3,.471,.471,3.0,3.2,.947,0.2,6.0,6.2,4.8,1.0,0.8,1.8,3.0,19.3,
Adrian Dantley,33,2TM,SF,73,67,33.2,6.4,13.1,.493,0.0,0.0,.000,6.4,13.1,.493,.493,6.3,7.8,.810,1.6,2.7,4.3,2.3,0.6,0.2,2.2,2.5,19.2,
Mark Aguirre,29,2TM,SF,80,76,32.5,7.3,15.9,.461,0.6,2.2,.293,6.7,13.7,.488,.481,3.6,4.9,.733,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9,
Brad Daugherty,23,CLE,C,78,78,36.2,7.0,13.0,.538,0.0,0.0,.333,7.0,12.9,.538,.538,4.9,6.7,.737,2.1,7.1,9.2,3.7,0.8,0.5,2.9,2.2,18.9,"MVP-11,AS"
Mark Price,24,CLE,PG,75,74,36.4,7.1,13.4,.526,1.2,2.8,.441,5.8,10.6,.548,.572,3.5,3.9,.901,0.6,2.4,3.0,8.4,1.5,0.1,2.8,1.3,18.9,"MVP-10,AS,NBA3"
Willie Anderson,22,SAS,SF,81,79,33.8,7.9,15.9,.498,0.0,0.3,.190,7.9,15.6,.503,.500,2.8,3.6,.775,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6,ROY-2
Ron Harper,25,CLE,SG,82,82,34.8,7.2,14.0,.511,0.4,1.4,.250,6.8,12.6,.540,.523,3.9,5.2,.751,1.5,3.5,5.0,5.3,2.3,0.9,2.8,2.7,18.6,
Robert Parish,35,BOS,C,80,80,35.5,7.5,13.1,.570,0.0,0.0,,7.5,13.1,.570,.570,3.7,5.1,.719,4.3,8.2,12.5,2.2,1.0,1.5,2.5,2.6,18.6,"MVP-11,NBA3"
Michael Adams,26,DEN,PG,77,77,36.2,6.1,14.1,.433,2.2,6.1,.356,3.9,8.0,.490,.509,4.2,5.1,.819,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5,
