Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,27,SFW,C,80,46.1,15.1,28.7,.524,6.8,12.7,.531,22.3,5.0,2.3,36.9,"MVP-2,AS,NBA1"
Oscar Robertson,25,CIN,PG,79,45.1,10.6,22.0,.483,10.1,11.9,.853,9.9,11.0,3.5,31.4,"MVP-1,AS,NBA1"
Jerry West,25,LAL,PG,72,40.4,10.3,21.2,.484,8.1,9.8,.832,6.0,5.6,2.8,28.7,"MVP-5,AS,NBA1"
Bob Pettit,31,STL,PF,80,41.2,9.9,21.4,.463,7.6,9.6,.789,15.3,3.2,3.8,27.4,"MVP-4,AS,NBA1"
Walt Bellamy,24,BAL,C,80,42.4,10.1,19.8,.513,6.7,10.3,.651,17.0,1.6,3.8,27.0,AS
Elgin Baylor,29,LAL,SF,78,40.6,9.7,22.8,.425,6.0,7.5,.804,12.0,4.4,3.0,25.4,"MVP-6,AS,NBA1"
Hal Greer,27,PHI,SG,80,39.5,8.9,20.1,.444,5.4,6.6,.829,6.1,4.7,3.6,23.3,"MVP-6,AS,NBA2"
Bailey Howell,27,DET,SF,77,35.1,7.8,16.5,.472,6.1,7.5,.809,10.1,2.7,3.8,21.6,AS
Terry Dischinger,23,BAL,SF,80,35.2,7.6,15.2,.496,5.7,7.3,.776,8.3,2.0,4.0,20.8,AS
John Havlicek,23,BOS,SF,80,32.3,8.0,19.2,.417,3.9,5.3,.746,5.4,3.0,2.8,19.9,NBA2
Sam Jones,30,BOS,SG,76,31.3,8.1,17.9,.450,3.3,4.2,.783,4.6,2.7,2.5,19.4,"MVP-9,AS"
Dick Barnett,27,LAL,SG,78,33.6,6.9,15.3,.452,4.5,5.8,.773,3.2,3.1,3.0,18.4,
Cliff Hagan,32,STL,SF,77,29.6,7.4,16.6,.447,3.5,4.3,.813,4.9,2.5,3.5,18.4,
Jerry Lucas,23,CIN,PF,79,41.4,6.9,13.1,.527,3.9,5.0,.779,17.4,2.6,3.8,17.7,"MVP-9,ROY-1,AS,NBA2"
Ray Scott,25,DET,PF,80,37.1,6.7,16.3,.412,4.1,5.7,.719,13.5,3.1,3.7,17.6,
Wayne Embry,26,CIN,C,80,36.4,7.0,15.2,.458,3.4,5.2,.650,11.6,1.4,4.1,17.3,"MVP-9,AS"
Gus Johnson,25,BAL,PF,78,36.5,7.3,17.0,.430,2.7,4.1,.658,13.6,2.2,4.1,17.3,"MVP-6,ROY-2"
Don Ohl,27,DET,SG,71,33.3,7.0,17.2,.408,3.2,4.7,.680,2.5,3.2,3.1,17.3,AS
Chet Walker,23,PHI,SF,76,36.5,6.5,14.7,.440,4.3,6.1,.711,10.3,1.6,3.1,17.3,AS
Len Chappell,23,2TM,PF,79,31.7,6.7,15.0,.448,3.6,5.1,.715,9.8,1.1,2.7,17.1,AS
