Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Neil Johnston,25,PHW,C,72,40.5,7.2,16.4,.440,8.2,10.7,.766,15.1,3.0,3.5,22.7,"AS,NBA1"
Bob Cousy,26,BOS,PG,71,38.7,7.4,18.5,.397,6.5,8.0,.807,6.0,7.8,2.3,21.2,"AS,NBA1"
Paul Arizin,26,PHW,SF,72,41.0,7.3,18.4,.399,6.3,8.1,.776,9.4,2.9,3.8,21.0,AS
Bob Pettit,22,MLH,PF,72,36.9,7.2,17.8,.407,5.9,7.9,.751,13.8,3.2,3.6,20.4,"ROY-1,AS,NBA1"
Frank Selvy,22,2TM,SF,71,37.6,6.4,16.8,.378,6.3,8.6,.728,5.5,3.5,3.2,19.0,AS
Clyde Lovellette,25,MNL,C,70,33.7,7.4,17.0,.435,3.9,5.7,.686,11.5,1.4,3.7,18.7,
Vern Mikkelsen,26,MNL,PF,71,36.0,6.2,14.7,.422,6.3,8.4,.747,10.2,2.0,4.5,18.7,"AS,NBA2"
Dolph Schayes,26,SYR,PF,72,35.1,5.9,15.3,.383,6.8,8.2,.833,12.3,3.0,3.4,18.5,"AS,NBA1"
Bill Sharman,28,BOS,SG,68,36.1,6.7,15.6,.427,5.1,5.7,.897,4.4,4.1,3.1,18.4,"AS,NBA2"
Ed Macauley,26,BOS,C,71,38.1,5.7,13.4,.424,6.2,7.9,.792,8.5,3.9,2.4,17.6,AS
George Yardley,26,FTW,SF,60,35.8,6.1,14.5,.418,5.2,6.9,.745,9.9,2.1,3.4,17.3,AS
Larry Foust,26,FTW,C,70,32.3,5.7,11.7,.487,5.6,7.3,.766,10.0,1.7,3.8,17.0,"AS,NBA1"
Carl Braun,27,NYK,SG,71,34.9,5.6,14.5,.388,3.9,4.8,.801,4.2,3.9,2.9,15.1,AS
Harry Gallatin,27,NYK,PF,72,35.4,4.6,11.9,.384,5.5,6.7,.814,13.8,2.4,2.9,14.6,"AS,NBA2"
Paul Seymour,27,SYR,SG,72,41.0,5.2,14.4,.362,4.2,5.1,.811,4.3,6.7,1.9,14.6,"AS,NBA2"
Ray Felix,24,NYK,C,72,28.1,5.1,11.6,.438,4.3,6.9,.622,11.4,0.9,4.0,14.4,
Jim Baechtold,27,NYK,SF,72,35.2,5.0,12.5,.403,3.9,4.7,.823,4.3,3.0,2.8,13.9,
Joe Graboski,25,PHW,PF,70,35.9,5.3,15.7,.340,3.0,4.3,.686,9.1,2.6,3.7,13.6,
Slater Martin,29,MNL,PG,72,38.7,4.9,12.8,.381,3.8,5.0,.769,3.6,5.9,3.1,13.6,"AS,NBA2"
Nat Clifton,32,NYK,PF,72,33.2,5.0,12.9,.386,3.1,4.6,.683,8.5,2.8,3.1,13.1,
Bobby Wanzer,33,ROC,SG,72,33.0,4.5,11.4,.395,4.1,5.2,.786,5.2,3.4,2.3,13.1,AS
Jack Coleman,30,ROC,PF,72,34.5,5.6,12.0,.462,1.7,2.5,.678,10.1,3.2,2.8,12.8,AS
Bob Davies,35,ROC,PG,72,26.0,4.5,10.9,.415,3.1,4.1,.751,2.8,4.9,3.1,12.1,
Mel Hutchins,26,FTW,PF,72,39.7,4.7,12.5,.378,2.5,3.6,.708,9.2,3.4,3.2,12.0,
Chuck Share,27,MLH,C,69,24.4,3.4,8.4,.407,5.1,7.1,.713,9.9,1.2,4.0,11.9,
Arnie Risen,30,ROC,C,69,28.6,3.8,10.1,.371,4.0,5.4,.744,10.2,1.6,3.7,11.6,AS
Jack George,26,PHW,PG,68,36.5,4.3,11.1,.385,2.8,4.3,.660,4.4,5.3,2.8,11.4,
Red Rocha,31,SYR,C,72,34.3,4.1,11.1,.368,3.1,3.9,.782,6.8,2.5,3.4,11.3,
Frank Ramsey,23,BOS,SF,64,27.4,3.7,9.3,.399,3.8,5.0,.755,6.3,2.9,3.9,11.2,
Max Zaslofsky,29,FTW,SG,70,26.6,3.8,11.7,.328,3.5,5.0,.702,2.7,2.9,1.9,11.2,
Whitey Skoog,28,MNL,SG,72,32.8,4.6,11.6,.395,1.7,2.2,.806,4.2,3.5,3.7,10.9,
