Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Bob Pettit,26,STL,PF,72,39.9,10.0,22.8,.438,9.3,12.2,.759,16.4,3.1,2.8,29.2,"MVP-1,AS,NBA1"
Paul Arizin,30,PHW,SF,70,40.0,9.0,20.9,.431,8.4,10.3,.813,9.1,1.7,3.8,26.4,"MVP-5,AS,NBA2"
Jack Twyman,24,CIN,SF,72,37.7,9.9,23.5,.420,6.1,7.8,.783,9.1,2.9,3.8,25.8,"MVP-10,AS"
Elgin Baylor,24,MNL,SF,70,40.8,8.6,21.2,.408,7.6,9.8,.777,15.0,4.1,3.9,24.9,"MVP-3,ROY-1,AS,NBA1"
Cliff Hagan,27,STL,SF,72,37.5,9.0,19.7,.456,5.8,7.4,.774,10.9,3.4,3.8,23.7,"MVP-9,AS,NBA2"
Dolph Schayes,30,SYR,PF,72,36.7,7.0,18.1,.387,7.3,8.5,.864,13.4,2.5,3.9,21.3,"MVP-6,AS,NBA2"
Kenny Sears,25,NYK,PF,71,35.2,6.9,14.1,.490,7.1,8.3,.861,9.3,1.9,3.3,21.0,"MVP-8,AS"
Bill Sharman,32,BOS,SG,72,33.1,7.8,19.1,.408,4.8,5.1,.932,4.1,2.5,2.4,20.4,"AS,NBA1"
Bob Cousy,30,BOS,PG,65,37.0,7.4,19.4,.384,5.1,5.9,.855,5.5,8.6,2.1,20.0,"MVP-4,AS,NBA1"
George Yardley,30,2TM,SF,61,30.1,7.3,17.1,.428,5.2,6.7,.779,7.1,1.1,2.6,19.8,AS
Tom Heinsohn,24,BOS,PF,66,31.7,7.0,18.1,.390,4.7,5.9,.798,9.7,2.5,4.1,18.8,
Richie Guerin,26,NYK,SG,71,36.0,6.2,14.7,.424,5.7,7.1,.802,7.3,5.1,3.6,18.2,"MVP-11,AS,NBA2"
Red Kerr,26,SYR,C,72,37.1,7.0,15.8,.441,3.9,5.1,.766,14.0,2.0,2.5,17.8,AS
Gene Shue,27,DET,PG,72,38.1,6.4,16.6,.388,4.7,5.8,.803,4.7,3.2,1.8,17.6,"MVP-14,AS"
Bill Russell,24,BOS,C,70,42.6,6.5,14.2,.457,3.7,6.1,.598,23.0,3.2,2.3,16.7,"MVP-2,AS,NBA1"
Larry Costello,27,SYR,PG,70,39.3,5.9,13.5,.437,4.0,5.0,.802,5.2,5.4,3.8,15.8,"MVP-7,AS"
Willie Naulls,24,NYK,SF,68,30.3,6.0,15.8,.378,3.8,4.6,.830,10.6,1.5,3.4,15.7,
Frank Ramsey,27,BOS,SG,72,28.0,5.3,14.1,.378,4.7,6.1,.782,6.8,2.0,3.7,15.4,
Woody Sauldsberry,24,PHW,C,72,38.1,7.0,19.2,.363,1.5,2.4,.625,11.5,1.0,3.8,15.4,AS
Joe Graboski,29,PHW,PF,72,34.5,5.5,15.5,.353,3.8,5.0,.750,10.4,2.1,3.5,14.7,
Clyde Lovellette,29,STL,C,70,22.8,5.7,12.6,.454,2.9,3.6,.820,8.6,1.3,3.1,14.4,
Phil Jordon,25,DET,PF,72,28.6,5.5,13.4,.413,3.2,4.2,.762,8.3,1.2,2.7,14.3,
Tom Gola,26,PHW,SG,64,36.5,4.8,12.1,.401,4.4,5.6,.787,11.1,4.2,3.8,14.1,MVP-11
Vern Mikkelsen,30,MNL,PF,72,29.7,4.9,12.6,.390,4.0,4.9,.806,7.9,2.2,3.4,13.8,
Dick Garmaker,26,MNL,SG,72,34.6,4.9,12.3,.395,3.9,5.1,.772,4.5,2.9,3.1,13.7,AS
Walter Dukes,28,DET,C,72,32.5,4.4,12.6,.352,4.1,6.3,.657,13.3,0.9,4.6,13.0,
Johnny McCarthy,24,CIN,PG,47,38.9,5.2,14.0,.373,2.5,3.7,.667,4.8,4.8,3.4,12.9,
Larry Foust,30,MNL,C,72,26.8,4.2,10.7,.390,3.9,5.1,.765,8.7,1.3,3.2,12.3,AS
Ed Conlin,25,2TM,SG,72,27.2,4.6,12.4,.369,2.7,3.8,.719,5.5,1.8,2.6,11.9,
Wayne Embry,21,CIN,C,66,24.1,4.1,10.6,.387,3.1,4.8,.656,9.0,1.5,3.5,11.4,
Hal Greer,22,SYR,SG,68,23.9,4.5,10.0,.454,2.0,2.6,.778,2.9,1.5,2.8,11.1,
Sam Jones,25,BOS,SG,71,20.6,4.3,9.9,.434,2.1,2.8,.770,6.0,1.4,1.4,10.7,
Guy Rodgers,23,PHW,PG,45,34.8,4.7,11.9,.394,1.4,2.5,.545,6.2,5.8,2.9,10.7,
Dave Piontek,24,CIN,PF,72,23.3,4.2,11.3,.375,2.2,3.2,.687,5.3,1.7,2.3,10.6,
Carl Braun,31,NYK,PG,72,27.2,4.0,9.5,.420,2.5,3.0,.826,3.5,4.8,2.5,10.5,
Ray Felix,28,NYK,C,72,22.1,3.6,9.7,.371,3.2,4.5,.713,7.9,0.7,3.8,10.4,
Jim Palmer,25,CIN,C,67,24.2,3.8,9.4,.404,2.7,3.7,.724,7.0,1.0,3.1,10.3,
Bucky Bockhorn,25,CIN,SG,71,31.7,4.1,10.9,.381,1.9,2.8,.704,6.5,2.9,3.0,10.2,
Al Bianchi,26,SYR,PG,72,24.7,4.0,10.5,.377,2.1,2.9,.723,2.8,2.2,3.6,10.0,MVP-14
Bob Hopkins,24,SYR,PF,67,22.7,3.7,9.1,.403,2.6,3.5,.752,6.5,1.0,2.7,10.0,
Frank Selvy,26,NYK,SG,68,21.3,3.4,8.9,.385,3.0,3.9,.767,3.6,1.4,1.7,9.8,
Slater Martin,33,STL,PG,71,35.3,3.5,9.9,.347,2.8,3.6,.776,3.6,4.7,3.2,9.7,"AS,NBA2"
Hot Rod Hundley,24,MNL,PG,71,23.4,3.6,10.1,.360,2.3,3.1,.752,3.5,2.9,2.0,9.6,
Slick Leonard,26,MNL,PG,58,27.6,3.6,9.5,.373,2.1,2.8,.750,3.1,3.2,2.1,9.2,
Dick McGuire,33,DET,PG,71,29.1,3.3,7.6,.427,2.7,3.6,.740,4.0,6.2,2.1,9.2,"MVP-11,AS"
Jim Krebs,23,MNL,C,72,21.9,3.8,9.4,.399,1.3,1.7,.748,6.8,0.7,2.9,8.8,
Charlie Tyra,23,NYK,C,69,23.0,3.5,8.8,.396,1.9,2.8,.679,7.0,0.5,2.6,8.8,
Jack George,30,2TM,PG,71,26.5,3.3,9.5,.346,2.2,2.9,.754,4.1,3.1,2.1,8.7,
Si Green,25,2TM,PG,46,24.1,3.2,9.0,.352,2.3,3.5,.650,5.5,2.5,2.8,8.6,
Joe Holup,24,DET,SF,68,22.1,3.1,8.5,.360,2.2,2.9,.760,5.2,1.1,3.5,8.4,
Earl Lloyd,30,DET,SF,72,24.9,3.3,9.3,.349,1.9,2.5,.753,6.9,1.3,4.0,8.4,
Togo Palazzi,26,SYR,SF,71,14.8,3.4,8.6,.392,1.6,2.2,.728,3.7,0.9,2.5,8.4,
Jim Loscutoff,28,BOS,SF,66,25.5,3.7,10.4,.353,0.9,1.3,.738,7.0,0.9,4.3,8.3,
Archie Dees,22,CIN,PF,68,18.4,2.9,8.3,.356,2.3,3.0,.779,5.0,0.8,1.7,8.2,
Jack McMahon,30,STL,SG,72,31.0,3.4,9.6,.358,1.3,2.2,.615,2.3,4.1,3.1,8.2,
Ron Sobie,24,NYK,PG,50,17.1,2.9,8.0,.360,2.2,2.7,.842,3.1,1.6,1.7,8.0,
Chuck Noble,27,DET,SG,65,14.4,2.9,8.6,.338,1.3,1.7,.735,1.8,1.8,1.9,7.1,
Dick Farley,26,DET,SG,70,18.3,2.5,6.4,.395,2.0,2.7,.737,2.8,1.8,1.9,7.0,
Andy Johnson,26,PHW,SF,67,17.3,2.6,7.0,.373,1.7,2.9,.602,3.2,1.3,2.6,6.9,
Med Park,25,2TM,SG,62,18.2,2.3,5.8,.402,1.9,2.4,.767,3.0,1.7,1.5,6.5,
Ed Fleming,25,MNL,SG,71,15.9,2.3,5.9,.387,1.9,2.7,.721,4.0,1.3,2.1,6.5,
Shellie McMillon,22,DET,PF,48,14.6,2.6,6.0,.439,1.1,2.2,.529,5.9,0.5,2.3,6.4,
Neil Johnston,29,PHW,C,28,14.0,1.9,5.9,.329,2.5,3.1,.784,5.0,0.8,1.8,6.3,
Mike Farmer,22,NYK,SF,72,21.5,2.4,6.9,.353,1.2,1.4,.838,4.4,0.9,2.1,6.0,
Chuck Share,31,STL,C,72,23.8,2.0,5.3,.386,1.9,2.6,.755,9.1,1.4,3.6,6.0,
Vern Hatton,23,2TM,PG,64,17.3,2.3,6.5,.356,1.2,1.6,.733,2.8,1.1,1.7,5.9,
Boo Ellis,22,MNL,PF,72,16.7,2.3,5.3,.430,1.4,2.0,.708,5.3,0.8,1.9,5.9,
Al Ferrari,25,STL,SG,72,16.5,1.9,5.3,.348,2.0,2.8,.729,2.0,1.7,2.2,5.7,
Ernie Beck,27,PHW,SG,70,14.5,2.3,6.0,.390,0.6,0.9,.662,2.5,1.3,1.8,5.3,
Phil Rollins,25,2TM,,44,15.7,1.9,5.3,.359,1.4,2.0,.700,2.7,2.3,1.1,5.2,
Guy Sparrow,26,2TM,PF,67,12.6,1.9,6.1,.318,1.2,2.1,.565,3.6,1.0,2.4,5.0,
Hub Reed,22,STL,C,65,14.6,2.1,4.9,.429,0.8,1.1,.746,4.9,0.5,2.6,5.0,
George Dempsey,29,2TM,PG,57,12.2,1.6,3.8,.428,1.4,1.9,.764,2.8,1.2,1.7,4.6,
Connie Dierking,22,SYR,C,64,11.3,1.6,4.5,.362,1.3,2.2,.593,3.6,0.5,2.3,4.6,
Ed Macauley,30,STL,C,14,14.0,1.6,5.4,.293,1.5,2.5,.600,2.9,0.9,1.4,4.6,
Bennie Swain,25,BOS,PF,58,12.2,1.7,4.2,.406,1.2,1.9,.609,4.5,0.5,2.2,4.6,
Steve Hamilton,24,MNL,SF,67,12.6,1.6,4.4,.371,1.1,1.6,.679,3.3,0.5,2.1,4.4,
Paul Seymour,31,SYR,SG,21,12.7,1.5,4.7,.327,1.2,1.4,.897,1.9,1.7,1.2,4.3,
Larry Staverman,22,CIN,PF,57,11.9,1.8,3.8,.470,0.8,1.0,.763,3.8,0.9,1.8,4.3,
Gene Conley,28,BOS,PF,50,13.3,1.7,5.2,.328,0.7,1.3,.578,5.5,0.4,2.3,4.2,
Lou Tsioropoulos,28,BOS,SF,35,13.9,1.7,5.4,.316,0.7,0.9,.758,3.1,0.6,2.1,4.1,
Win Wilfong,25,STL,PG,63,11.8,1.6,4.5,.347,1.0,1.3,.756,1.9,0.8,1.6,4.1,
Jack Parr,22,CIN,C,66,15.7,1.7,4.7,.355,0.7,1.1,.603,4.2,0.8,2.1,4.0,
Lennie Rosenbluth,26,PHW,SF,29,7.1,1.5,5.0,.297,0.7,1.0,.724,1.9,0.2,0.7,3.7,
Tom Marshall,28,CIN,SF,18,15.1,1.3,4.4,.291,1.0,1.6,.621,2.9,1.5,1.2,3.6,
Barney Cable,23,DET,PF,31,8.7,1.4,4.1,.341,0.7,0.9,.793,2.8,0.4,1.0,3.5,
K.C. Jones,26,BOS,PG,49,12.4,1.3,3.9,.339,0.8,1.4,.603,2.6,1.4,1.2,3.5,
Pete Brennan,22,NYK,,16,8.5,0.8,2.7,.302,0.9,1.6,.560,1.9,0.4,0.9,2.5,
Jerry Bird,23,NYK,,11,4.1,1.1,2.9,.375,0.1,0.1,1.000,1.1,0.4,0.6,2.3,
Tommy Kearns,22,SYR,,1,7.0,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,1.0,2.0,
Dave Gambee,21,STL,SF,2,3.5,0.5,0.5,1.000,0.0,0.0,,1.0,0.0,1.0,1.0,
Brendan McCann,23,NYK,PG,1,7.0,0.0,3.0,.000,0.0,0.0,,1.0,1.0,1.0,0.0,
