Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Tiny Archibald,24,KCO,PG,80,,46.0,12.9,26.3,.488,8.3,9.8,.847,2.8,11.4,2.6,34.0,"MVP-3,AS,NBA1"
Kareem Abdul-Jabbar,25,MIL,C,76,,42.8,12.9,23.3,.554,4.3,6.1,.713,16.1,5.0,2.7,30.2,"MVP-2,AS,NBA1"
Spencer Haywood,23,SEA,PF,77,,42.3,11.5,24.3,.476,6.1,7.3,.839,12.9,2.5,2.8,29.2,"MVP-7,AS,NBA1"
Lou Hudson,28,ATL,SF,75,,40.4,10.9,22.8,.477,5.3,6.4,.825,6.2,3.4,2.6,27.1,"MVP-18,AS"
Pete Maravich,25,ATL,SG,79,,39.1,10.0,22.6,.441,6.1,7.7,.800,4.4,6.9,3.1,26.1,"MVP-19,AS,NBA2"
Charlie Scott,24,PHO,PG,81,,37.8,10.0,22.3,.446,5.4,6.9,.784,4.2,6.1,3.8,25.3,AS
Geoff Petrie,24,POR,SG,79,,39.7,10.6,22.8,.464,3.8,4.8,.778,3.5,4.4,2.1,24.9,
Gail Goodrich,29,LAL,SG,76,,35.5,9.9,21.3,.464,4.1,4.9,.840,3.5,4.4,2.5,23.9,AS
John Havlicek,32,BOS,SF,80,,42.1,9.6,21.3,.450,4.6,5.4,.858,7.1,6.6,2.4,23.8,"MVP-5,AS,NBA1,DEF1"
Bob Lanier,24,DET,C,81,,38.9,10.0,20.4,.490,3.8,4.9,.773,14.9,3.2,3.4,23.8,"MVP-14,AS"
Sidney Wicks,23,POR,PF,80,,39.4,9.5,21.1,.452,4.8,6.6,.723,10.9,5.5,3.2,23.8,"MVP-16,AS"
Bob Love,30,CHI,PF,82,,37.0,9.4,21.9,.431,4.2,5.1,.824,6.5,1.5,2.9,23.1,"MVP-11,AS"
Jerry West,34,LAL,PG,69,,35.7,9.0,18.7,.479,4.9,6.1,.805,4.2,8.8,2.0,22.8,"MVP-6,AS,NBA1,DEF1"
Dave Bing,29,DET,PG,82,,41.0,8.4,18.8,.448,5.6,6.8,.814,3.6,7.8,2.8,22.4,"MVP-19,AS"
Rick Barry,28,GSW,SF,82,,37.5,9.0,19.9,.452,4.4,4.8,.902,8.9,4.9,3.0,22.3,"MVP-19,AS,NBA2"
Elvin Hayes,27,BAL,PF,81,,41.3,8.8,19.8,.444,3.6,5.4,.671,14.5,1.6,2.9,21.2,"MVP-10,AS,NBA2"
Walt Frazier,27,NYK,PG,78,,40.8,8.7,17.8,.490,3.7,4.5,.817,7.3,5.9,2.4,21.1,"MVP-7,AS,NBA2,DEF1"
Austin Carr,24,CLE,SG,82,,37.8,8.6,19.2,.446,3.4,4.2,.822,4.5,3.4,2.3,20.5,
Dave Cowens,24,BOS,C,82,,41.8,9.0,20.0,.452,2.5,3.2,.779,16.2,4.1,3.8,20.5,"MVP-1,AS,NBA2"
Lenny Wilkens,35,CLE,PG,75,,39.6,7.6,17.0,.449,5.3,6.3,.828,4.6,8.4,2.9,20.5,"MVP-16,AS"
Bob Dandridge,25,MIL,SF,73,,39.1,8.7,18.5,.472,2.7,3.4,.789,8.2,2.8,3.8,20.2,AS
Neal Walk,24,PHO,C,81,,38.4,8.4,18.0,.466,3.4,4.4,.786,12.4,3.5,4.0,20.2,
Fred Carter,27,PHI,SG,81,74,37.0,8.4,19.9,.421,3.2,4.5,.704,6.0,4.3,3.1,20.0,
Chet Walker,32,CHI,SF,79,,31.1,7.6,15.8,.478,4.8,5.7,.832,5.0,2.3,2.1,19.9,AS
Phil Chenier,22,BAL,SG,71,,39.1,8.5,18.8,.452,2.7,3.4,.795,4.1,4.2,2.3,19.7,
Jo Jo White,26,BOS,PG,82,,39.6,8.7,20.3,.431,2.2,2.8,.781,5.0,6.1,2.3,19.7,AS
Rudy Tomjanovich,24,HOU,PF,81,,36.7,8.1,16.9,.478,3.1,4.1,.746,11.6,2.2,2.8,19.3,
Jim McMillian,24,LAL,SF,81,,36.5,8.1,17.7,.458,2.8,3.3,.845,5.5,2.7,2.2,18.9,
Jack Marin,28,HOU,SF,81,,37.3,7.7,16.5,.468,3.1,3.6,.849,6.2,3.6,3.0,18.5,AS
Dick Van Arsdale,29,PHO,SG,81,,36.8,6.6,13.8,.476,5.3,6.1,.859,4.0,3.3,2.7,18.4,
Archie Clark,31,BAL,PG,39,,37.9,7.7,15.3,.507,2.8,3.5,.810,3.3,7.1,2.8,18.3,
Elmore Smith,23,BUF,C,76,,37.2,7.9,16.4,.482,2.5,4.4,.558,12.4,2.5,3.9,18.3,MVP-13
Mike Riordan,27,BAL,SF,82,,42.3,8.0,15.6,.510,2.2,2.7,.821,4.9,5.2,2.6,18.1,DEF2
Bob McAdoo,21,BUF,PF,80,,32.0,7.3,16.2,.452,3.4,4.4,.774,9.1,1.7,3.2,18.0,ROY-1
Jimmy Walker,28,HOU,PG,81,,38.0,7.5,16.1,.465,3.0,3.4,.884,3.3,5.5,2.6,18.0,
Jeff Mullins,30,GSW,SG,81,,37.1,8.0,16.3,.493,1.8,2.1,.831,4.5,4.2,2.5,17.8,
