Player,Age,Team,Pos,G,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Slater Martin,25,MNL,PG,68,3.3,9.2,.362,1.8,2.6,.684,3.6,3.5,2.9,8.5,
Dick McGuire,25,NYK,PG,64,2.8,7.5,.371,2.8,4.3,.649,5.2,6.3,2.4,8.4,"AS,NBA2"
John Oldham,27,FTW,,68,2.9,8.8,.333,2.5,4.3,.586,3.6,1.9,3.6,8.4,
Bob Lavoy,24,INO,PF,63,3.5,9.8,.357,1.3,2.1,.632,4.9,1.2,3.0,8.3,
Kenny Sailors,30,2TM,,60,3.0,8.9,.340,2.2,3.0,.728,2.0,2.5,3.3,8.2,
Leo Barnhorst,26,INO,SF,68,3.4,9.9,.346,1.2,1.8,.689,4.4,3.2,2.9,8.0,
Walt Budko,25,BLB,PF,64,2.6,7.3,.356,2.6,3.5,.744,7.1,2.1,3.2,7.8,
Bill Calhoun,23,ROC,SG,66,2.7,7.7,.346,2.4,3.5,.706,3.0,1.5,1.3,7.7,
John Logan,30,TRI,,30,2.8,9.0,.312,2.1,2.8,.750,4.5,4.0,2.3,7.7,
Ernie Vandeweghe,22,NYK,,44,3.1,7.6,.402,1.5,2.2,.701,4.4,2.8,3.3,7.7,
Kleggie Hermsen,27,2TM,,71,2.7,9.1,.293,2.2,3.3,.654,6.3,1.3,3.7,7.5,
Alex Hannum,27,SYR,PF,63,2.9,7.8,.368,1.7,3.1,.543,4.8,1.9,4.3,7.5,
Chick Halbert,31,2TM,,68,2.4,6.6,.365,2.5,3.6,.694,7.9,2.3,3.2,7.4,
Duane Klueh,25,FTW,,61,2.6,7.5,.343,2.2,3.0,.734,3.0,1.3,2.3,7.4,
Red Holzman,30,ROC,PG,68,2.7,8.3,.326,1.9,2.6,.726,2.2,2.2,1.4,7.3,
Ariel Maughan,27,WSC,,35,2.2,7.1,.312,2.8,3.5,.797,4.0,1.4,2.6,7.3,
Don Rehfeldt,24,BLB,SF,59,2.8,7.2,.385,1.7,2.4,.741,4.3,1.2,2.5,7.3,
Dick Mehen,28,3TM,PF,66,2.9,8.1,.361,1.4,1.9,.732,3.4,1.8,2.3,7.2,
Paul Seymour,23,SYR,,51,2.5,7.5,.325,2.3,3.1,.736,3.8,3.7,2.7,7.2,
Frank Kudelka,25,2TM,,62,2.9,8.4,.346,1.3,1.9,.697,2.5,1.7,3.4,7.1,
Joe Holland,25,INO,SF,67,2.9,8.9,.330,1.2,2.0,.569,5.1,2.2,3.4,7.0,
Harry Boykoff,28,2TM,,48,2.6,7.0,.375,1.5,2.1,.740,4.6,1.3,4.1,6.8,
Ed Peterson,26,2TM,,53,2.5,7.2,.339,1.9,2.8,.660,5.4,1.2,3.5,6.8,
Ray Lumpp,27,NYK,,64,2.4,5.9,.404,1.9,2.5,.775,2.0,1.8,2.5,6.7,
Cal Christensen,23,TRI,SF,67,2.0,6.6,.301,2.6,3.7,.714,7.8,2.4,4.0,6.6,
Ed Leede,23,BOS,,57,2.1,6.5,.322,2.5,3.3,.741,2.1,1.7,2.5,6.6,
Johnny Macknowski,28,SYR,,58,2.3,7.5,.301,2.1,2.9,.718,1.9,1.2,2.3,6.6,
Alan Sawyer,23,WSC,,33,2.6,7.1,.370,1.3,1.5,.860,3.7,0.8,2.3,6.6,
Brady Walker,29,2TM,PF,66,2.5,6.3,.394,1.1,1.6,.699,5.4,1.7,1.2,6.1,
Bob Donham,24,BOS,SG,68,2.2,4.4,.507,1.7,3.4,.498,3.5,2.0,2.6,6.1,
Earl Lloyd,22,WSC,SF,7,2.3,5.0,.457,1.6,1.9,.846,6.7,1.6,3.7,6.1,
Bones McKinney,32,2TM,SF,44,2.3,7.4,.312,1.3,1.8,.716,4.5,1.9,3.1,6.0,
