Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
Bob McAdoo,24,BUF,C,78,,42.7,12.0,24.6,.487,7.2,9.4,.762,3.1,9.3,12.4,4.0,1.2,2.1,3.8,31.1,"MVP-2,AS"
Kareem Abdul-Jabbar,28,LAL,C,82,82,41.2,11.1,21.1,.529,5.5,7.8,.703,3.3,13.5,16.9,5.0,1.5,4.1,3.6,27.7,"MVP-1,AS,NBA1,DEF2"
Pete Maravich,28,NOJ,SG,62,,38.3,9.7,21.2,.459,6.4,7.9,.811,0.7,4.1,4.8,5.4,1.4,0.4,3.2,25.9,"MVP-15,NBA1"
Tiny Archibald,27,KCK,PG,78,,40.8,9.2,20.3,.453,6.4,8.0,.802,0.9,1.9,2.7,7.9,1.6,0.2,2.2,24.8,"MVP-9,AS,NBA1"
Fred Brown,27,SEA,SG,76,,33.1,9.8,20.0,.488,3.6,4.1,.869,1.5,2.7,4.2,2.7,1.9,0.2,2.4,23.1,"MVP-13,AS"
George McGinnis,25,PHI,PF,77,77,38.3,8.4,20.2,.417,6.2,8.3,.740,3.4,9.2,12.6,4.7,2.6,0.5,4.3,23.0,"MVP-5,AS,NBA1"
Randy Smith,27,BUF,SG,82,82,38.6,8.6,17.3,.494,4.7,5.7,.817,1.3,3.8,5.1,5.9,1.9,0.0,3.3,21.8,"MVP-24,AS,NBA2"
John Drew,21,ATL,SF,77,,30.5,7.6,15.2,.502,6.3,8.5,.744,3.7,4.9,8.6,1.9,1.8,0.4,3.4,21.6,"MVP-20,AS"
Bob Dandridge,28,MIL,SF,73,,37.5,8.9,17.8,.502,3.7,4.5,.824,2.3,5.1,7.4,2.8,1.5,0.5,3.6,21.5,"MVP-24,AS"
Bob Lanier,27,DET,C,64,,36.9,8.5,15.9,.532,4.4,5.8,.768,3.4,8.3,11.7,3.4,1.2,1.3,3.2,21.3,
Rick Barry,31,GSW,SF,81,,38.5,8.7,20.0,.435,3.5,3.8,.923,0.9,5.2,6.1,6.1,2.5,0.3,2.7,21.0,"MVP-4,AS,NBA1"
Calvin Murphy,27,HOU,PG,82,82,36.5,8.2,16.7,.493,4.5,5.0,.907,0.6,1.9,2.5,7.3,1.8,0.1,3.6,21.0,
Doug Collins,24,PHI,SG,77,77,38.9,8.0,15.5,.513,4.8,5.8,.836,1.6,2.4,4.0,2.5,1.4,0.3,3.2,20.8,"MVP-20,AS"
Earl Monroe,31,NYK,SG,76,,38.0,8.5,17.8,.478,3.7,4.7,.787,0.6,3.0,3.6,4.0,1.5,0.3,2.8,20.7,MVP-12
Paul Westphal,25,PHO,PG,82,,36.1,8.0,16.2,.494,4.5,5.4,.830,0.9,2.3,3.2,5.4,2.6,0.5,2.7,20.5,MVP-24
Phil Smith,23,GSW,SG,82,82,34.1,8.0,16.9,.477,3.9,5.0,.788,1.6,3.0,4.6,4.4,1.3,0.2,2.7,20.0,"MVP-7,AS,NBA2,DEF2"
Phil Chenier,25,WSB,SG,80,,36.9,8.2,16.9,.483,3.5,4.3,.827,1.1,3.0,4.0,3.2,2.0,0.6,2.3,19.9,MVP-17
Spencer Haywood,26,NYK,PF,78,,37.1,7.8,17.4,.445,4.3,5.7,.757,3.0,8.3,11.3,1.2,0.7,1.0,3.3,19.9,
Elvin Hayes,30,WSB,PF,80,,37.2,8.1,17.3,.470,3.6,5.7,.628,2.6,8.4,11.0,1.5,1.3,2.5,3.7,19.8,"MVP-8,AS,NBA2"
Gail Goodrich,32,LAL,SG,75,,35.3,7.8,17.6,.441,3.9,4.6,.847,1.3,1.6,2.9,5.6,1.6,0.2,3.2,19.5,
Walt Frazier,30,NYK,PG,59,,41.1,8.0,16.4,.485,3.2,3.8,.823,1.3,5.4,6.8,5.9,1.8,0.2,2.8,19.1,"MVP-17,AS"
Bob Love,33,CHI,SF,76,,37.1,7.1,18.3,.390,4.8,5.9,.801,2.5,4.2,6.7,1.9,0.8,0.1,3.1,19.1,
Sidney Wicks,26,POR,PF,79,,38.5,7.3,15.2,.483,4.4,6.5,.674,3.1,5.9,9.0,3.1,1.0,0.7,3.2,19.1,
Alvan Adams,21,PHO,C,80,,33.2,7.9,16.8,.469,3.3,4.4,.735,2.7,6.4,9.1,5.6,1.5,1.5,3.4,19.0,"ROY-1,AS"
Dave Cowens,27,BOS,C,78,,39.8,7.8,16.7,.468,3.3,4.4,.756,4.3,11.7,16.0,4.2,1.2,0.9,4.0,19.0,"MVP-3,AS,NBA2,DEF1"
Fred Carter,30,PHI,PG,82,81,36.5,8.1,19.4,.417,2.7,3.8,.702,1.4,2.3,3.6,4.5,1.7,0.2,3.5,18.9,
Geoff Petrie,27,POR,SG,72,,35.5,7.5,16.3,.461,3.8,4.6,.829,0.5,1.8,2.3,4.6,1.1,0.1,2.7,18.9,
Jo Jo White,29,BOS,PG,82,82,39.7,8.2,18.2,.449,2.6,3.1,.838,0.7,3.1,3.8,5.4,1.3,0.2,2.2,18.9,"MVP-20,AS"
Mike Newlin,27,HOU,SG,82,82,37.4,6.9,13.7,.507,4.7,5.4,.865,0.9,3.2,4.1,5.6,1.3,0.1,3.2,18.6,
Rudy Tomjanovich,27,HOU,PF,79,,36.9,7.9,15.2,.517,2.8,3.6,.767,2.1,6.3,8.4,2.4,0.5,0.2,2.6,18.5,AS
Brian Winters,23,MIL,SG,78,,35.8,7.9,17.1,.464,2.3,2.8,.829,0.8,2.3,3.2,4.7,1.6,0.3,3.1,18.2,AS
Jamaal Wilkes,22,GSW,SF,82,82,33.1,7.5,16.3,.463,2.8,3.6,.772,2.4,6.4,8.8,2.0,1.2,0.4,2.7,17.8,"MVP-17,AS,DEF2"
Charlie Scott,27,BOS,SG,82,82,35.5,7.2,16.0,.449,3.3,4.1,.797,1.3,3.1,4.4,4.2,1.3,0.3,4.3,17.6,
John Havlicek,35,BOS,SF,76,,34.2,6.6,14.8,.450,3.7,4.4,.844,1.5,2.6,4.1,3.7,1.3,0.4,2.7,17.0,"MVP-24,AS,NBA2,DEF1"
Lou Hudson,31,ATL,SG,81,,31.6,7.0,14.9,.472,2.9,3.6,.814,1.3,2.4,3.7,2.6,1.5,0.2,3.0,17.0,
Dave Bing,32,WSB,PG,82,,35.9,6.1,13.6,.447,4.0,5.1,.787,1.1,1.7,2.9,6.0,1.4,0.3,3.2,16.2,"MVP-6,AS"
Bill Walton,23,POR,C,51,,33.1,6.8,14.4,.471,2.6,4.5,.583,2.6,10.8,13.4,4.3,1.0,1.6,2.8,16.1,MVP-24
Curtis Rowe,26,DET,PF,80,,37.5,6.4,13.7,.468,3.2,4.3,.737,2.9,5.8,8.7,2.3,0.6,0.6,2.6,16.0,AS
Jim Chones,26,CLE,C,82,82,33.4,6.9,15.3,.448,2.1,3.2,.662,2.4,6.6,9.0,2.0,0.5,1.1,2.9,15.8,MVP-9
Jim McMillian,27,BUF,SF,74,,35.3,6.6,12.4,.536,2.5,3.0,.858,1.8,3.5,5.3,2.8,1.2,0.2,1.9,15.8,
Jimmy Walker,31,KCK,SG,73,,34.1,6.3,13.0,.483,3.2,3.7,.865,0.7,1.8,2.4,2.4,1.2,0.2,2.5,15.7,
Tom Burleson,23,SEA,C,82,82,32.3,6.0,12.6,.481,3.5,4.7,.750,3.1,5.9,9.0,2.2,0.9,1.8,3.3,15.6,
Elmore Smith,26,MIL,C,78,,36.0,6.4,12.3,.518,2.8,4.5,.632,2.6,8.9,11.4,1.2,1.0,3.1,3.4,15.6,
Lloyd Neal,25,POR,PF,68,,34.1,6.4,13.3,.481,2.7,3.9,.694,2.1,6.5,8.6,1.7,0.8,1.6,3.7,15.5,
Scott Wedman,23,KCK,SF,82,82,36.2,6.6,14.4,.456,2.3,3.0,.780,2.4,5.0,7.4,2.4,1.3,0.4,3.4,15.5,AS
Mickey Johnson,23,CHI,PF,81,,29.5,5.9,12.8,.463,3.5,4.4,.786,3.4,5.9,9.4,1.6,1.1,0.8,3.6,15.3,
Campy Russell,24,CLE,SF,82,,23.9,5.9,12.2,.482,3.2,4.2,.773,1.6,2.6,4.2,1.3,0.8,0.1,2.8,15.0,
Lucius Allen,28,LAL,PG,76,,31.4,6.1,13.2,.459,2.6,3.3,.776,0.8,2.0,2.8,4.7,1.3,0.3,3.2,14.7,
Tom Henderson,24,ATL,PG,81,,35.8,5.8,14.0,.413,2.7,3.8,.708,0.7,2.6,3.3,4.6,1.7,0.1,2.4,14.2,
Steve Mix,28,PHI,SF,81,63,37.5,5.2,10.4,.499,3.5,4.3,.818,2.7,5.5,8.2,2.7,2.0,0.4,3.6,13.9,MVP-20
Leonard Gray,24,SEA,PF,66,,32.4,6.0,12.6,.474,1.9,2.6,.746,1.7,4.4,6.0,3.1,1.1,0.5,3.9,13.8,
Billy Cunningham,32,PHI,SF,20,20,32.0,5.2,12.6,.410,3.4,4.4,.773,1.5,5.9,7.4,5.4,1.2,0.5,2.9,13.7,
Bingo Smith,29,CLE,SG,81,,28.9,6.1,13.8,.442,1.4,1.7,.816,1.0,3.2,4.2,1.9,0.7,0.4,2.9,13.6,
Curtis Perry,27,PHO,PF,71,,33.1,5.4,10.9,.497,2.5,3.4,.732,2.8,6.9,9.6,2.6,1.2,0.9,3.8,13.3,
Eric Money,20,DET,PG,80,,28.3,5.6,11.8,.474,1.8,2.3,.806,1.0,1.6,2.6,4.2,1.7,0.1,3.0,13.0,
Slick Watts,24,SEA,PG,82,82,33.9,5.3,12.4,.427,2.4,4.2,.578,1.4,3.1,4.5,8.1,3.2,0.2,3.3,13.0,DEF1
Kevin Kunnert,24,HOU,C,80,,29.2,5.8,11.9,.487,1.3,2.0,.654,3.3,6.5,9.8,1.9,0.7,1.3,3.9,12.9,
Dick Van Arsdale,32,PHO,SG,58,,32.2,4.8,9.8,.484,3.4,4.1,.830,0.7,1.7,2.4,2.4,0.9,0.2,1.9,12.9,
Sam Lacey,27,KCK,C,81,,38.1,5.0,12.6,.401,2.7,3.5,.759,2.7,10.0,12.6,4.7,1.6,1.7,3.5,12.8,
Nate Williams,25,NOJ,SF,81,,23.9,5.2,11.7,.444,2.4,3.0,.824,1.7,2.8,4.4,1.3,1.3,0.2,3.1,12.8,
Kevin Porter,25,DET,PG,19,,36.2,5.2,12.4,.421,2.2,2.9,.750,0.7,1.6,2.3,10.2,1.8,0.2,4.4,12.6,
Dick Snyder,31,CLE,SG,82,82,27.7,5.4,10.7,.501,1.9,2.3,.824,0.6,1.8,2.4,2.7,0.7,0.4,2.6,12.6,
Norm Van Lier,28,CHI,PG,76,,39.8,4.8,13.0,.366,3.1,4.2,.737,1.8,3.6,5.4,6.6,2.0,0.3,3.9,12.6,"MVP-24,AS,DEF1"
Louie Nelson,24,NOJ,SG,66,,30.8,5.0,11.4,.433,2.6,3.5,.735,1.2,1.8,3.1,2.6,1.2,0.1,2.2,12.5,
Jim Cleamons,26,CLE,PG,82,82,34.6,5.0,10.8,.466,2.1,2.7,.798,1.5,2.8,4.3,5.2,1.5,0.2,2.6,12.2,DEF2
Cazzie Russell,31,LAL,SF,74,,22.0,5.0,10.8,.463,1.8,2.0,.892,0.7,1.8,2.5,1.6,0.7,0.0,1.6,11.8,
Bruce Seals,22,SEA,SF,81,,30.1,4.8,11.0,.436,2.2,3.3,.678,1.9,4.3,6.3,1.5,0.8,0.5,3.9,11.8,
