Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
John Shumate,23,2TM,PF,75,,26.3,4.4,7.9,.561,2.8,4.3,.650,1.9,5.5,7.4,1.7,1.1,0.5,2.1,11.7,ROY-5
Jim Price,26,MIL,PG,80,,31.6,5.0,12.0,.415,1.8,2.1,.849,0.9,2.3,3.3,4.9,1.9,0.4,3.3,11.7,
Gus Williams,22,GSW,PG,77,,22.4,4.7,11.1,.428,2.2,3.0,.742,0.8,1.3,2.1,3.1,1.8,0.3,1.9,11.7,ROY-2
Ron Behagen,25,NOJ,PF,66,,26.3,4.7,10.5,.446,2.2,2.7,.804,2.9,5.5,8.4,2.1,1.0,0.4,3.4,11.5,
Jim Brewer,24,CLE,PF,82,82,35.5,4.9,10.7,.458,1.7,2.6,.654,3.6,7.2,10.9,2.5,1.1,1.1,2.6,11.5,DEF2
Truck Robinson,24,WSB,PF,82,,25.1,4.3,9.5,.454,2.6,3.8,.672,1.7,5.1,6.8,1.4,0.5,1.3,2.9,11.2,MVP-24
Bill Bradley,32,NYK,SF,82,82,33.0,4.8,11.0,.433,1.6,1.8,.878,0.6,2.3,2.9,3.0,0.8,0.2,3.1,11.1,
Ed Ratleff,25,HOU,SF,72,,33.3,4.4,9.0,.485,2.3,2.9,.816,1.5,3.8,5.3,3.6,1.6,0.5,3.3,11.1,
Gar Heard,27,2TM,PF,86,,31.9,4.6,10.5,.435,1.8,2.9,.637,2.9,7.2,10.1,2.2,1.4,1.1,3.5,11.0,
Tom Van Arsdale,32,ATL,SF,75,,27.0,4.6,10.5,.441,1.7,2.2,.759,0.5,2.0,2.5,1.9,0.8,0.1,2.7,10.9,
Donnie Freeman,31,LAL,SG,64,,23.1,4.1,9.5,.434,2.5,3.1,.819,1.1,1.7,2.8,2.7,0.9,0.2,2.5,10.8,
Lionel Hollins,22,POR,PG,74,,25.6,4.2,10.0,.421,2.4,3.3,.721,0.5,1.8,2.4,4.1,1.8,0.4,3.2,10.8,ROY-4
Jack Marin,31,2TM,SF,79,,24.2,4.3,10.3,.422,2.0,2.4,.856,0.9,2.3,3.2,1.8,0.6,0.1,2.1,10.7,
John Mengelt,26,DET,SG,67,,16.5,3.9,8.1,.489,2.9,3.5,.810,0.4,1.3,1.7,1.6,0.6,0.1,2.1,10.7,
Paul Silas,32,BOS,PF,81,,32.9,3.9,9.1,.426,2.9,4.1,.709,4.5,8.1,12.7,2.5,0.7,0.4,2.8,10.7,"MVP-14,DEF1"
Joe Meriweather,22,HOU,C,81,,25.2,4.2,8.4,.494,1.9,3.0,.644,2.0,4.4,6.4,1.0,0.4,1.5,2.7,10.2,
Austin Carr,27,CLE,SG,65,,19.7,4.2,9.6,.442,1.6,2.1,.791,1.0,1.0,2.0,1.9,0.6,0.0,1.4,10.1,
Ken Charles,24,BUF,SG,81,,27.7,4.0,8.9,.456,2.0,2.5,.785,0.7,2.0,2.7,2.5,1.5,0.6,3.2,10.1,
Keith Erickson,31,PHO,SF,74,,25.0,4.1,8.8,.470,1.8,2.1,.854,1.4,3.1,4.5,2.5,1.1,0.1,2.6,10.1,
Ollie Johnson,26,KCK,SF,81,,26.5,4.3,8.4,.513,1.5,1.8,.839,1.4,3.0,4.4,1.8,0.8,0.5,2.7,10.1,
Dwight Jones,23,ATL,C,66,,26.7,3.8,8.2,.463,2.5,3.3,.744,2.6,5.3,7.9,1.3,0.8,0.9,3.2,10.1,
Jerry Sloan,33,CHI,SG,22,,28.0,3.8,9.5,.400,2.5,3.5,.705,1.8,3.5,5.3,1.0,1.2,0.2,3.5,10.1,
John Johnson,28,2TM,SF,76,,22.3,4.2,9.2,.453,1.6,2.0,.774,1.2,3.1,4.4,2.9,0.8,0.5,2.6,9.9,
Larry Steele,26,POR,SG,81,,29.4,4.0,8.0,.495,1.9,2.5,.759,1.0,2.7,3.6,4.0,2.1,0.2,3.6,9.9,
Larry McNeill,25,KCK,PF,82,,19.7,3.6,7.4,.484,2.5,3.3,.758,1.9,4.3,6.2,0.9,0.6,0.4,3.0,9.7,
Don Ford,23,LAL,SF,76,,24.2,4.1,9.3,.438,1.4,1.8,.748,1.6,2.8,4.4,1.5,0.7,0.2,2.4,9.6,
Wes Unseld,29,WSB,C,78,,37.5,4.1,7.3,.561,1.5,2.5,.585,3.5,9.8,13.3,5.2,1.1,0.8,2.6,9.6,MVP-11
Henry Bibby,26,NOJ,PG,79,,22.4,3.4,7.9,.428,2.5,3.2,.797,0.7,1.5,2.3,2.8,0.8,0.0,2.1,9.3,
Al Eberhard,23,DET,SF,81,,25.5,3.5,8.4,.414,2.4,2.8,.834,1.7,3.1,4.8,1.0,1.1,0.2,3.1,9.3,
John Gianelli,25,NYK,C,82,,28.4,4.0,8.4,.473,1.4,2.0,.713,2.3,4.5,6.7,1.4,0.3,0.8,2.4,9.3,
Charles Johnson,26,GSW,PG,81,,19.1,4.2,9.0,.467,0.7,1.0,.759,1.0,1.5,2.5,1.5,1.2,0.1,2.2,9.2,
John Laskowski,22,CHI,SG,71,,22.1,4.0,9.7,.412,1.2,1.7,.725,0.7,2.4,3.1,0.8,0.8,0.1,1.3,9.2,
Ricky Sobers,23,PHO,SG,78,,24.3,3.6,8.0,.449,2.0,2.5,.823,1.0,2.3,3.3,2.8,1.4,0.1,3.2,9.2,
Bud Stallworth,26,NOJ,SF,56,,18.8,3.8,8.6,.437,1.5,2.2,.685,0.8,1.8,2.6,0.9,0.5,0.3,2.4,9.1,
Aaron James,23,NOJ,SF,75,,17.9,3.5,7.9,.441,2.0,2.7,.750,1.2,2.1,3.3,0.8,0.4,0.1,2.3,9.0,
Otto Moore,29,NOJ,C,81,,29.7,3.6,8.3,.436,1.8,2.8,.637,2.0,7.8,9.8,2.7,1.0,1.7,3.1,9.0,
Howard Porter,27,DET,SF,75,,19.8,4.0,8.5,.469,1.0,1.3,.753,1.1,2.9,3.9,0.3,0.4,0.5,1.8,8.9,
Tom Boerwinkle,30,CHI,C,74,,27.6,3.6,7.2,.500,1.6,2.4,.667,3.6,7.1,10.7,3.8,0.6,0.7,3.6,8.8,
Junior Bridgeman,22,MIL,SF,81,,20.3,3.5,8.0,.439,1.6,2.0,.795,1.4,2.2,3.6,1.9,0.6,0.3,2.9,8.6,
Mike Sojourner,22,ATL,C,67,,23.9,3.7,7.8,.473,1.2,1.8,.672,1.9,4.8,6.7,0.9,0.6,0.6,2.6,8.6,
Herm Gilliam,29,SEA,SG,81,,20.3,3.7,8.3,.442,1.1,1.4,.776,0.7,2.0,2.7,2.5,1.0,0.1,1.7,8.5,
Gary Brokaw,22,MIL,SG,75,,19.6,3.2,6.9,.457,2.1,3.0,.700,0.3,1.3,1.7,3.3,0.5,0.2,1.8,8.4,
Chris Ford,27,DET,SG,82,,26.8,3.7,8.6,.426,1.0,1.4,.722,1.0,2.6,3.5,3.3,2.2,0.3,2.7,8.4,
Mike Riordan,30,WSB,SF,78,,24.9,3.7,8.5,.440,0.9,1.2,.740,0.6,1.8,2.4,1.6,0.7,0.2,2.6,8.4,
World B. Free,22,PHI,SG,71,5,15.8,3.4,7.5,.448,1.6,2.6,.602,0.9,0.9,1.8,1.5,0.5,0.1,1.5,8.3,ROY-3
Nick Weatherspoon,25,WSB,SF,64,,16.9,3.4,7.2,.476,1.5,2.1,.701,1.3,3.0,4.3,0.9,0.7,0.3,2.7,8.3,
Connie Hawkins,33,ATL,PF,74,,25.8,3.2,7.2,.447,1.8,2.6,.712,1.4,4.6,6.0,2.9,1.1,0.6,2.3,8.2,
George Trapp,27,DET,PF,76,,14.4,3.7,7.9,.462,0.8,1.2,.716,1.0,2.0,3.0,0.7,0.4,0.3,2.2,8.1,
Butch Beard,28,2TM,PG,75,,22.7,3.0,6.6,.460,1.9,2.6,.750,1.4,2.8,4.1,2.9,1.1,0.1,2.9,8.0,
Bill Robinzine,23,KCK,PF,75,,17.7,3.1,6.7,.459,1.9,2.6,.732,1.7,3.0,4.7,0.8,1.1,0.1,3.9,8.0,
Mike Bantom,24,2TM,SF,73,,21.5,3.0,6.5,.462,1.9,2.7,.683,1.9,3.4,5.4,1.4,0.4,0.4,3.0,7.9,
John Brown,24,ATL,PF,75,,23.4,2.9,6.5,.442,2.2,2.8,.775,1.9,3.4,5.4,1.7,0.6,0.2,3.1,7.9,
Archie Clark,34,DET,SG,79,,20.1,3.2,7.3,.433,1.3,1.5,.862,0.3,1.4,1.7,2.8,0.8,0.1,2.0,7.6,
Jim McElroy,22,NOJ,PG,51,,22.2,3.0,5.8,.510,1.6,2.2,.736,0.7,1.5,2.2,2.1,0.9,0.1,1.4,7.5,
Bobby Wilson,25,CHI,SG,58,,14.8,3.4,8.4,.403,0.7,1.0,.741,0.6,1.1,1.6,0.9,0.4,0.0,1.7,7.5,
Joe Bryant,21,PHI,PF,75,3,16.0,3.1,7.4,.422,1.2,2.0,.626,1.3,2.4,3.7,0.8,0.6,0.3,2.2,7.4,
Dave Meyers,22,MIL,PF,72,,22.1,2.8,6.6,.419,1.9,2.9,.643,1.7,4.5,6.2,1.4,1.0,0.3,2.0,7.4,
Neal Walk,27,NYK,C,82,,16.3,3.2,7.4,.432,1.0,1.2,.798,1.2,3.5,4.7,1.5,0.3,0.3,2.5,7.4,
E.C. Coleman,25,NOJ,PF,67,,27.6,3.2,7.1,.451,0.9,1.3,.663,1.9,4.4,6.3,1.3,0.8,0.4,3.4,7.3,
Cornell Warner,27,LAL,PF,81,,31.0,3.1,6.5,.479,1.1,1.6,.695,2.8,6.2,8.9,1.3,0.7,0.6,3.5,7.3,
Leon Benbow,25,CHI,SG,76,,20.9,2.9,7.3,.397,1.4,1.8,.750,0.9,1.5,2.3,2.1,0.8,0.1,2.4,7.1,
Rich Kelley,22,NOJ,C,75,,17.9,2.5,5.1,.485,2.1,2.7,.776,2.6,4.5,7.0,2.1,0.7,0.8,2.8,7.0,
Willie Norwood,28,SEA,SF,64,,15.7,2.3,4.7,.485,2.4,3.2,.749,1.4,2.2,3.6,0.9,0.7,0.1,2.2,6.9,
Clifford Ray,27,GSW,C,82,82,26.6,2.6,4.9,.525,1.7,2.8,.609,3.3,6.2,9.5,1.8,1.0,1.0,3.0,6.9,MVP-16
Bob Gross,22,POR,SF,76,,19.4,2.8,5.3,.523,1.3,1.9,.683,1.8,2.2,4.0,2.1,1.2,0.6,2.4,6.8,
Steve Hawes,25,2TM,C,72,,19.6,2.8,5.6,.494,1.2,1.7,.725,2.4,4.5,6.9,1.6,0.6,0.3,2.3,6.7,
Ernie DiGregorio,25,BUF,PG,67,,20.4,2.7,7.1,.384,1.3,1.4,.915,0.2,1.4,1.7,4.0,0.6,0.0,2.4,6.7,
Glenn Hansen,23,KCK,SG,66,,17.3,2.6,6.4,.412,1.3,1.8,.726,1.2,1.7,2.8,1.0,0.7,0.2,2.2,6.5,
Steve Jones,33,POR,SG,64,,12.8,2.6,5.9,.442,1.2,1.5,.830,0.2,1.0,1.2,1.0,0.3,0.1,1.5,6.5,
Derrek Dickey,24,GSW,PF,79,,15.3,2.8,6.0,.465,0.8,1.0,.785,1.4,3.0,4.4,1.1,0.3,0.1,1.8,6.4,
Charles Dudley,25,GSW,PG,82,,17.8,2.2,4.2,.528,1.9,3.0,.641,1.4,1.9,3.3,2.9,0.9,0.0,2.1,6.4,
Clem Haskins,32,WSB,SG,55,,13.4,2.7,4.9,.550,1.0,1.2,.831,0.2,0.8,1.0,1.3,0.4,0.1,1.4,6.4,
Don Nelson,35,BOS,SF,75,,12.6,2.3,5.1,.462,1.7,2.1,.789,0.7,1.7,2.4,1.0,0.2,0.1,1.5,6.4,
Nate Hawthorne,26,PHO,SG,79,,14.5,2.3,5.4,.430,1.5,2.2,.676,1.1,1.6,2.6,0.6,0.4,0.2,1.9,6.1,
Phil Jackson,30,NYK,PF,80,,18.3,2.3,4.8,.478,1.4,1.9,.733,1.0,3.3,4.3,1.3,0.5,0.3,3.4,6.0,
Dean Meminger,27,ATL,SG,68,,20.9,2.3,5.6,.409,1.5,2.2,.658,1.0,1.3,2.2,3.3,0.8,0.1,1.7,6.0,
Kevin Restani,24,MIL,PF,82,,20.1,2.9,6.0,.475,0.3,0.5,.571,1.4,3.2,4.6,1.2,0.4,0.1,1.8,6.0,
Jim Barnett,31,NYK,SG,71,,14.5,2.3,5.2,.442,1.3,1.6,.789,0.7,0.6,1.2,1.3,0.3,0.0,1.2,5.9,
Jimmy Jones,31,WSB,PG,64,,17.7,2.4,4.8,.497,1.1,1.5,.766,0.5,1.5,2.0,1.9,0.5,0.1,2.0,5.9,
Connie Norman,22,PHI,SG,65,1,12.6,2.8,6.5,.434,0.3,0.4,.833,0.8,0.8,1.6,1.0,0.4,0.1,1.3,5.9,
Frank Oleynick,20,SEA,SG,52,,12.5,2.4,6.1,.402,1.0,1.5,.688,0.2,0.7,0.9,1.0,0.4,0.1,1.2,5.9,
Lindsay Hairston,24,DET,SF,47,,13.9,2.2,4.9,.456,1.4,2.4,.580,1.4,2.4,3.8,0.4,0.4,0.7,1.8,5.8,
Wilbur Holland,24,ATL,SG,33,,10.6,2.6,6.5,.399,0.7,1.0,.647,0.5,0.8,1.2,0.8,0.6,0.1,1.5,5.8,
Cliff Pondexter,21,CHI,PF,75,,17.7,2.1,5.1,.411,1.6,2.4,.670,1.5,3.6,5.1,1.2,0.4,0.3,1.8,5.8,
Glenn McDonald,23,BOS,SF,75,,13.6,2.5,6.1,.419,0.5,0.7,.714,0.7,1.1,1.8,0.9,0.5,0.3,1.6,5.6,
Corky Calhoun,25,LAL,SF,76,,23.9,2.3,4.8,.467,0.9,1.1,.783,1.5,2.9,4.5,1.1,0.8,0.5,2.8,5.4,
Kevin Stacom,24,BOS,SG,77,,14.5,2.2,5.0,.439,0.9,1.2,.747,0.8,1.3,2.1,1.7,0.3,0.1,1.5,5.3,
Rowland Garrett,25,2TM,SF,55,,9.8,2.0,4.7,.419,1.0,1.2,.815,0.8,1.3,2.1,0.3,0.5,0.1,1.2,4.9,
Freddie Boyd,25,2TM,PG,36,0,17.1,2.1,4.8,.433,0.8,1.4,.569,0.1,0.8,0.9,2.2,0.8,0.2,1.6,4.9,
Steve Kuberski,28,2TM,C,70,,13.8,1.9,4.2,.464,1.0,1.1,.899,1.3,2.4,3.7,0.7,0.2,0.2,1.9,4.9,
Dennis Awtrey,27,PHO,C,74,,18.6,1.9,4.1,.467,1.0,1.5,.688,1.3,2.7,4.0,2.1,0.3,0.3,2.1,4.9,
George Johnson,27,GSW,C,82,,21.3,2.0,4.2,.484,0.9,1.3,.673,2.4,5.2,7.6,1.0,0.6,2.1,3.4,4.9,
Ron Williams,31,LAL,PG,9,,17.6,1.9,4.8,.395,1.1,1.4,.769,0.2,1.9,2.1,2.3,0.3,0.0,1.7,4.9,
Leroy Ellis,35,PHI,C,29,13,16.9,2.1,4.6,.462,0.6,1.0,.607,1.6,2.6,4.2,0.7,0.6,0.3,2.1,4.8,
Jeff Mullins,33,GSW,SG,29,,10.7,2.0,4.1,.483,0.8,1.0,.793,0.4,0.7,1.1,1.3,0.5,0.0,1.2,4.8,
Pat Riley,30,2TM,SG,62,,13.1,1.9,4.9,.389,0.9,1.2,.714,0.3,0.5,0.8,0.9,0.4,0.1,1.8,4.7,
Dick Gibbs,27,BUF,SF,72,,12.0,1.8,4.2,.429,1.1,1.3,.828,0.6,0.9,1.5,0.7,0.2,0.2,1.8,4.7,
Stu Lantz,29,LAL,PG,53,,16.1,1.6,3.8,.417,1.5,1.7,.899,0.5,1.3,1.9,1.4,0.5,0.1,2.0,4.7,
Tom McMillen,23,BUF,C,50,,14.2,1.9,4.4,.432,0.8,1.1,.759,1.3,2.4,3.7,1.4,0.1,0.1,1.7,4.7,
Bill Willoughby,18,ATL,SF,62,,14.0,1.8,4.6,.398,1.1,1.6,.660,1.7,3.0,4.6,0.5,0.6,0.5,1.4,4.7,
Foots Walker,24,CLE,PG,81,,15.8,1.8,4.6,.388,1.0,1.3,.778,0.7,1.6,2.2,3.6,1.2,0.1,1.7,4.6,
Nate Thurmond,34,2TM,C,78,,17.9,1.8,4.3,.421,0.8,1.6,.504,1.5,3.8,5.3,1.2,0.3,1.3,2.1,4.4,
Dan Anderson,25,POR,PG,52,,11.8,1.7,3.5,.486,1.0,1.2,.836,0.3,0.9,1.2,1.6,0.4,0.0,1.1,4.4,
