Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Michael Jordan,28,CHI,SG,80,80,38.8,11.8,22.7,.519,0.3,1.3,.270,11.5,21.5,.533,.526,6.1,7.4,.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,"MVP-1,DPOY-3,AS,NBA1,DEF1"
Dominique Wilkins,32,ATL,SF,42,42,38.1,10.1,21.8,.464,0.9,3.0,.289,9.2,18.7,.492,.484,7.0,8.4,.835,2.5,4.6,7.0,3.8,1.2,0.6,2.9,1.8,28.1,AS
Karl Malone,28,UTA,PF,81,81,37.7,9.9,18.7,.526,0.0,0.2,.176,9.8,18.5,.530,.527,8.3,10.7,.778,2.8,8.4,11.2,3.0,1.3,0.6,3.1,2.8,28.0,"MVP-4,DPOY-6,AS,NBA1"
Chris Mullin,28,GSW,SF,81,81,41.3,10.2,19.6,.524,0.8,2.2,.366,9.5,17.4,.544,.544,4.3,5.2,.833,1.6,4.0,5.6,3.5,2.1,0.8,2.5,2.1,25.6,"MVP-6,AS,NBA1"
Clyde Drexler,29,POR,SG,76,76,36.2,9.1,19.4,.470,1.5,4.4,.337,7.6,15.0,.510,.509,5.3,6.6,.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3.0,25.0,"MVP-2,AS,NBA1"
Patrick Ewing,29,NYK,C,82,82,38.4,9.7,18.6,.522,0.0,0.1,.167,9.7,18.5,.523,.522,4.6,6.2,.738,2.8,8.5,11.2,1.9,1.1,3.0,2.5,3.4,24.0,"MVP-5,AS,NBA2,DEF2"
Tim Hardaway,25,GSW,PG,81,81,41.1,9.1,19.7,.461,1.6,4.6,.338,7.5,15.0,.499,.501,3.7,4.8,.766,1.0,2.8,3.8,10.0,2.0,0.2,3.3,2.6,23.4,"MVP-8,AS,NBA2"
David Robinson,26,SAS,C,68,68,37.7,8.7,15.8,.551,0.0,0.1,.125,8.7,15.7,.554,.552,5.8,8.3,.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,3.2,23.2,"MVP-3,DPOY-1,AS,NBA1,DEF1"
Charles Barkley,28,PHI,SF,75,75,38.4,8.3,15.0,.552,0.4,1.8,.234,7.9,13.2,.597,.567,6.1,8.7,.695,3.6,7.5,11.1,4.1,1.8,0.6,3.1,2.6,23.1,"MVP-12,AS,NBA2"
Mitch Richmond,26,SAC,SG,80,80,38.7,8.6,18.3,.468,1.3,3.4,.384,7.3,15.0,.486,.503,4.1,5.1,.813,0.8,3.2,4.0,5.1,1.2,0.4,3.1,2.9,22.5,
