Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
Mike Bantom,23,PHO,SF,82,,27.3,5.1,11.1,.461,2.3,3.2,.714,2.6,4.2,6.7,1.9,0.8,0.6,3.3,12.5,MVP-16
Curtis Rowe,25,DET,PF,82,,34.0,5.1,10.7,.483,2.1,2.8,.753,2.1,5.0,7.1,1.5,0.6,0.5,2.3,12.4,
Keith Erickson,30,PHO,SF,49,,30.0,4.8,11.4,.425,2.7,3.2,.833,1.4,3.5,5.0,3.5,1.0,0.2,3.1,12.3,
Lloyd Neal,24,POR,PF,82,,27.8,5.0,10.6,.471,2.3,3.6,.641,2.3,6.1,8.4,1.7,0.5,1.1,2.9,12.3,
Jerry Sloan,32,CHI,SG,78,,33.0,4.9,11.1,.439,2.5,3.3,.748,2.3,4.6,6.9,2.1,2.2,0.2,3.4,12.2,DEF1
Herm Gilliam,28,ATL,SG,60,,23.2,5.2,12.3,.427,1.6,1.9,.832,1.3,2.1,3.4,2.8,1.3,0.2,2.1,12.0,
Jim Cleamons,25,CLE,PG,74,,36.4,5.0,10.4,.480,1.9,2.4,.796,1.3,3.1,4.4,5.1,1.1,0.3,2.6,11.9,
Jack Marin,30,BUF,SF,81,,26.5,4.7,10.3,.455,2.4,2.7,.869,1.3,3.2,4.5,1.6,0.6,0.2,2.9,11.8,
Ed Ratleff,24,HOU,SF,80,,32.0,4.9,10.6,.461,2.0,2.4,.826,2.3,3.4,5.7,3.2,1.8,0.6,2.9,11.8,
Aaron James,22,NOJ,SF,76,,22.8,4.9,10.2,.477,1.9,2.5,.778,1.8,3.0,4.8,0.9,0.5,0.2,2.9,11.7,
Mike Sojourner,21,ATL,C,73,,29.2,5.2,10.6,.488,1.3,2.0,.651,2.7,6.1,8.8,1.3,0.5,0.8,3.0,11.7,ROY-5
Brian Winters,22,LAL,SG,68,,22.3,5.3,11.9,.443,1.1,1.4,.826,0.6,1.5,2.0,2.9,1.1,0.3,2.5,11.7,
Kevin Porter,24,WSB,PG,81,,32.0,5.0,10.2,.491,1.6,2.3,.704,0.7,1.2,1.9,8.0,1.9,0.1,4.0,11.6,
Leonard Gray,23,SEA,PF,75,,30.4,5.0,10.3,.489,1.4,1.9,.722,1.8,4.6,6.4,2.2,0.8,0.3,3.9,11.5,ROY-4
Sam Lacey,26,KCO,C,81,,41.7,4.8,11.3,.427,1.8,2.4,.754,2.8,11.4,14.2,5.3,1.7,2.1,3.4,11.5,"MVP-10,AS"
Tom Henderson,23,ATL,PG,79,,27.0,4.6,11.3,.411,2.1,3.1,.697,0.6,2.0,2.7,4.0,1.3,0.1,1.9,11.4,
John Brown,23,ATL,SF,73,,27.2,4.3,9.4,.461,2.5,3.4,.740,2.5,3.5,5.9,1.8,0.7,0.2,3.1,11.2,
Louie Nelson,23,NOJ,PG,72,,26.4,4.3,9.4,.452,2.7,3.5,.768,1.0,1.7,2.7,2.5,0.9,0.1,2.6,11.2,
Gar Heard,26,BUF,PF,67,,32.1,4.7,12.2,.388,1.6,2.8,.564,2.8,7.2,9.9,2.8,1.6,1.8,3.6,11.1,
Scott Wedman,22,KCO,SF,80,,31.9,4.7,10.1,.465,1.7,2.1,.818,2.5,3.6,6.1,1.6,1.0,0.3,3.4,11.1,ROY-3
John Mengelt,25,DET,SG,80,,24.9,4.2,8.8,.479,2.6,3.1,.851,0.5,1.9,2.4,2.5,0.9,0.1,2.5,11.0,
Pat Riley,29,LAL,SF,46,,22.1,4.8,11.4,.419,1.5,2.0,.742,0.5,1.3,1.8,2.6,0.8,0.1,2.8,11.0,
Charles Johnson,25,GSW,SG,79,,27.5,5.0,12.1,.412,0.9,1.3,.735,1.7,2.2,3.9,2.9,1.7,0.1,2.6,10.9,
Elmore Smith,25,LAL,C,74,,31.6,4.7,9.5,.493,1.5,3.1,.485,2.8,8.1,10.9,2.0,1.1,2.9,3.4,10.9,
Phil Jackson,29,NYK,PF,78,,29.3,4.2,9.1,.455,2.5,3.2,.763,1.8,5.9,7.7,1.7,1.1,0.7,4.2,10.8,
Kevin Kunnert,23,HOU,C,75,,24.0,4.6,9.0,.512,1.5,2.3,.686,2.9,5.6,8.4,1.4,0.5,1.1,3.0,10.8,
Ron Behagen,24,KCO,PF,81,,27.2,4.1,10.3,.399,2.5,3.3,.754,1.8,5.5,7.3,1.9,0.7,0.5,3.7,10.7,
George Thompson,27,MIL,SG,73,,27.2,4.2,9.5,.443,2.3,2.9,.785,0.7,1.8,2.5,3.1,0.9,0.1,2.8,10.7,
Paul Silas,31,BOS,PF,82,,32.5,3.8,9.1,.417,3.0,4.2,.709,4.2,8.3,12.5,2.7,0.7,0.3,2.8,10.6,"AS,DEF1"
Jim Barnett,30,2TM,SG,73,,24.3,3.9,8.9,.437,2.7,3.3,.836,0.8,1.6,2.5,2.4,0.6,0.2,2.2,10.5,
Dwight Jones,22,ATL,C,75,,27.8,4.3,10.0,.430,1.8,2.4,.721,3.1,6.1,9.3,2.0,0.7,0.7,3.0,10.4,
John Gianelli,24,NYK,C,80,,35.0,4.3,9.1,.472,1.7,2.4,.692,2.7,5.9,8.6,2.0,0.5,1.5,3.3,10.3,
Happy Hairston,32,LAL,PF,74,,30.9,3.7,7.2,.506,2.9,3.7,.801,4.1,8.7,12.8,2.3,0.7,0.1,2.9,10.3,
Tom Burleson,22,SEA,C,82,,23.0,3.9,9.4,.417,2.2,3.2,.687,1.9,5.1,7.0,1.4,0.8,1.9,2.7,10.1,
Dennis Awtrey,26,PHO,C,82,,34.6,4.1,8.8,.470,1.6,2.4,.677,3.0,5.6,8.6,4.2,0.7,0.6,2.8,9.9,
Bud Stallworth,25,NOJ,SF,73,,22.8,4.1,9.7,.420,1.7,2.5,.687,1.1,2.3,3.4,0.6,0.8,0.2,2.8,9.9,
Dwight Davis,25,CLE,PF,78,,25.2,3.8,8.5,.443,2.3,3.1,.718,1.4,4.6,5.9,1.9,0.6,0.5,3.3,9.8,
Larry McNeill,24,KCO,PF,80,,21.9,3.7,8.1,.459,2.4,3.0,.784,1.9,4.4,6.2,0.9,0.9,0.3,2.9,9.8,
Paul Westphal,24,BOS,SG,82,,19.3,4.2,8.2,.510,1.5,1.9,.763,0.5,1.5,2.0,2.9,1.0,0.4,2.3,9.8,
Zaid Abdul-Aziz,28,HOU,C,65,,22.3,3.6,8.3,.437,2.4,3.1,.783,2.4,5.1,7.5,1.3,0.6,1.1,2.0,9.7,
Don Chaney,28,BOS,SG,82,,26.9,3.9,9.1,.428,1.6,2.0,.806,2.1,2.4,4.5,2.2,1.5,0.8,3.0,9.5,DEF2
Clifford Ray,26,GSW,C,82,,30.7,3.6,7.0,.522,2.1,3.5,.602,3.2,7.5,10.6,2.2,1.2,1.4,3.7,9.4,
Wes Unseld,28,WSB,C,73,,39.8,3.7,7.5,.502,1.7,2.5,.685,4.4,10.4,14.8,4.1,1.6,0.9,2.5,9.2,"MVP-9,AS"
Henry Bibby,25,2TM,PG,75,,18.7,3.6,8.3,.436,1.8,2.5,.725,0.6,1.2,1.8,2.4,0.7,0.0,2.1,9.0,
Jim Fox,31,SEA,C,75,,23.5,3.4,7.2,.469,2.3,2.8,.802,1.7,4.8,6.5,1.8,0.6,0.2,2.2,9.0,
Jon McGlocklin,31,MIL,SG,79,,23.5,4.1,8.2,.496,0.8,0.9,.875,0.3,1.2,1.5,3.2,0.6,0.1,1.8,9.0,
George Trapp,26,DET,PF,78,,18.9,3.7,8.4,.442,1.3,1.7,.756,0.9,2.6,3.5,0.8,0.5,0.2,2.7,8.7,
Stu Lantz,28,2TM,SG,75,,23.8,3.0,7.5,.406,2.6,3.1,.838,1.2,1.4,2.6,2.5,0.7,0.2,2.2,8.6,
Larry Steele,25,POR,SG,76,,31.4,3.5,6.4,.548,1.6,1.9,.836,1.1,1.8,3.0,3.8,2.4,0.2,3.3,8.6,
Gary Melchionni,24,PHO,SG,68,,22.5,3.4,7.9,.430,1.7,2.1,.809,0.7,2.1,2.8,2.3,0.7,0.2,1.7,8.5,
Jim Brewer,23,CLE,PF,82,,24.3,3.5,7.8,.455,1.3,1.9,.648,2.5,3.7,6.2,1.6,0.9,0.5,1.8,8.4,
Jeff Mullins,32,GSW,SG,66,,17.3,3.5,7.8,.455,1.1,1.3,.816,0.7,1.2,1.9,2.3,0.9,0.2,1.9,8.2,
Howard Porter,26,2TM,SF,58,,20.1,3.5,7.1,.488,1.1,1.4,.835,1.4,3.0,4.4,0.3,0.4,0.4,1.6,8.1,
Gary Brokaw,21,MIL,SG,73,,22.5,3.2,7.0,.455,1.7,2.5,.685,0.5,1.5,2.0,3.0,0.4,0.2,2.4,8.1,
E.C. Coleman,24,NOJ,PF,77,,28.3,3.3,7.4,.445,1.5,2.2,.699,2.5,4.7,7.1,1.4,1.1,0.5,3.6,8.1,
John Block,30,2TM,PF,54,,17.4,2.9,6.4,.460,2.1,2.7,.792,1.3,3.0,4.3,0.9,0.8,0.6,2.2,8.0,
Connie Hawkins,32,LAL,PF,43,,23.9,3.2,7.5,.429,1.6,2.3,.687,1.3,3.3,4.6,2.8,1.2,0.5,2.7,8.0,
Leroy Ellis,34,PHI,PF,82,69,26.6,3.5,7.6,.461,0.9,1.2,.727,2.4,4.7,7.1,1.4,0.5,0.7,2.2,7.9,
Cliff Meely,27,HOU,PF,48,,15.7,3.3,7.3,.447,1.4,2.0,.723,1.1,2.3,3.4,0.9,0.4,0.4,2.4,7.9,
Dean Meminger,26,ATL,PG,80,,27.2,2.9,6.3,.466,2.1,3.3,.639,1.1,1.6,2.7,5.0,1.5,0.1,2.0,7.9,
Nate Thurmond,33,CHI,C,80,,34.5,3.1,8.6,.364,1.7,2.8,.589,3.2,8.1,11.3,4.1,0.6,2.4,3.4,7.9,
Ernie DiGregorio,24,BUF,PG,31,,23.0,3.3,7.5,.440,1.1,1.5,.778,0.2,1.3,1.5,4.9,0.6,0.0,2.0,7.8,
John Brisker,27,SEA,SG,21,,13.1,2.9,6.7,.426,2.0,2.3,.857,0.7,0.9,1.6,0.9,0.3,0.1,1.6,7.7,
Derrek Dickey,23,GSW,PF,80,,23.2,3.4,7.1,.482,0.8,1.2,.667,2.4,4.5,6.9,1.6,0.7,0.2,2.5,7.7,
Phil Smith,22,GSW,SG,74,,14.3,3.0,6.3,.476,1.7,2.1,.804,0.7,1.2,1.9,1.8,0.8,0.0,1.9,7.7,
Ken Charles,23,BUF,SG,79,,21.4,3.0,6.5,.466,1.5,1.8,.822,0.9,1.2,2.1,2.2,1.1,0.3,2.1,7.6,
Rowland Garrett,24,CHI,SF,70,,16.9,3.3,6.8,.481,1.1,1.4,.794,1.1,2.4,3.5,0.6,0.3,0.2,1.8,7.6,
Cornell Warner,26,MIL,PF,79,,31.9,3.1,6.8,.458,1.3,2.0,.684,3.0,7.3,10.3,1.6,0.6,0.7,3.4,7.6,
Nick Weatherspoon,24,WSB,SF,82,,16.4,3.1,6.9,.456,1.3,1.7,.746,1.6,2.6,4.2,0.6,0.8,0.3,2.6,7.5,
Rick Roberson,27,NOJ,C,16,,21.2,3.0,6.8,.444,1.4,2.5,.575,2.4,4.9,7.4,1.4,0.4,0.5,3.1,7.4,
Harthorne Wingo,27,NYK,PF,82,,20.6,2.8,6.2,.460,1.7,2.3,.754,2.0,3.6,5.6,1.0,0.6,0.4,2.6,7.4,
Neal Walk,26,2TM,C,67,,16.8,3.0,7.1,.419,1.3,1.6,.819,1.4,3.7,5.1,1.8,0.6,0.3,2.6,7.2,
Matt Guokas,30,CHI,SG,82,,25.5,3.1,6.1,.510,1.0,1.3,.757,0.3,1.4,1.7,2.2,0.5,0.2,1.9,7.2,
Stan Love,25,LAL,PF,30,,14.4,2.8,6.5,.438,1.6,2.2,.712,1.0,2.2,3.2,0.9,0.5,0.4,2.3,7.2,
Jimmy Jones,30,WSB,PG,73,,19.5,2.8,5.5,.518,1.4,1.9,.725,0.5,1.4,1.9,2.2,1.0,0.1,2.6,7.1,
Freddie Boyd,24,PHI,PG,66,13,20.6,3.1,7.5,.414,0.8,1.7,.478,0.2,1.1,1.3,2.4,0.7,0.1,2.0,7.0,
Bill Hewitt,30,CHI,PF,18,,25.9,3.1,7.2,.434,0.8,1.3,.609,1.7,4.8,6.4,1.3,0.5,0.6,2.6,7.0,
LaRue Martin,24,POR,C,81,,16.9,2.9,6.4,.452,1.2,1.8,.697,1.7,3.4,5.0,0.9,0.4,0.6,3.0,7.0,
Ollie Johnson,25,2TM,SF,73,,22.8,2.8,5.9,.473,1.3,1.6,.833,1.2,2.1,3.3,1.5,0.8,0.5,2.4,6.9,
Mel Counts,33,NOJ,C,75,,18.9,2.9,6.6,.438,1.1,1.5,.761,1.4,4.5,5.9,2.4,0.7,0.6,2.6,6.9,
Fred Foster,28,CLE,SF,73,,15.6,3.0,7.1,.417,0.9,1.3,.711,0.8,0.7,1.5,1.4,0.3,0.0,1.8,6.9,
Slick Watts,23,SEA,PG,82,,25.1,2.8,6.7,.421,1.1,1.9,.608,1.2,2.0,3.2,6.1,2.3,0.1,3.1,6.8,
Otto Moore,28,2TM,C,42,,25.4,2.8,6.2,.450,1.1,1.6,.667,2.2,5.7,7.9,2.0,0.5,1.0,3.5,6.7,
Toby Kimball,32,NOJ,PF,3,,30.0,2.3,7.7,.304,2.0,2.3,.857,2.7,6.0,8.7,1.3,0.7,0.0,4.0,6.7,
Willie Norwood,27,DET,SF,24,,14.5,2.7,5.1,.520,1.3,1.8,.738,1.3,2.4,3.7,0.7,1.0,0.0,2.1,6.6,
Lenny Wilkens,37,POR,PG,65,,17.9,2.1,4.7,.439,2.3,3.0,.768,0.6,1.3,1.8,3.6,1.2,0.1,1.5,6.5,
Dave Wohl,25,HOU,PG,75,,23.0,2.7,6.2,.439,1.1,1.4,.745,0.3,1.1,1.5,4.5,1.0,0.1,2.5,6.5,
Allan Bristow,23,PHI,SF,72,3,15.3,2.3,5.5,.415,1.7,2.1,.791,1.5,2.0,3.5,1.4,0.3,0.0,1.4,6.2,
Campy Russell,23,CLE,SF,68,,11.1,2.2,5.4,.411,1.8,2.4,.752,0.6,1.6,2.2,0.7,0.3,0.0,1.5,6.2,
Fred Saunders,23,PHO,SF,69,,15.3,2.6,5.9,.433,1.0,1.4,.695,1.2,2.5,3.7,1.2,0.6,0.2,2.2,6.1,
Walt Bellamy,35,NOJ,C,1,,14.0,2.0,2.0,1.000,2.0,2.0,1.000,0.0,5.0,5.0,0.0,0.0,0.0,2.0,6.0,
Ron Riley,24,HOU,PF,77,,20.5,2.5,6.1,.417,0.9,1.3,.732,1.8,3.2,4.9,1.7,0.7,0.3,2.6,6.0,
Clyde Lee,30,2TM,PF,80,35,30.7,2.2,5.3,.412,1.5,2.2,.672,3.6,5.9,9.5,1.3,0.4,0.3,3.6,5.9,
Don Adams,27,DET,SF,51,,27.0,2.5,6.2,.403,0.9,1.5,.577,1.2,3.5,4.8,1.5,1.4,0.4,3.5,5.9,
Chris Ford,26,DET,SG,80,,24.5,2.6,5.4,.474,0.8,1.2,.663,1.2,2.2,3.4,2.9,1.4,0.3,2.3,5.9,
Steve Hawes,24,HOU,C,55,,16.3,2.5,5.1,.502,0.8,1.0,.818,1.5,3.5,5.0,1.6,0.7,0.7,1.8,5.9,
Nate Hawthorne,25,PHO,SG,50,,12.4,2.4,5.7,.411,1.2,1.9,.649,0.7,1.2,1.8,0.8,0.6,0.4,1.9,5.9,
Truck Robinson,23,WSB,PF,76,,13.1,2.5,5.2,.486,0.8,1.5,.522,1.2,2.7,4.0,0.5,0.5,0.4,1.7,5.8,
Bobby Wilson,24,CHI,SG,48,,8.9,2.4,4.7,.511,1.0,1.2,.793,0.4,0.7,1.1,0.8,0.5,0.0,1.1,5.8,
Mel Davis,24,NYK,PF,62,,14.6,2.5,6.4,.390,0.8,1.1,.686,1.1,4.0,5.2,0.9,0.3,0.1,1.7,5.7,
Mickey Davis,24,MIL,SF,75,,14.4,2.3,4.8,.479,1.0,1.2,.886,0.9,2.3,3.2,1.1,0.4,0.1,1.4,5.7,
Jim Washington,31,2TM,PF,80,,19.7,2.4,5.3,.454,0.8,1.2,.667,1.4,3.5,4.9,1.4,0.4,0.3,2.1,5.6,
Rod Derline,22,SEA,SG,58,,11.5,2.4,5.7,.428,0.7,1.0,.768,0.2,0.8,1.0,0.8,0.4,0.1,0.8,5.6,
Rick Adelman,28,3TM,PG,58,,18.5,2.1,5.0,.423,1.3,1.8,.709,0.4,1.2,1.6,1.9,1.2,0.1,1.7,5.5,
Zelmo Beaty,35,LAL,C,69,,17.6,2.0,4.5,.439,1.6,2.0,.800,1.3,3.4,4.7,1.1,0.7,0.4,1.9,5.5,
Lee Winfield,27,BUF,PG,68,,18.5,2.4,4.6,.526,0.7,1.0,.721,0.7,1.2,1.9,2.0,0.6,0.4,1.6,5.5,
Kevin Restani,23,MIL,PF,76,,23.1,2.5,5.6,.440,0.5,0.6,.714,1.7,3.6,5.3,1.6,0.5,0.3,2.3,5.4,
Don Kojis,36,KCO,SF,21,,11.0,2.2,4.7,.469,1.0,1.4,.667,0.7,1.2,1.9,0.5,0.6,0.0,1.5,5.3,
Don Smith,23,PHI,SG,54,0,10.0,2.4,5.9,.408,0.4,0.4,1.000,0.3,0.3,0.6,0.9,0.4,0.1,0.8,5.2,
Barry Clemens,31,POR,SF,77,,12.4,2.2,4.6,.473,0.6,0.8,.750,0.4,1.7,2.1,1.0,0.9,0.0,1.8,4.9,
Eric Money,19,DET,SG,66,,13.5,2.2,4.8,.451,0.5,0.7,.689,0.4,0.9,1.3,1.5,0.5,0.0,1.8,4.8,
Tal Skinner,22,SEA,SF,73,,21.6,1.9,4.8,.409,0.9,1.3,.649,1.8,2.9,4.7,1.2,0.7,0.2,2.2,4.8,
Earl Williams,23,PHO,C,79,,13.2,2.1,5.0,.414,0.6,1.3,.437,2.0,3.8,5.8,1.2,0.4,0.4,1.8,4.7,
Corky Calhoun,24,2TM,SF,70,,19.7,1.9,4.5,.415,0.8,1.1,.753,1.6,2.3,3.8,1.1,0.8,0.4,2.6,4.6,
Steve Patterson,26,CLE,C,81,,15.7,2.0,4.8,.416,0.6,0.9,.658,1.4,2.7,4.1,1.1,0.3,0.2,1.6,4.6,
Kermit Washington,23,LAL,PF,55,,17.3,1.6,3.8,.420,1.3,2.2,.590,1.9,4.4,6.4,1.2,0.5,0.6,2.8,4.5,
