Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Michael Jordan,24,CHI,SG,82,82,40.4,13.0,24.4,.535,0.1,0.6,.132,13.0,23.7,.546,.537,8.8,10.5,.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,"MVP-1,DPOY-1,AS,NBA1,DEF1"
Dominique Wilkins,28,ATL,SF,78,76,37.8,11.7,25.1,.464,0.5,1.7,.295,11.2,23.4,.476,.474,6.9,8.4,.826,2.7,3.7,6.4,2.9,1.3,0.6,2.8,2.1,30.7,"MVP-6,AS,NBA2"
Larry Bird,31,BOS,SF,76,75,39.0,11.6,22.0,.527,1.3,3.1,.414,10.3,18.9,.546,.556,5.5,6.0,.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,"MVP-2,AS,NBA1"
Charles Barkley,24,PHI,PF,80,80,39.6,9.4,16.0,.587,0.6,2.0,.280,8.9,14.1,.630,.604,8.9,11.9,.751,4.8,7.1,11.9,3.2,1.3,1.3,3.8,3.5,28.3,"MVP-4,AS,NBA1"
Karl Malone,24,UTA,PF,82,82,39.0,10.5,20.1,.520,0.0,0.1,.000,10.5,20.1,.522,.520,6.7,9.6,.700,3.4,8.6,12.0,2.4,1.4,0.6,4.0,3.6,27.7,"MVP-8,AS,NBA2,DEF2"
Clyde Drexler,25,POR,SG,81,80,37.8,10.5,20.7,.506,0.1,0.6,.212,10.3,20.1,.515,.509,5.9,7.2,.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,"MVP-5,DPOY-8,AS,NBA2"
Dale Ellis,27,SEA,SG,75,73,37.2,10.2,20.3,.503,1.4,3.5,.413,8.8,16.8,.521,.538,4.0,5.3,.767,2.2,2.3,4.5,2.6,1.0,0.1,2.3,2.9,25.8,
Mark Aguirre,28,DAL,SF,77,77,33.9,9.7,20.4,.475,0.7,2.2,.302,9.0,18.2,.496,.491,5.0,6.5,.770,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,"MVP-14,AS"
Alex English,34,DEN,SF,80,80,35.2,10.5,21.3,.495,0.0,0.1,.000,10.5,21.2,.496,.495,3.9,4.7,.828,2.1,2.6,4.7,4.7,0.9,0.3,2.3,2.4,25.0,"MVP-11,AS"
Hakeem Olajuwon,25,HOU,C,79,79,35.8,9.0,17.5,.514,0.0,0.1,.000,9.0,17.5,.516,.514,4.8,6.9,.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,"MVP-7,DPOY-3,AS,NBA1,DEF1"
Kevin McHale,30,BOS,PF,64,63,37.3,8.6,14.2,.604,0.0,0.0,,8.6,14.2,.604,.604,5.4,6.8,.797,2.5,5.9,8.4,2.7,0.4,1.4,2.2,2.8,22.6,"AS,DEF1"
Byron Scott,26,LAL,SG,81,81,37.6,8.8,16.6,.527,0.8,2.2,.346,8.0,14.4,.554,.550,3.4,3.9,.858,0.9,3.2,4.1,4.1,1.9,0.3,2.0,2.5,21.7,
Reggie Theus,30,SAC,SG,73,73,36.3,8.5,18.1,.470,0.2,0.8,.271,8.3,17.2,.479,.476,4.4,5.3,.831,1.0,2.2,3.2,6.3,0.8,0.2,3.2,2.4,21.6,
Xavier McDaniel,24,SEA,SF,78,77,34.7,8.8,18.0,.488,0.2,0.6,.280,8.6,17.4,.496,.493,3.6,5.0,.715,2.6,4.0,6.6,3.4,1.2,0.7,2.9,2.9,21.4,AS
Terry Cummings,26,MIL,PF,76,76,34.6,8.9,18.3,.485,0.0,0.0,.333,8.9,18.3,.485,.485,3.6,5.3,.665,2.4,4.9,7.3,2.4,1.0,0.6,2.2,3.6,21.3,
Otis Thorpe,25,SAC,PF,82,82,37.5,7.6,15.0,.507,0.0,0.1,.000,7.6,14.9,.510,.507,5.6,7.4,.755,3.4,6.8,10.2,3.2,0.8,0.7,2.8,3.2,20.8,
