Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Mike Davis,24,BUF,SG,73,,22.2,4.3,10.6,.410,2.7,3.6,.760,2.6,2.1,3.0,11.4,
Keith Erickson,26,LAL,SF,73,,31.1,5.1,10.7,.471,1.2,1.5,.759,5.5,3.1,3.3,11.3,
John Hummer,22,BUF,C,81,,32.6,4.2,9.4,.444,2.9,5.0,.580,8.9,2.0,3.5,11.3,
Dave Sorenson,22,CLE,PF,79,,24.6,4.5,10.1,.445,2.3,2.9,.803,6.2,2.1,2.3,11.3,
Herm Gilliam,24,BUF,SG,80,,26.0,4.7,11.2,.422,1.8,2.4,.751,4.2,3.6,3.1,11.2,
Mel Counts,29,PHO,C,80,,20.9,4.6,10.0,.457,1.9,2.5,.753,6.3,1.7,3.5,11.0,
Zaid Abdul-Aziz,24,SEA,C,61,,20.9,4.3,9.8,.441,2.3,3.1,.739,7.7,0.7,1.9,10.9,
Tom Boerwinkle,25,CHI,C,82,,28.9,4.4,9.0,.485,2.0,2.8,.724,13.8,4.8,3.4,10.8,
Joe Ellis,26,SFW,SF,80,,28.4,4.5,11.2,.396,1.9,2.5,.744,6.4,2.0,3.6,10.8,
Bailey Howell,34,PHI,PF,82,6,19.4,4.0,8.4,.472,2.8,3.8,.730,5.4,1.4,2.9,10.7,
Lee Winfield,23,SEA,PG,79,,20.3,4.2,9.1,.466,2.1,3.1,.664,2.4,2.8,1.7,10.5,
Fred Carter,25,BAL,SG,77,,22.2,4.4,10.6,.417,1.5,2.4,.650,3.3,2.1,2.1,10.4,
Wali Jones,28,PHI,SG,41,13,23.5,4.1,10.2,.402,1.9,2.5,.782,1.6,3.1,2.7,10.1,
Elgin Baylor,36,LAL,SF,2,,28.5,4.0,9.5,.421,2.0,3.0,.667,5.5,1.0,3.0,10.0,
Em Bryant,32,BUF,PG,73,,29.3,3.9,9.4,.421,2.1,2.8,.744,3.6,4.8,3.6,10.0,
Eddie Miles,30,BAL,SG,63,,24.5,4.0,9.4,.426,1.9,2.3,.803,2.7,1.7,1.9,9.9,
Jim Fox,27,CHI,C,82,,19.9,3.4,7.5,.458,2.9,3.9,.745,7.3,2.4,2.6,9.7,
John Block,26,SDR,PF,73,,20.1,3.4,8.0,.420,2.9,3.7,.785,6.1,1.3,2.6,9.6,
Gary Gregor,25,POR,PF,44,,26.2,4.1,9.6,.430,1.3,2.0,.663,7.6,1.8,2.7,9.6,
John Trapp,25,SDR,SF,82,,25.4,3.9,9.3,.420,1.7,2.3,.755,6.2,1.7,4.1,9.6,
Bob Weiss,28,CHI,PG,82,,27.3,3.4,8.0,.422,2.8,3.3,.840,2.3,4.7,2.6,9.5,
McCoy McLemore,28,2TM,SF,86,,26.2,3.5,9.2,.385,2.4,3.0,.782,6.6,2.4,2.7,9.4,
Dave Stallworth,29,NYK,SF,81,,19.3,3.6,8.5,.431,2.1,2.8,.735,4.3,1.3,2.2,9.4,
Steve Kuberski,23,BOS,PF,82,,22.8,3.8,9.1,.420,1.6,2.2,.727,6.6,1.0,2.4,9.3,
