Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Adrian Dantley,28,UTA,SF,79,79,37.8,10.2,18.2,.558,0.0,0.1,.250,10.1,18.2,.559,.558,10.3,12.0,.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,"MVP-7,AS,NBA2"
Mark Aguirre,24,DAL,SF,79,79,36.7,11.7,22.3,.524,0.2,0.7,.268,11.5,21.6,.532,.528,5.9,7.9,.749,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5,"MVP-11,AS"
Kiki Vandeweghe,25,DEN,PF,78,71,35.1,11.5,20.6,.558,0.1,0.4,.367,11.3,20.2,.562,.562,6.3,7.4,.852,1.1,3.7,4.8,3.1,0.7,0.6,2.0,2.4,29.4,AS
Alex English,30,DEN,SF,82,77,35.0,11.1,20.9,.529,0.0,0.1,.143,11.0,20.8,.531,.529,4.3,5.2,.824,2.6,3.0,5.7,5.0,1.0,1.2,2.7,3.1,26.4,AS
Bernard King,27,NYK,SF,77,76,34.6,10.3,18.1,.572,0.0,0.1,.000,10.3,18.0,.573,.572,5.7,7.3,.779,1.6,3.5,5.1,2.1,1.0,0.2,2.6,3.5,26.3,"MVP-2,AS,NBA1"
George Gervin,31,SAS,SG,76,76,34.0,10.1,20.5,.490,0.1,0.3,.417,9.9,20.2,.491,.493,5.6,6.7,.842,1.4,2.7,4.1,2.9,1.0,0.6,2.9,2.9,25.9,AS
Larry Bird,27,BOS,PF,79,77,38.3,9.6,19.5,.492,0.2,0.9,.247,9.4,18.6,.504,.497,4.7,5.3,.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2,"MVP-1,DPOY-12,AS,NBA1,DEF2"
Mike Mitchell,28,SAS,SF,79,79,36.1,9.9,20.2,.488,0.1,0.2,.429,9.8,20.0,.488,.490,3.5,4.5,.779,2.4,4.8,7.2,1.2,0.8,0.9,1.8,3.2,23.3,
Terry Cummings,22,SDC,PF,81,80,35.9,9.1,18.4,.494,0.0,0.0,.000,9.1,18.4,.495,.494,4.7,6.5,.720,4.0,5.6,9.6,1.7,1.1,0.7,2.7,3.7,22.9,
Purvis Short,26,GSW,SF,79,76,37.3,9.0,19.1,.473,0.3,0.9,.306,8.8,18.2,.482,.480,4.5,5.6,.793,2.3,3.2,5.5,3.1,1.3,0.1,2.9,3.2,22.8,
Moses Malone,28,PHI,C,71,71,36.8,7.5,15.5,.483,0.0,0.1,.000,7.5,15.5,.485,.483,7.7,10.2,.750,5.0,8.4,13.4,1.4,1.0,1.5,3.5,2.6,22.7,"MVP-10,DPOY-12,AS,NBA2"
Rolando Blackman,24,DAL,SG,81,81,37.3,8.9,16.3,.546,0.0,0.1,.091,8.9,16.2,.550,.547,4.6,5.7,.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,1.6,22.4,
Julius Erving,33,PHI,SF,77,77,34.8,8.8,17.2,.512,0.1,0.3,.333,8.7,16.9,.515,.515,4.7,6.3,.754,2.5,4.4,6.9,4.0,1.8,1.8,3.0,2.8,22.4,"MVP-6,AS,NBA2"
World B. Free,30,CLE,SG,75,71,31.7,8.3,18.8,.445,0.3,0.9,.319,8.1,17.8,.451,.453,5.3,6.7,.784,1.2,1.7,2.9,3.0,1.3,0.1,2.1,2.9,22.3,MVP-14
Jeff Ruland,25,WSB,C,75,75,41.1,8.0,13.8,.579,0.0,0.1,.143,8.0,13.7,.582,.579,6.2,8.5,.733,3.5,8.8,12.3,3.9,0.9,1.0,4.6,3.8,22.2,"MVP-9,AS"
Eddie Johnson,24,KCK,SF,82,82,35.6,9.2,18.9,.485,0.2,0.8,.313,8.9,18.1,.493,.492,3.3,4.0,.810,2.0,3.5,5.5,3.6,0.9,0.3,2.6,3.2,21.9,
Dominique Wilkins,24,ATL,SF,81,81,36.6,8.4,17.6,.479,0.0,0.1,.000,8.4,17.5,.482,.479,4.7,6.1,.770,3.1,4.0,7.2,1.6,1.4,1.1,2.7,2.4,21.6,
Kareem Abdul-Jabbar,36,LAL,C,80,80,32.8,9.0,15.5,.578,0.0,0.0,.000,9.0,15.5,.579,.578,3.6,4.9,.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5,"MVP-4,AS,NBA1,DEF2"
Jim Paxson,26,POR,SG,81,81,33.2,8.4,16.3,.514,0.2,0.7,.288,8.2,15.6,.525,.521,4.3,5.1,.841,0.8,1.3,2.1,3.1,1.5,0.1,1.8,2.0,21.3,"AS,NBA2"
Isiah Thomas,22,DET,PG,82,82,36.7,8.2,17.7,.462,0.3,0.8,.338,7.9,16.9,.468,.470,4.7,6.5,.733,1.3,2.7,4.0,11.1,2.5,0.4,3.7,4.0,21.3,"MVP-5,AS,NBA1"
Kelly Tripucka,24,DET,SF,76,75,32.8,7.8,17.1,.459,0.0,0.2,.118,7.8,16.8,.464,.460,5.6,6.9,.815,1.6,2.5,4.0,3.0,0.9,0.2,2.5,2.5,21.3,AS
Ralph Sampson,23,HOU,C,82,82,32.8,8.7,16.7,.523,0.0,0.0,.250,8.7,16.6,.524,.523,3.5,5.3,.661,3.6,7.6,11.1,2.0,0.9,2.4,3.6,4.1,21.0,"ROY-1,AS"
Sidney Moncrief,26,MIL,SG,79,79,38.9,7.1,14.2,.498,0.1,0.2,.278,7.0,14.0,.501,.500,6.7,7.9,.848,2.7,4.0,6.7,4.5,1.4,0.3,2.7,2.6,20.9,"MVP-8,DPOY-1,AS,NBA2,DEF1"
Marques Johnson,27,MIL,SF,74,74,36.7,8.7,17.4,.502,0.0,0.2,.154,8.7,17.2,.505,.502,3.3,4.6,.709,2.3,4.1,6.5,4.3,1.6,0.6,2.4,2.6,20.7,MVP-14
Joe Barry Carroll,25,GSW,C,80,80,37.0,8.3,17.4,.477,0.0,0.0,.000,8.3,17.4,.477,.477,3.9,5.4,.723,2.9,5.0,8.0,2.5,1.3,1.8,3.4,3.1,20.5,
Andrew Toney,26,PHI,SG,78,72,32.8,7.6,14.4,.527,0.2,0.5,.316,7.4,13.9,.534,.532,5.0,6.0,.839,0.7,1.7,2.5,4.8,0.9,0.3,3.8,3.2,20.4,AS
Walter Davis,29,PHO,SG,78,70,32.6,8.4,16.3,.512,0.3,1.1,.230,8.1,15.2,.532,.520,3.0,3.5,.863,0.5,2.1,2.6,5.5,1.4,0.2,2.7,2.6,20.0,AS
Darrell Griffith,25,UTA,SG,82,82,32.3,8.5,17.4,.490,1.1,3.1,.361,7.4,14.3,.518,.522,1.8,2.6,.696,1.2,3.0,4.1,3.5,1.4,0.3,3.0,2.5,20.0,
Otis Birdsong,28,NJN,SG,69,57,31.4,8.4,16.6,.508,0.1,0.3,.250,8.4,16.3,.513,.510,2.8,4.6,.608,1.1,1.4,2.5,3.9,1.2,0.2,2.5,2.6,19.8,AS
Dan Issel,35,DEN,C,76,66,27.3,7.5,15.2,.493,0.1,0.3,.211,7.4,14.9,.498,.495,4.8,5.6,.850,1.5,5.3,6.8,2.3,0.8,0.6,1.6,2.4,19.8,
Orlando Woolridge,24,CHI,SF,75,74,33.9,7.6,14.5,.525,0.0,0.0,.500,7.6,14.5,.525,.525,4.0,5.7,.715,1.7,3.2,4.9,1.8,0.9,0.8,2.5,3.4,19.3,
Clark Kellogg,22,IND,PF,79,79,33.9,7.8,15.1,.519,0.1,0.3,.333,7.7,14.8,.522,.522,3.3,4.3,.768,2.9,6.2,9.1,3.0,1.5,0.4,2.8,3.1,19.1,
Jack Sikma,28,SEA,C,82,82,36.5,7.0,14.1,.499,0.0,0.0,.000,7.0,14.1,.500,.499,5.0,5.9,.856,2.7,8.4,11.1,4.0,1.2,1.1,2.9,3.7,19.1,AS
Robert Parish,30,BOS,C,80,79,35.8,7.8,14.3,.546,0.0,0.0,,7.8,14.3,.546,.546,3.4,4.6,.745,3.0,7.7,10.7,1.7,0.7,1.5,2.3,3.3,19.0,AS
Dan Roundfield,30,ATL,PF,73,72,35.8,6.9,14.2,.485,0.0,0.2,.000,6.9,14.1,.490,.485,5.1,6.7,.770,2.8,7.1,9.9,2.5,0.8,1.0,2.8,3.0,18.9,DEF2
Gus Williams,30,SEA,PG,80,80,35.2,7.5,16.3,.458,0.1,0.3,.160,7.4,16.0,.464,.459,3.7,5.0,.750,0.8,1.7,2.6,8.4,2.4,0.3,2.9,1.9,18.7,
Kevin McHale,26,BOS,PF,82,10,31.4,7.2,12.9,.556,0.0,0.0,.333,7.1,12.8,.557,.557,4.1,5.4,.765,2.5,4.9,7.4,1.3,0.3,1.5,1.8,3.0,18.4,"6MOY-1,AS"
Quintin Dailey,23,CHI,SG,82,42,29.9,7.1,15.0,.474,0.0,0.4,.125,7.1,14.6,.484,.476,3.9,4.8,.811,0.7,2.1,2.9,3.1,1.3,0.1,2.7,2.7,18.2,
Tom Chambers,24,SEA,PF,82,44,31.3,6.8,13.5,.499,0.0,0.1,.000,6.8,13.4,.505,.499,4.6,5.7,.800,2.7,3.8,6.5,1.6,0.6,0.6,2.3,3.8,18.1,
