Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Russell Westbrook,26,OKC,PG,67,67,34.4,9.4,22.0,.426,1.3,4.3,.299,8.1,17.7,.457,.455,8.1,9.8,.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,"MVP-4,AS,NBA2"
James Harden,25,HOU,SG,81,81,36.8,8.0,18.1,.440,2.6,6.9,.375,5.4,11.3,.480,.511,8.8,10.2,.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,"MVP-2,AS,NBA1"
Kevin Durant,26,OKC,SF,27,27,33.8,8.8,17.3,.510,2.4,5.9,.403,6.4,11.4,.565,.578,5.4,6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4,AS
LeBron James,30,CLE,SF,69,69,36.1,9.0,18.5,.488,1.7,4.9,.354,7.3,13.6,.536,.535,5.4,7.7,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,"MVP-3,DPOY-13,AS,NBA1"
Anthony Davis,21,NOP,PF,68,68,36.1,9.4,17.6,.535,0.0,0.2,.083,9.4,17.5,.540,.536,5.5,6.8,.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,"MVP-5,DPOY-4,AS,NBA1,DEF2"
Carmelo Anthony,30,NYK,SF,40,40,35.7,9.0,20.2,.444,1.5,4.5,.341,7.4,15.7,.474,.482,4.7,5.9,.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2,AS
DeMarcus Cousins,24,SAC,C,59,59,34.1,8.4,18.1,.467,0.0,0.1,.250,8.4,17.9,.469,.468,7.2,9.2,.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1,"AS,NBA2"
Stephen Curry,26,GSW,PG,80,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,"MVP-1,AS,NBA1"
LaMarcus Aldridge,29,POR,PF,71,71,35.4,9.3,19.9,.466,0.5,1.5,.352,8.8,18.5,.475,.479,4.3,5.1,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,"MVP-7,AS,NBA2"
Kobe Bryant,36,LAL,SG,35,35,34.5,7.6,20.4,.373,1.5,5.3,.293,6.1,15.1,.401,.411,5.6,6.9,.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,1.9,22.3,AS
Blake Griffin,25,LAC,PF,67,67,35.2,8.6,17.1,.502,0.1,0.4,.400,8.4,16.7,.504,.506,4.6,6.4,.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9,"MVP-8,AS,NBA3"
Kyrie Irving,22,CLE,PG,75,75,36.4,7.7,16.5,.468,2.1,5.0,.415,5.6,11.4,.491,.532,4.2,4.9,.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,"AS,NBA3"
Klay Thompson,24,GSW,SG,77,77,31.9,7.8,16.9,.463,3.1,7.1,.439,4.7,9.8,.481,.555,2.9,3.3,.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7,"MVP-10,AS,NBA3"
Dwyane Wade,33,MIA,SG,62,62,31.8,8.2,17.5,.470,0.5,1.6,.284,7.7,15.8,.489,.483,4.6,6.0,.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5,AS
Chris Bosh,30,MIA,C,44,44,35.4,7.8,16.9,.460,1.4,3.8,.375,6.4,13.1,.485,.503,4.1,5.3,.772,1.0,6.0,7.0,2.2,0.9,0.6,2.2,1.6,21.1,AS
Rudy Gay,28,SAC,SF,68,67,35.4,7.5,16.4,.455,1.2,3.2,.359,6.3,13.2,.479,.491,5.0,5.8,.858,1.4,4.4,5.9,3.7,1.0,0.6,2.7,2.3,21.1,
Damian Lillard,24,POR,PG,82,82,35.7,7.2,16.6,.434,2.4,7.0,.343,4.8,9.6,.500,.506,4.2,4.9,.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,2.0,21.0,AS
DeMar DeRozan,25,TOR,SG,60,60,35.0,6.8,16.5,.413,0.4,1.5,.284,6.4,15.0,.426,.426,6.0,7.2,.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0,20.1,
Jimmy Butler,25,CHI,SG,65,65,38.7,6.5,14.0,.462,1.1,3.0,.378,5.4,11.1,.484,.502,5.9,7.1,.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0,"DPOY-10,MIP-1,AS,DEF2"
Kevin Martin,31,MIN,SG,39,36,33.4,6.8,16.0,.427,1.9,4.9,.393,4.9,11.1,.442,.487,4.4,4.9,.881,0.5,3.2,3.6,2.3,0.8,0.0,1.9,1.9,20.0,
