Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,29,PHI,C,79,47.3,13.6,25.2,.540,6.3,12.4,.513,24.6,5.2,2.2,33.5,"MVP-1,AS,NBA1"
Oscar Robertson,27,CIN,PG,76,46.0,10.8,22.7,.475,9.8,11.6,.842,7.7,11.1,3.0,31.3,"MVP-3,AS,NBA1"
Jerry West,27,LAL,SG,79,40.7,10.4,21.9,.473,10.6,12.4,.860,7.1,6.1,3.1,31.3,"MVP-2,AS,NBA1"
Rick Barry,21,SFW,SF,80,37.4,9.3,21.2,.439,7.1,8.3,.862,10.6,2.2,3.7,25.7,"ROY-1,AS,NBA1"
Sam Jones,32,BOS,SG,67,32.2,9.3,19.9,.469,4.9,6.1,.799,5.2,3.2,2.5,23.5,"MVP-5,AS,NBA2"
Dick Barnett,29,NYK,SG,75,34.5,8.4,17.9,.469,6.2,8.1,.772,4.1,3.5,3.1,23.1,
Walt Bellamy,26,2TM,C,80,41.9,8.7,17.2,.506,5.4,8.6,.624,15.7,2.9,3.7,22.8,
Hal Greer,29,PHI,SG,80,41.6,8.8,19.8,.445,5.2,6.4,.804,5.9,4.8,3.9,22.7,"AS,NBA2"
Jerry Lucas,25,CIN,PF,79,44.5,8.7,19.3,.453,4.0,5.1,.787,21.1,2.7,3.5,21.5,"MVP-5,AS,NBA1"
Zelmo Beaty,26,STL,C,80,38.4,7.7,16.3,.473,5.3,7.0,.758,13.6,1.6,4.3,20.7,AS
Don Ohl,29,BAL,PG,73,36.2,8.1,18.3,.445,4.3,5.9,.735,3.8,4.0,2.8,20.6,AS
Eddie Miles,25,DET,PG,80,34.9,7.9,17.7,.447,3.7,5.0,.741,3.8,2.8,2.5,19.6,AS
John Havlicek,25,BOS,SF,71,30.6,7.5,18.7,.399,3.9,4.9,.785,6.0,3.0,2.2,18.8,"AS,NBA2"
Guy Rodgers,30,SFW,SG,79,36.7,7.4,19.9,.373,3.7,5.2,.727,5.3,10.7,3.1,18.6,AS
Adrian Smith,29,CIN,SG,80,37.3,6.6,16.4,.405,5.1,6.0,.850,3.6,3.2,3.5,18.4,AS
Kevin Loughery,25,BAL,SG,74,33.2,7.1,17.1,.416,4.0,4.8,.830,3.1,4.8,3.7,18.2,
Lenny Wilkens,28,STL,PG,69,39.0,6.0,13.8,.431,6.1,7.7,.793,4.7,6.2,3.6,18.0,
Ray Scott,27,DET,PF,79,33.6,6.9,16.6,.416,4.1,5.5,.743,9.6,3.0,2.6,17.9,
Bailey Howell,29,BAL,PF,78,29.8,6.2,12.6,.488,5.2,7.1,.730,9.9,2.0,3.9,17.5,AS
Elgin Baylor,31,LAL,SF,65,30.4,6.4,15.9,.401,3.8,5.2,.739,9.6,3.4,2.4,16.6,
