Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Shaquille O'Neal,22,ORL,C,79,79,37.0,11.8,20.2,.583,0.0,0.1,.000,11.8,20.1,.585,.583,5.8,10.8,.533,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,"MVP-2,AS,NBA2"
Hakeem Olajuwon,32,HOU,C,72,72,39.6,11.1,21.5,.517,0.0,0.2,.188,11.0,21.2,.520,.517,5.6,7.5,.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,"MVP-5,DPOY-3,AS,NBA3"
David Robinson,29,SAS,C,81,81,38.0,9.7,18.4,.530,0.1,0.2,.300,9.7,18.1,.533,.532,8.1,10.5,.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6,"MVP-1,DPOY-4,AS,NBA1,DEF1"
Michael Jordan,31,CHI,SG,17,17,39.3,9.8,23.8,.411,0.9,1.9,.500,8.8,21.9,.403,.431,6.4,8.0,.801,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8,26.9,MVP-11
Karl Malone,31,UTA,PF,82,82,38.1,10.1,18.9,.536,0.1,0.5,.268,10.0,18.4,.543,.540,6.3,8.5,.742,1.9,8.7,10.6,3.5,1.6,1.0,2.9,3.3,26.7,"MVP-3,AS,NBA1"
Jim Jackson,24,DAL,SG,51,51,38.9,9.5,20.1,.472,0.7,2.2,.318,8.8,18.0,.490,.489,6.0,7.5,.805,2.4,2.7,5.1,3.7,0.5,0.2,3.1,1.8,25.7,
Jamal Mashburn,22,DAL,SF,80,80,37.3,8.5,19.6,.436,1.4,4.3,.328,7.1,15.3,.466,.472,5.6,7.6,.739,1.5,2.7,4.1,3.7,1.0,0.1,2.9,2.4,24.1,
Patrick Ewing,32,NYK,C,79,79,37.0,9.2,18.4,.503,0.1,0.3,.286,9.2,18.1,.506,.505,5.3,7.1,.750,2.0,9.0,11.0,2.7,0.9,2.0,3.2,3.4,23.9,"MVP-4,AS"
Charles Barkley,31,PHO,PF,68,66,35.0,8.1,16.8,.486,1.1,3.2,.338,7.1,13.6,.521,.518,5.6,7.5,.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,"MVP-6,AS,NBA2"
Mitch Richmond,29,SAC,SG,82,82,38.7,8.1,18.3,.446,1.9,5.2,.368,6.2,13.1,.477,.498,4.6,5.4,.843,0.8,3.5,4.4,3.8,1.1,0.4,2.9,2.8,22.8,"AS,NBA2"
Glen Rice,27,MIA,SF,82,82,36.8,8.1,17.1,.475,2.3,5.5,.410,5.9,11.6,.506,.541,3.8,4.5,.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,2.5,22.3,
Glenn Robinson,22,MIL,SF,80,76,37.0,8.0,17.6,.451,1.1,3.4,.321,6.9,14.3,.482,.482,5.0,6.2,.796,2.1,4.3,6.4,2.5,1.4,0.3,3.9,2.9,21.9,ROY-3
Clyde Drexler,32,2TM,SG,76,75,35.9,7.5,16.3,.461,1.9,5.4,.360,5.6,10.9,.511,.521,4.8,5.8,.824,2.0,4.3,6.3,4.8,1.8,0.6,2.4,2.7,21.8,"MVP-14,NBA3"
Cedric Ceballos,25,LAL,SF,58,54,35.0,8.6,16.8,.509,1.0,2.5,.397,7.6,14.3,.528,.538,3.6,5.0,.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,2.3,21.7,"MVP-15,AS"
Scottie Pippen,29,CHI,SF,79,79,38.2,8.0,16.7,.480,1.4,4.0,.345,6.6,12.7,.523,.522,4.0,5.6,.716,2.2,5.9,8.1,5.2,2.9,1.1,3.4,3.0,21.4,"MVP-7,DPOY-2,AS,NBA1,DEF1"
Alonzo Mourning,24,CHH,C,77,77,38.2,7.4,14.3,.519,0.1,0.4,.324,7.3,13.9,.525,.524,6.4,8.4,.761,2.6,7.3,9.9,1.4,0.6,2.9,3.1,3.6,21.3,"DPOY-6,AS"
Clifford Robinson,28,POR,SF,75,73,36.3,8.0,17.6,.452,1.9,5.1,.371,6.1,12.5,.486,.506,3.5,5.1,.694,2.0,3.6,5.6,2.6,1.1,1.1,2.1,3.2,21.3,
Anfernee Hardaway,23,ORL,PG,77,77,37.7,7.6,14.8,.512,1.1,3.2,.349,6.5,11.6,.558,.550,4.6,6.0,.769,1.8,2.6,4.4,7.2,1.7,0.3,3.4,2.1,20.9,"MVP-10,AS,NBA1"
Dana Barros,27,PHI,PG,82,82,40.5,7.0,14.2,.490,2.4,5.2,.464,4.6,9.0,.505,.575,4.2,4.7,.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,1.9,20.6,"MIP-1,AS"
Gary Payton,26,SEA,PG,82,82,36.8,8.4,16.4,.509,0.9,2.8,.302,7.5,13.6,.553,.535,3.0,4.2,.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,2.5,20.6,"MVP-9,DPOY-6,AS,NBA2,DEF1"
Latrell Sprewell,24,GSW,SG,69,69,40.2,7.1,17.0,.418,1.3,4.7,.276,5.8,12.2,.473,.457,5.1,6.5,.781,0.8,2.9,3.7,4.0,1.6,0.7,3.3,1.6,20.6,AS
Derrick Coleman,27,NJN,PF,56,54,37.6,6.6,15.6,.424,0.5,2.1,.233,6.1,13.5,.454,.440,6.7,8.8,.767,3.0,7.6,10.6,3.3,0.6,1.7,3.1,2.9,20.5,
Isaiah Rider,23,MIN,SG,75,67,35.3,7.4,16.7,.447,1.9,5.3,.351,5.6,11.4,.491,.502,3.7,4.5,.817,1.2,2.1,3.3,3.3,0.9,0.3,3.1,2.6,20.4,
Tim Hardaway,28,GSW,PG,62,62,37.4,6.9,16.2,.427,2.7,7.2,.378,4.2,9.1,.465,.510,3.5,4.6,.760,0.7,2.3,3.1,9.3,1.4,0.2,3.5,2.5,20.1,
Chris Webber,21,WSB,PF,54,52,38.3,8.6,17.4,.495,0.7,2.7,.276,7.9,14.7,.535,.516,2.2,4.3,.502,3.7,5.9,9.6,4.7,1.5,1.6,3.1,3.4,20.1,
Grant Hill,22,DET,SF,70,69,38.3,7.3,15.2,.477,0.1,0.4,.148,7.2,14.8,.486,.479,5.3,7.3,.732,1.8,4.6,6.4,5.0,1.8,0.9,2.9,2.9,19.9,"ROY-1,AS"
Reggie Miller,29,IND,SG,81,81,32.9,6.2,13.5,.462,2.4,5.8,.415,3.8,7.7,.498,.552,4.7,5.3,.897,0.4,2.2,2.6,3.0,1.2,0.2,1.9,1.9,19.6,"AS,NBA3"
Detlef Schrempf,32,SEA,SF,82,82,35.2,6.4,12.2,.523,1.1,2.2,.514,5.2,10.0,.525,.569,5.3,6.4,.839,1.6,4.5,6.2,3.8,1.1,0.4,2.1,3.1,19.2,"AS,NBA3"
Chris Mullin,31,GSW,SF,25,23,35.6,6.8,13.9,.489,1.7,3.7,.452,5.1,10.2,.502,.549,3.8,4.3,.879,1.0,3.6,4.6,5.0,1.5,0.8,3.7,2.1,19.0,
Rod Strickland,28,POR,PG,64,61,35.4,6.9,14.8,.466,0.7,1.9,.374,6.2,12.9,.480,.490,4.4,5.9,.745,1.1,3.8,5.0,8.8,1.9,0.1,3.3,1.8,18.9,
Larry Johnson,25,CHH,PF,81,81,39.9,7.2,15.0,.480,1.0,2.6,.386,6.2,12.5,.500,.513,3.4,4.4,.774,2.3,4.9,7.2,4.6,1.0,0.3,2.6,2.1,18.8,AS
Shawn Kemp,25,SEA,PF,82,79,32.7,6.6,12.2,.547,0.0,0.1,.286,6.6,12.1,.548,.548,5.3,7.1,.749,3.9,7.0,10.9,1.8,1.2,1.5,3.2,4.1,18.7,"AS,NBA2"
Jeff Malone,33,PHI,SG,19,19,34.7,7.6,14.9,.507,0.6,1.5,.393,7.0,13.5,.520,.526,2.7,3.1,.864,0.6,2.3,2.9,1.5,0.8,0.0,1.5,1.8,18.4,
Joe Dumars,31,DET,SG,67,67,38.0,6.2,14.5,.430,1.5,5.0,.305,4.7,9.4,.497,.483,4.1,5.1,.805,0.7,1.7,2.4,5.5,1.1,0.1,3.3,2.3,18.1,AS
Sean Elliott,26,SAS,SF,81,81,35.3,6.2,13.2,.468,1.7,4.1,.408,4.5,9.1,.495,.532,4.0,5.0,.807,0.8,2.8,3.5,2.5,1.0,0.5,1.9,2.7,18.1,
Clarence Weatherspoon,24,PHI,SF,76,76,39.4,7.1,16.3,.439,0.1,0.3,.190,7.1,16.0,.443,.440,3.7,5.0,.751,1.9,5.0,6.9,2.8,1.5,0.9,2.5,2.6,18.1,
Danny Manning,28,PHO,PF,46,19,32.8,7.4,13.5,.547,0.1,0.5,.286,7.3,13.1,.556,.551,3.0,4.4,.673,2.1,3.9,6.0,3.3,0.9,1.2,2.6,3.8,17.9,
Rik Smits,28,IND,C,78,78,30.5,7.2,13.6,.526,0.0,0.0,.000,7.2,13.6,.527,.526,3.6,4.8,.753,2.5,5.2,7.7,1.4,0.5,1.0,2.4,3.6,17.9,
Dominique Wilkins,35,BOS,SF,77,64,31.5,6.4,15.2,.424,1.5,3.8,.388,5.0,11.4,.436,.472,3.5,4.4,.782,2.0,3.2,5.2,2.2,0.8,0.2,2.2,1.7,17.8,
Vin Baker,23,MIL,PF,82,82,41.0,7.2,15.0,.483,0.1,0.3,.292,7.2,14.7,.487,.486,3.1,5.3,.593,3.5,6.8,10.3,3.6,1.0,1.4,2.7,3.4,17.7,AS
Kenny Anderson,24,NJN,PG,72,70,37.3,5.7,14.3,.399,1.3,4.1,.330,4.4,10.2,.426,.446,4.8,5.8,.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6,
