Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,24,PHW,C,79,47.8,15.8,31.1,.509,6.7,13.3,.504,27.2,1.9,1.6,38.4,"MVP-4,AS,NBA1"
Elgin Baylor,26,LAL,SF,73,42.9,12.8,29.7,.430,9.3,11.8,.783,19.8,5.1,3.8,34.8,"MVP-3,AS,NBA1"
Oscar Robertson,22,CIN,PG,71,42.7,10.6,22.5,.473,9.2,11.2,.822,10.1,9.7,3.1,30.5,"MVP-5,ROY-1,AS,NBA1"
Bob Pettit,28,STL,PF,76,39.8,10.1,22.6,.447,7.7,10.6,.724,20.3,3.4,2.9,27.9,"MVP-2,AS,NBA1"
Jack Twyman,26,CIN,SF,79,37.0,10.1,20.7,.488,5.1,7.0,.731,8.5,2.8,3.5,25.3,MVP-11
Bailey Howell,24,DET,PF,77,38.3,7.9,16.8,.469,7.8,10.4,.753,14.4,2.5,3.9,23.6,"MVP-9,AS"
Dolph Schayes,32,SYR,PF,79,38.1,7.5,20.2,.372,8.6,9.9,.868,12.2,3.7,3.7,23.6,"MVP-8,AS,NBA2"
Willie Naulls,26,NYK,SF,79,37.7,9.3,21.8,.428,4.7,5.8,.816,13.4,2.4,3.4,23.4,"MVP-16,AS"
Paul Arizin,32,PHW,SF,79,37.2,8.2,19.4,.425,6.7,8.1,.833,8.6,2.4,4.2,23.2,"MVP-16,AS"
Gene Shue,29,DET,PG,78,43.1,8.3,19.8,.421,6.0,7.0,.856,4.3,6.8,2.7,22.6,"MVP-10,AS,NBA2"
Cliff Hagan,29,STL,SF,77,35.1,8.6,19.4,.444,5.0,6.1,.820,9.3,4.9,3.7,22.1,"MVP-14,AS"
Clyde Lovellette,31,STL,C,67,31.5,8.9,19.7,.453,4.1,4.9,.830,10.1,2.6,3.7,22.0,"MVP-13,AS"
Richie Guerin,28,NYK,SG,79,38.3,7.7,19.6,.396,6.3,7.9,.792,7.9,6.4,3.9,21.8,"MVP-15,AS"
Tom Heinsohn,26,BOS,PF,74,30.5,8.5,21.2,.400,4.4,5.7,.767,9.9,1.9,3.5,21.3,"MVP-7,AS,NBA2"
Hal Greer,24,SYR,SG,79,35.0,7.9,17.5,.451,3.9,5.0,.774,5.8,3.8,3.1,19.6,AS
Bob Cousy,32,BOS,PG,76,32.5,6.8,18.2,.371,4.6,5.9,.779,4.4,7.7,2.6,18.1,"MVP-6,AS,NBA1"
Jerry West,22,LAL,SG,79,35.4,6.7,16.0,.419,4.2,6.3,.666,7.7,4.2,2.7,17.6,"MVP-12,AS"
Dick Barnett,24,SYR,SG,78,26.5,6.9,15.3,.452,3.1,4.3,.712,3.6,2.8,2.2,16.9,
Bill Russell,26,BOS,C,78,44.3,6.8,16.0,.426,3.3,6.0,.550,23.9,3.4,2.0,16.9,"MVP-1,AS,NBA2"
Bill Sharman,34,BOS,SG,61,25.2,6.3,14.9,.422,3.4,3.7,.921,3.7,2.4,2.1,16.0,
Dick Garmaker,28,NYK,PG,71,31.5,5.8,13.3,.440,3.9,5.0,.768,3.9,3.1,3.4,15.6,
Frank Ramsey,29,BOS,SG,79,25.6,5.7,13.9,.407,3.7,4.5,.833,5.5,1.8,3.6,15.1,
Sam Jones,27,BOS,SG,78,26.0,6.2,13.7,.449,2.7,3.4,.787,5.4,2.8,1.9,15.0,
Rudy LaRusso,23,LAL,PF,79,32.8,5.3,12.6,.419,4.1,5.2,.790,9.9,1.7,3.5,14.6,
Larry Costello,29,SYR,PG,75,28.9,5.4,11.3,.482,3.6,4.5,.799,3.9,5.5,3.8,14.5,"AS,NBA2"
Wayne Embry,23,CIN,C,79,28.3,5.8,12.8,.451,2.8,4.2,.668,10.9,1.6,3.6,14.4,AS
Kenny Sears,27,NYK,SF,52,26.8,4.6,10.9,.424,5.2,6.3,.825,5.6,2.0,3.2,14.4,MVP-16
Tom Gola,28,PHW,SG,74,36.6,5.7,12.7,.447,2.8,3.8,.747,9.4,3.9,4.3,14.2,AS
Dave Gambee,23,SYR,SF,79,26.5,5.0,12.0,.419,3.7,4.5,.827,7.4,1.3,3.5,13.7,
Red Kerr,28,SYR,C,79,33.9,5.3,13.4,.397,2.8,3.8,.729,12.0,2.5,2.9,13.4,
Don Ohl,24,DET,SG,79,27.5,5.4,13.7,.394,2.5,3.5,.719,3.2,3.4,2.8,13.3,
Guy Rodgers,25,PHW,PG,78,37.2,5.1,13.2,.386,2.6,3.8,.687,6.5,8.7,3.4,12.8,
Bucky Bockhorn,27,CIN,SG,79,33.8,5.3,13.4,.397,1.9,2.6,.731,5.5,4.3,3.6,12.6,
George Lee,24,DET,SF,74,23.4,4.2,10.5,.399,3.7,5.3,.701,6.6,1.2,2.1,12.1,
Phil Jordon,27,2TM,C,79,26.1,4.6,11.8,.386,2.6,3.6,.718,8.5,2.3,3.5,11.7,
Walter Dukes,30,DET,C,73,28.0,3.9,9.7,.405,3.8,5.5,.703,14.1,1.9,4.3,11.7,AS
Lenny Wilkens,23,STL,PG,75,25.3,4.4,10.4,.425,2.9,4.0,.713,4.5,2.8,2.9,11.7,
Bob Ferry,23,DET,C,79,21.0,4.4,9.8,.451,2.4,3.2,.741,6.3,1.6,2.6,11.3,
Hot Rod Hundley,26,LAL,PG,79,27.6,4.1,11.7,.351,2.8,3.7,.753,3.7,4.4,1.8,11.0,AS
