Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Barry Kramer,22,2TM,SF,52,9.8,1.2,3.6,.339,1.2,1.6,.714,1.9,0.8,1.3,3.6,
John Thompson,23,BOS,PF,64,10.9,1.3,3.3,.402,1.0,1.6,.590,3.6,0.3,2.2,3.6,
Bob Duffy,24,DET,PG,4,6.5,1.0,2.8,.364,1.5,1.8,.857,1.0,1.3,1.0,3.5,
John Tresvant,25,STL,PF,4,8.8,1.0,2.8,.364,1.5,2.3,.667,4.5,1.5,2.3,3.5,
Hub Reed,28,DET,C,62,12.1,1.4,3.6,.380,0.6,0.9,.690,3.3,0.6,2.2,3.4,
Gary Bradds,22,BAL,SF,41,8.2,1.1,2.7,.414,1.1,1.5,.714,2.0,0.5,0.9,3.3,
Cotton Nash,22,2TM,SF,45,7.9,1.0,3.2,.324,1.0,1.2,.827,1.8,0.4,1.3,3.0,
Ed Burton,25,STL,,7,6.0,1.0,2.9,.350,0.6,1.0,.571,1.9,0.3,1.9,2.6,
Tom Thacker,25,CIN,PG,55,8.5,1.0,3.1,.333,0.4,0.9,.489,2.3,0.7,1.2,2.5,
Al Butler,26,BAL,PG,25,6.9,1.0,2.9,.329,0.4,0.6,.733,0.8,0.5,1.0,2.4,
Don Nelson,24,LAL,SF,39,6.1,0.9,2.2,.424,0.5,0.7,.769,1.9,0.6,1.0,2.4,
Gary Hill,23,2TM,SG,12,8.6,0.8,3.0,.278,0.6,1.2,.500,1.3,0.6,0.9,2.3,
Billy McGill,25,2TM,C,24,5.5,0.9,2.7,.323,0.5,0.7,.765,1.5,0.4,1.3,2.3,
George Wilson,22,CIN,C,39,7.4,1.1,4.0,.265,0.2,0.8,.300,2.6,0.3,1.5,2.3,
Bevo Nordmann,25,BOS,C,3,8.3,1.0,1.7,.600,0.0,0.0,,2.7,1.0,1.7,2.0,
Les Hunter,22,BAL,PF,24,4.8,0.8,2.7,.281,0.3,0.6,.429,2.1,0.5,0.7,1.8,
Gerry Ward,23,BOS,SG,3,10.0,0.7,6.0,.111,0.3,0.3,1.000,1.7,2.0,2.0,1.7,
Tom Hoover,24,NYK,C,24,6.4,0.5,1.3,.406,0.3,0.6,.571,2.4,0.5,1.5,1.4,
Jerry Grote,24,LAL,,11,3.0,0.5,1.0,.545,0.2,0.2,1.000,0.4,0.4,0.5,1.3,
