Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Allen Iverson,23,PHI,SG,48,48,41.5,9.1,22.0,.412,1.2,4.1,.291,7.9,17.9,.440,.439,7.4,9.9,.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8,"MVP-4,NBA1"
Shaquille O'Neal,26,LAL,C,49,49,34.8,10.4,18.1,.576,0.0,0.0,.000,10.4,18.0,.577,.576,5.5,10.2,.540,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,"MVP-6,NBA2"
Karl Malone,35,UTA,PF,49,49,37.4,8.0,16.3,.493,0.0,0.0,.000,8.0,16.2,.494,.493,7.7,9.8,.788,2.2,7.3,9.4,4.1,1.3,0.6,3.3,2.7,23.8,"MVP-1,NBA1,DEF1"
Shareef Abdur-Rahim,22,VAN,SF,50,50,40.4,7.7,17.9,.432,0.2,0.7,.306,7.5,17.1,.438,.438,7.4,8.8,.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,
Keith Van Horn,23,NJN,PF,42,42,37.5,7.7,17.9,.428,0.4,1.3,.302,7.3,16.6,.438,.439,6.1,7.1,.859,2.7,5.8,8.5,1.5,1.0,1.3,3.2,3.2,21.8,
Tim Duncan,22,SAS,PF,50,50,39.3,8.4,16.9,.495,0.0,0.1,.143,8.3,16.8,.498,.495,4.9,7.2,.690,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7,"MVP-3,DPOY-5,NBA1,DEF1"
Gary Payton,30,SEA,PG,50,50,40.2,8.0,18.5,.434,1.7,5.6,.295,6.4,12.8,.495,.479,4.0,5.5,.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,"MVP-9,DPOY-3,NBA2,DEF1"
Stephon Marbury,21,2TM,PG,49,49,38.7,7.7,18.0,.428,1.3,4.0,.335,6.4,14.0,.455,.465,4.5,5.7,.799,0.8,2.1,2.9,8.9,1.2,0.2,3.3,2.6,21.3,
Antonio McDyess,24,DEN,C,50,50,38.7,8.3,17.6,.471,0.0,0.2,.111,8.3,17.5,.474,.471,4.6,6.8,.680,3.4,7.4,10.7,1.6,1.5,2.3,2.8,3.5,21.2,NBA3
Grant Hill,26,DET,SF,50,50,37.0,7.7,16.0,.479,0.0,0.3,.000,7.7,15.8,.487,.479,5.7,7.6,.752,1.3,5.8,7.1,6.0,1.6,0.5,3.7,2.3,21.1,"MVP-8,NBA2"
