Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Neil Johnston,23,PHW,C,70,45.2,7.2,15.9,.452,7.9,11.3,.700,13.9,2.8,3.5,22.3,"AS,NBA1"
George Mikan,28,MNL,C,70,37.9,7.1,17.9,.399,6.3,8.1,.780,14.4,2.9,4.1,20.6,"AS,NBA1"
Ed Macauley,24,BOS,C,69,42.1,6.5,14.4,.452,7.2,9.7,.750,9.1,4.1,2.7,20.3,"AS,NBA1"
Bob Cousy,24,BOS,PG,71,41.5,6.5,18.6,.352,6.7,8.3,.816,6.3,7.7,3.2,19.8,"AS,NBA1"
Dolph Schayes,24,SYR,PF,71,37.6,5.3,14.1,.374,7.2,8.7,.827,13.0,3.2,3.8,17.8,"AS,NBA1"
Bill Sharman,26,BOS,SG,71,32.9,5.7,13.0,.436,4.8,5.6,.850,4.1,2.7,3.4,16.2,"AS,NBA2"
Jack Nichols,26,MLH,PF,69,38.1,6.2,17.0,.363,3.5,4.9,.708,7.7,2.8,3.4,15.8,
Bob Davies,33,ROC,PG,66,33.6,5.1,13.3,.385,5.3,7.1,.753,3.0,4.2,4.0,15.6,"AS,NBA2"
Vern Mikkelsen,24,MNL,PF,70,35.2,5.4,12.4,.435,4.2,5.5,.752,9.3,2.1,4.1,15.0,"AS,NBA2"
Bobby Wanzer,31,ROC,SG,70,36.8,4.5,12.4,.367,5.5,6.8,.812,5.0,3.6,2.9,14.6,"AS,NBA2"
Larry Foust,24,FTW,C,67,34.4,4.6,12.9,.360,5.0,6.9,.723,11.5,2.3,4.0,14.3,AS
Paul Seymour,25,SYR,SG,67,40.1,4.6,11.9,.383,5.1,6.2,.817,3.7,4.4,3.1,14.2,AS
Carl Braun,25,NYK,SG,70,33.1,4.6,11.5,.400,4.7,5.7,.825,3.3,3.5,4.1,14.0,AS
Don Barksdale,29,BLB,PF,65,35.4,4.9,12.8,.387,4.0,6.2,.641,9.2,2.6,4.2,13.8,AS
Leo Barnhorst,28,INO,SF,71,40.4,5.7,14.6,.389,2.3,3.6,.629,6.8,3.9,3.5,13.6,AS
Fred Scolari,30,2TM,PG,62,34.2,4.5,13.0,.342,4.5,5.3,.844,3.4,3.8,3.4,13.4,AS
Joe Graboski,23,INO,C,69,40.1,3.9,11.6,.340,5.1,7.4,.682,10.0,2.3,4.4,13.0,
Jim Pollard,30,MNL,SF,66,36.4,5.0,14.1,.357,2.9,3.8,.769,6.8,3.5,2.9,13.0,
Arnie Risen,28,ROC,C,68,33.6,4.3,11.8,.368,4.3,6.3,.685,11.0,2.0,4.0,13.0,AS
Harry Gallatin,25,NYK,PF,70,33.3,4.0,9.1,.444,4.3,6.1,.700,13.1,1.8,3.2,12.4,AS
Ernie Vandeweghe,24,NYK,SG,61,28.6,4.5,10.2,.435,3.1,4.0,.766,5.6,2.4,4.0,12.0,
Danny Finn,24,PHW,SG,31,32.7,4.4,13.2,.330,3.2,5.9,.544,5.6,4.7,4.0,11.9,
Joe Fulks,31,PHW,PF,70,29.8,4.7,13.7,.346,2.4,3.3,.727,5.5,2.0,4.6,11.9,
Dick Groat,22,FTW,PG,26,25.5,3.8,10.5,.368,4.2,5.3,.790,3.3,2.7,3.5,11.9,
Max Zaslofsky,27,NYK,SG,29,24.9,4.2,11.0,.384,3.4,4.9,.690,2.6,1.9,2.8,11.9,
Mel Hutchins,24,MLH,C,71,40.7,4.5,11.9,.379,2.7,4.2,.654,11.2,3.2,3.0,11.7,AS
Bill Tosheff,26,INO,PG,67,36.7,3.8,11.7,.323,3.8,4.7,.806,3.4,3.6,3.6,11.3,
George King,24,SYR,PG,71,35.5,3.6,8.9,.402,4.0,6.2,.643,4.0,5.1,3.4,11.2,
Red Rocha,29,SYR,C,69,35.6,3.9,10.0,.388,3.4,4.5,.755,7.4,2.0,3.7,11.2,
Connie Simmons,27,NYK,C,65,26.3,3.7,9.8,.377,3.8,5.2,.732,7.0,2.0,3.9,11.2,
Jack Coleman,28,ROC,PF,70,37.5,4.5,10.7,.420,1.9,3.0,.649,11.1,3.3,3.5,10.9,
Frankie Brian,29,FTW,SG,68,28.1,3.6,10.3,.351,3.5,4.4,.795,2.0,2.1,3.0,10.7,
Monk Meineke,22,FTW,PF,68,33.1,3.5,9.3,.381,3.6,4.6,.783,6.9,2.2,4.9,10.7,ROY-1
Paul Walther,25,INO,SG,67,36.8,3.4,9.6,.352,3.9,5.3,.746,4.2,3.1,3.9,10.7,
Nat Clifton,30,NYK,PF,70,35.7,3.9,11.3,.343,2.9,4.9,.583,10.9,3.3,3.9,10.6,
Slater Martin,27,MNL,PG,70,36.5,3.7,9.1,.410,3.2,4.1,.780,2.7,3.6,3.5,10.6,AS
Eddie Miller,21,2TM,C,70,28.8,3.9,11.2,.350,2.7,4.1,.652,9.6,1.6,3.6,10.5,
Fred Schaus,27,FTW,SF,69,36.8,3.5,10.4,.334,3.5,4.3,.821,6.0,3.6,3.8,10.5,
Andy Phillip,30,2TM,SG,70,38.4,3.6,9.0,.397,3.2,4.3,.738,5.2,5.7,3.3,10.3,"AS,NBA2"
Jim Baechtold,25,BLB,SF,64,29.6,3.8,9.7,.390,2.8,3.8,.738,3.4,2.4,3.2,10.3,
Vince Boryla,25,NYK,SF,66,33.3,3.8,10.4,.370,2.5,3.0,.821,3.5,2.5,3.4,10.2,
Paul Hoffman,27,BLB,SG,69,28.3,3.5,9.5,.366,3.2,5.0,.655,4.6,3.4,4.1,10.2,
Ray Lumpp,29,2TM,PG,55,25.9,3.4,9.2,.372,2.8,3.7,.743,2.6,3.1,3.2,9.6,
Odie Spears,28,ROC,SF,62,22.8,3.2,8.0,.401,3.2,3.9,.819,4.0,1.8,3.7,9.6,
George Ratkovicz,30,2TM,PF,71,31.5,2.9,8.7,.336,3.7,5.3,.702,7.4,3.1,4.0,9.5,
Bill Gabor,30,SYR,SG,69,19.4,3.1,8.9,.350,3.1,4.1,.764,1.5,1.9,3.8,9.4,AS
Bill Calhoun,25,2TM,SF,62,34.6,2.9,8.6,.337,3.4,4.7,.723,4.5,2.5,2.2,9.2,
Jerry Fleishman,30,PHW,SG,33,26.7,3.0,9.2,.330,2.9,4.2,.686,4.6,3.3,3.6,9.0,
Dike Eddleman,30,FTW,SF,69,22.8,3.5,10.0,.351,1.9,3.4,.561,3.4,1.5,3.2,8.9,
Bob Lavoy,26,INO,PF,70,33.2,3.2,8.0,.402,2.4,3.5,.694,7.5,1.9,3.9,8.8,
Don Henriksen,23,BLB,C,68,33.3,2.9,7.0,.419,2.6,4.1,.626,7.4,1.9,3.6,8.4,
Arnie Johnson,32,ROC,SF,70,28.3,2.0,5.3,.379,4.3,5.8,.748,6.0,2.2,4.0,8.3,
Stan Miasek,29,2TM,SF,65,24.4,2.7,7.5,.365,2.4,3.8,.629,5.5,1.9,3.5,7.9,
Jim Mooney,22,PHW,SF,18,29.4,3.0,8.2,.365,1.5,2.2,.675,3.9,1.9,2.8,7.5,
Bob Harris,25,BOS,SF,70,28.2,2.7,6.6,.418,1.9,3.2,.588,6.9,1.4,3.4,7.4,
Earl Lloyd,24,SYR,SF,64,28.2,2.4,7.1,.344,2.5,3.6,.693,6.9,1.0,3.8,7.4,
Don Lofgran,23,PHW,SF,64,27.9,2.7,8.2,.330,2.0,2.7,.728,5.3,1.7,2.8,7.4,
Pep Saul,28,MNL,SG,70,25.7,2.7,6.7,.397,2.0,2.9,.710,2.0,1.6,2.5,7.4,
Dick McGuire,27,NYK,PG,61,29.2,2.3,6.1,.381,2.5,4.4,.569,4.6,4.9,2.8,7.2,
Jack McMahon,24,ROC,PG,70,23.8,2.5,7.6,.330,2.2,3.4,.657,2.6,2.7,3.6,7.2,
Bob Harrison,25,MNL,SG,70,23.5,2.8,7.4,.376,1.5,2.4,.648,2.2,2.3,3.8,7.1,
Mel Payton,26,INO,SF,66,21.6,2.6,7.3,.357,1.8,2.4,.745,4.7,1.2,1.8,7.1,
Dave Minor,30,2TM,,59,27.3,2.6,7.1,.367,1.7,2.2,.742,4.3,2.2,3.6,6.9,
Bob Brannum,26,BOS,PF,71,26.8,2.6,7.6,.348,1.5,2.6,.595,7.6,2.1,4.0,6.8,
Don Boven,27,3TM,,67,20.5,2.3,6.4,.358,2.2,3.1,.694,3.2,1.2,3.4,6.7,
Chuck Cooper,26,BOS,SF,70,28.5,2.2,6.7,.337,2.1,2.7,.758,6.3,1.6,3.7,6.5,
Bob Donham,26,BOS,SG,71,20.2,2.4,5.0,.479,1.6,3.4,.471,3.4,2.2,3.0,6.4,
Johnny Payak,26,MLH,SG,68,21.6,1.9,5.5,.343,2.6,3.6,.726,1.7,2.1,2.9,6.4,
Nelson Bobb,28,PHW,PG,55,23.4,2.2,5.8,.374,1.9,2.9,.648,2.9,3.5,2.9,6.2,
Noble Jorgensen,27,SYR,C,70,19.4,2.1,6.2,.333,2.1,2.8,.734,3.4,1.1,3.5,6.2,
Al McGuire,24,NYK,PG,58,21.2,1.9,4.9,.390,2.2,3.5,.637,2.9,2.5,3.6,6.1,
Jack McCloskey,27,PHW,SG,1,16.0,3.0,9.0,.333,0.0,0.0,,3.0,1.0,2.0,6.0,
