Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,26,SFW,C,80,47.6,18.3,34.6,.528,8.3,13.9,.593,24.3,3.4,1.7,44.8,"MVP-7,AS,NBA2"
Elgin Baylor,28,LAL,SF,80,42.1,12.9,28.4,.453,8.3,9.9,.837,14.3,4.8,2.8,34.0,"MVP-2,AS,NBA1"
Bob Pettit,30,STL,PF,79,39.1,9.8,22.1,.446,8.7,11.2,.774,15.1,3.1,3.6,28.4,"MVP-4,AS,NBA1"
Oscar Robertson,24,CIN,PG,80,44.0,10.3,19.9,.518,7.7,9.5,.810,10.4,9.5,3.7,28.3,"MVP-3,AS,NBA1"
Walt Bellamy,23,CHZ,C,80,41.3,10.5,19.9,.527,6.9,10.3,.674,16.4,2.9,3.5,27.9,"MVP-11,AS"
Jerry West,24,LAL,PG,55,39.3,10.2,22.1,.461,6.7,8.7,.778,7.0,5.6,2.7,27.1,"MVP-5,AS,NBA1"
Terry Dischinger,22,CHZ,SF,57,40.2,9.2,18.0,.512,7.1,9.2,.770,8.0,3.1,3.3,25.5,"MVP-8,ROY-1,AS"
Bailey Howell,26,DET,SF,79,37.6,8.1,15.6,.516,6.6,8.2,.798,11.5,2.9,3.8,22.7,"AS,NBA2"
Richie Guerin,30,NYK,SG,79,34.3,7.5,17.5,.432,6.4,7.6,.848,4.2,4.4,2.9,21.5,AS
Jack Twyman,28,CIN,SF,80,32.8,8.0,16.7,.480,3.8,4.7,.811,7.5,2.7,3.6,19.8,AS
Sam Jones,29,BOS,SG,76,30.6,8.2,17.2,.476,3.4,4.3,.793,5.2,3.2,2.1,19.7,
Hal Greer,26,SYR,SG,80,32.9,7.5,16.2,.464,4.5,5.4,.834,5.7,3.4,3.6,19.5,"AS,NBA2"
Don Ohl,26,DET,SG,80,37.0,8.0,18.1,.439,3.4,4.8,.724,3.0,4.1,2.9,19.3,AS
Tom Heinsohn,28,BOS,PF,76,26.4,7.2,17.1,.423,4.5,5.4,.835,7.5,1.3,3.6,18.9,"AS,NBA2"
Wayne Embry,25,CIN,C,76,33.0,7.0,15.3,.458,4.5,6.8,.667,12.3,2.3,3.8,18.6,AS
Lee Shaffer,23,SYR,SF,80,29.9,7.5,17.4,.429,3.7,4.7,.784,6.6,1.2,3.1,18.6,AS
Johnny Green,29,NYK,PF,80,31.9,7.3,15.8,.462,3.5,5.5,.638,12.1,1.9,3.0,18.1,AS
Dick Barnett,26,LAL,SG,80,31.8,6.8,14.5,.471,4.3,5.3,.815,3.0,2.8,2.4,18.0,
Bill Russell,28,BOS,C,78,44.9,6.6,15.2,.432,3.7,6.6,.555,23.6,4.5,2.4,16.8,"MVP-1,AS,NBA1"
Ray Scott,24,DET,PF,76,33.4,6.1,14.6,.414,4.1,6.0,.674,10.2,2.5,3.5,16.2,
Tom Meschery,24,SFW,PF,64,35.1,6.2,14.6,.425,3.6,4.9,.728,9.8,1.6,3.9,16.0,AS
Red Kerr,30,SYR,C,80,32.0,6.3,13.4,.474,3.0,4.0,.753,13.0,2.7,2.6,15.7,"MVP-6,AS"
Cliff Hagan,31,STL,SF,79,21.7,6.2,13.4,.465,3.1,3.9,.800,4.3,2.4,2.7,15.5,
Bob Boozer,25,CIN,PF,79,31.5,5.6,12.6,.444,3.2,4.5,.714,11.1,1.3,3.8,14.3,
John Havlicek,22,BOS,SF,80,27.5,6.0,13.6,.445,2.2,3.0,.728,6.7,2.2,2.4,14.3,MVP-10
