Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
John Lucas,25,GSW,PG,82,82,37.7,6.5,14.0,.462,3.2,3.9,.822,0.8,2.2,3.0,9.3,1.9,0.1,3.1,2.8,16.1,
Alex English,25,IND,SF,81,69,33.3,7.0,13.6,.511,2.1,2.8,.752,3.1,5.0,8.1,3.3,0.9,1.0,2.4,2.6,16.0,
Eddie Johnson,23,ATL,SG,78,77,30.9,6.4,12.6,.510,3.1,3.7,.832,0.8,1.3,2.2,4.6,1.6,0.1,2.7,3.1,16.0,DEF2
James Silas,29,SAS,PG,79,,27.5,5.9,11.7,.505,4.2,5.1,.831,0.4,1.9,2.3,3.5,1.0,0.3,2.5,2.7,16.0,
Phil Ford,22,KCK,PG,79,,34.5,5.9,12.7,.465,4.1,5.1,.813,0.4,1.9,2.3,8.6,2.2,0.1,4.1,3.1,15.9,"MVP-8,ROY-1,NBA2"
Dennis Johnson,24,SEA,SG,80,,34.0,6.0,13.9,.434,3.8,4.9,.781,1.8,2.9,4.7,3.5,1.3,1.2,2.4,2.6,15.9,"AS,DEF1"
Rich Kelley,25,NOJ,C,80,,33.8,5.5,10.9,.506,4.7,5.7,.814,3.8,9.0,12.8,3.6,1.6,2.1,3.6,3.9,15.7,
Jack Sikma,23,SEA,C,82,82,36.1,5.8,12.6,.460,4.0,4.9,.814,2.8,9.5,12.4,3.2,1.0,0.8,3.1,3.6,15.6,"MVP-7,AS"
Junior Bridgeman,25,MIL,SG,82,,23.9,6.6,13.0,.506,2.3,2.8,.829,1.4,2.2,3.6,2.0,1.1,0.5,1.7,2.2,15.5,
Kevin Grevey,25,WSB,SF,65,,28.6,6.4,14.2,.453,2.7,3.4,.772,1.4,2.2,3.6,2.4,0.7,0.2,1.8,2.4,15.5,
Chris Ford,30,2TM,SG,81,,33.8,6.6,14.1,.471,2.1,2.8,.758,1.5,1.9,3.4,4.6,1.4,0.3,2.6,2.6,15.4,
Mickey Johnson,26,CHI,PF,82,,31.6,6.0,13.5,.449,3.3,4.0,.830,2.4,5.3,7.6,4.6,1.1,0.7,3.8,3.5,15.4,
Kevin Porter,28,DET,PG,82,82,37.4,6.5,13.5,.481,2.3,3.2,.722,0.8,1.8,2.5,13.4,1.9,0.1,4.1,3.7,15.4,
Lionel Hollins,25,POR,PG,64,,30.7,6.3,13.8,.454,2.7,3.5,.778,0.5,1.8,2.3,5.1,1.8,0.4,3.5,3.1,15.3,DEF2
Dan Roundfield,25,ATL,PF,80,65,31.7,5.8,11.5,.504,3.8,5.3,.714,4.1,6.7,10.8,1.6,1.1,2.2,2.6,4.5,15.3,
Sonny Parker,23,GSW,SF,79,,36.6,6.5,12.9,.502,2.2,2.8,.788,2.1,3.5,5.6,3.7,1.8,0.4,2.4,2.4,15.2,
Eric Money,23,2TM,PG,70,0,28.3,6.3,12.8,.497,2.4,3.4,.717,1.0,1.3,2.3,4.7,1.2,0.2,3.4,2.9,15.1,
Mike Bantom,27,IND,PF,81,81,31.2,6.0,12.8,.465,2.8,4.2,.672,2.8,5.2,8.0,2.8,1.2,0.8,2.4,3.9,14.7,
Mychal Thompson,24,POR,C,73,,29.4,6.3,12.8,.490,2.1,3.7,.572,2.7,5.6,8.3,2.4,0.9,1.8,2.8,3.7,14.7,
Mitch Kupchak,24,WSB,PF,66,,24.3,5.6,10.4,.539,3.4,4.5,.743,2.3,4.2,6.5,1.3,0.3,0.3,1.8,2.1,14.6,
Billy Knight,26,2TM,SF,79,3,26.5,5.6,10.6,.528,3.2,3.7,.841,1.2,3.2,4.4,1.9,0.8,0.1,2.8,2.0,14.3,
Fred Brown,30,SEA,PG,77,,25.5,5.8,12.4,.469,2.4,2.7,.888,0.5,1.7,2.2,3.4,1.5,0.3,2.1,1.8,14.0,
Nick Weatherspoon,28,SDC,SF,82,,32.2,5.8,12.2,.480,2.1,2.9,.739,2.2,3.4,5.5,1.6,1.0,0.5,2.2,3.5,13.8,
Rick Barry,34,HOU,SF,80,,32.1,5.8,12.5,.461,2.0,2.1,.947,0.5,3.0,3.5,6.3,1.2,0.5,2.5,2.4,13.5,
Lonnie Shelton,23,SEA,PF,76,,28.4,5.9,11.3,.519,1.7,2.5,.693,2.4,3.8,6.2,1.4,1.0,1.0,2.5,3.5,13.5,
Jim Chones,29,CLE,C,82,82,34.8,5.8,13.1,.440,1.9,2.6,.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4,
Bill Robinzine,26,KCK,PF,82,,26.6,5.6,10.2,.548,2.2,3.0,.732,2.7,5.1,7.8,1.3,1.3,0.2,2.2,4.5,13.4,
Ron Brewer,23,POR,SG,81,,30.3,5.4,10.8,.494,2.6,3.2,.820,1.1,1.7,2.8,2.0,1.3,1.0,1.9,2.2,13.3,
Darryl Dawkins,22,PHI,C,78,12,26.1,5.5,10.7,.517,2.0,3.0,.672,1.6,6.5,8.1,1.6,0.4,1.8,2.5,3.8,13.1,
Terry Tyler,22,DET,PF,82,,31.2,5.6,11.5,.482,1.8,2.7,.658,2.6,5.3,7.9,1.1,1.3,2.5,1.7,3.1,12.9,
Gail Goodrich,35,NOJ,SG,74,,28.8,5.2,11.5,.449,2.4,2.8,.853,0.9,1.6,2.5,4.8,1.2,0.2,2.5,2.4,12.7,
Wilbur Holland,27,CHI,SG,82,,30.3,5.4,11.5,.473,1.7,2.1,.801,1.0,2.1,3.1,4.0,1.5,0.1,2.3,2.9,12.6,
Jo Jo White,32,2TM,PG,76,,30.8,5.3,12.0,.444,1.8,2.1,.880,0.6,2.1,2.6,4.6,1.1,0.1,2.8,2.3,12.5,
Eddie Jordan,24,NJN,PG,82,,27.6,4.9,11.7,.418,2.6,3.3,.777,0.9,1.7,2.6,4.5,2.5,0.5,3.0,2.5,12.4,
Kent Benson,24,MIL,C,82,,26.0,5.0,9.7,.518,2.2,3.0,.735,2.3,4.8,7.1,2.5,1.1,1.0,1.9,3.4,12.3,
Earl Monroe,34,NYK,SG,64,,21.8,5.1,10.9,.471,2.0,2.4,.838,0.4,0.8,1.2,3.0,0.8,0.1,1.5,1.9,12.3,
Henry Bibby,29,PHI,PG,82,38,31.0,4.5,10.6,.423,3.2,4.1,.794,0.9,2.1,3.0,4.5,0.9,0.1,2.4,2.4,12.2,
Bobby Jones,27,PHI,PF,80,78,28.8,4.7,8.8,.537,2.6,3.5,.755,2.5,4.2,6.6,2.5,1.3,1.2,2.1,3.1,12.1,DEF1
Terry Furlow,24,2TM,SG,78,0,21.6,5.0,10.3,.483,2.1,2.5,.836,1.0,1.2,2.1,2.4,0.7,0.4,1.7,1.6,12.0,
Charlie Scott,30,DEN,PG,79,,33.1,5.0,10.8,.460,2.0,2.7,.749,0.7,2.0,2.7,5.4,1.0,0.4,3.2,3.6,12.0,
Billy Paultz,30,SAS,C,79,,26.9,5.1,9.6,.526,1.4,2.5,.588,2.1,5.8,7.9,2.3,0.4,1.6,2.0,2.6,11.5,
Leon Douglas,24,DET,C,78,,28.4,4.4,8.9,.490,2.7,4.2,.634,3.2,5.3,8.5,0.9,0.5,0.7,2.4,4.1,11.4,
Bob Wilkerson,24,DEN,SF,80,,30.3,5.0,10.9,.456,1.5,2.2,.688,1.3,3.9,5.2,3.6,1.5,0.3,2.5,2.4,11.4,
Kermit Washington,27,SDC,PF,82,,33.7,4.3,7.6,.562,2.8,4.0,.688,3.6,6.1,9.8,1.5,1.0,1.5,2.3,3.9,11.3,
Marvin Webster,26,NYK,C,60,,33.8,4.4,9.3,.473,2.5,4.4,.573,3.3,7.6,10.9,2.9,0.4,1.9,2.8,3.1,11.3,
Bingo Smith,32,CLE,SG,72,,22.9,5.0,10.9,.460,1.2,1.5,.783,1.1,1.8,2.9,1.7,0.6,0.1,1.0,2.6,11.2,
Tiny Archibald,30,BOS,PG,69,,24.1,3.8,8.3,.452,3.5,4.4,.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11.0,
John Johnson,31,SEA,SF,82,82,29.1,4.3,10.0,.434,2.3,3.0,.760,1.5,3.5,5.0,4.4,0.7,0.3,3.1,3.0,11.0,
Tom LaGarde,23,SEA,C,23,,25.0,4.3,7.9,.541,2.5,4.1,.600,2.7,5.6,8.3,1.4,0.3,0.8,2.0,3.3,11.0,
John Mengelt,29,CHI,SG,75,,22.7,4.5,9.2,.491,2.0,2.4,.824,0.3,1.2,1.6,2.5,0.6,0.1,1.6,2.0,11.0,
Robert Reid,23,HOU,SF,82,,27.5,4.7,9.5,.492,1.6,2.3,.704,1.6,4.3,5.9,2.8,0.9,0.6,1.6,3.7,10.9,
Wes Unseld,32,WSB,C,77,,31.2,4.5,7.8,.577,2.0,3.1,.643,3.6,7.2,10.8,4.1,0.9,0.5,2.0,2.6,10.9,
Walt Frazier,33,CLE,PG,12,,23.3,4.5,10.2,.443,1.8,2.3,.778,0.6,1.1,1.7,2.7,1.1,0.2,1.8,1.8,10.8,
Tom Henderson,27,WSB,PG,70,,29.7,4.3,9.2,.466,2.2,2.8,.800,0.7,1.6,2.3,6.0,1.2,0.1,2.1,1.8,10.8,
Mike Mitchell,23,CLE,SF,80,,19.7,4.5,8.8,.513,1.6,2.2,.736,1.6,2.5,4.1,0.8,0.6,0.4,1.3,2.7,10.7,
Swen Nater,29,SDC,C,79,,25.4,4.5,7.9,.569,1.7,2.1,.800,2.8,6.1,8.9,1.8,0.5,0.4,2.2,3.1,10.7,
Tom Boswell,25,DEN,PF,79,,27.9,4.1,7.6,.532,2.5,3.6,.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6,
Sam Lacey,30,KCK,C,82,,32.0,4.3,8.5,.502,2.0,2.8,.739,2.2,6.4,8.6,5.2,1.3,1.7,3.0,3.8,10.6,
Purvis Short,21,GSW,PF,75,,22.7,4.9,10.3,.479,0.8,1.1,.671,1.7,2.9,4.6,1.3,0.7,0.2,1.5,3.1,10.6,
Steve Hawes,28,ATL,PF,81,54,27.2,4.6,9.3,.492,1.3,1.6,.818,2.3,5.0,7.3,2.3,1.0,0.6,1.8,3.3,10.5,
Rick Robey,23,2TM,C,79,13,22.3,4.1,8.5,.478,2.2,2.8,.777,2.1,4.4,6.5,1.7,0.6,0.2,2.1,2.9,10.4,
Dave Twardzik,28,POR,PG,64,,24.5,3.2,6.0,.533,4.1,4.7,.873,0.6,1.3,1.9,2.8,1.3,0.1,2.0,2.9,10.4,
Freeman Williams,22,SDC,SG,72,,16.6,4.7,9.5,.490,1.1,1.4,.776,0.7,0.7,1.4,1.2,0.6,0.0,1.4,1.2,10.4,
Ernie Grunfeld,23,MIL,SF,82,,21.7,4.0,8.1,.493,2.3,3.1,.761,1.5,2.9,4.4,2.6,0.7,0.2,1.7,2.7,10.3,
Armond Hill,25,ATL,PG,82,82,30.8,3.6,8.3,.434,3.0,3.5,.854,0.5,1.5,2.0,5.9,1.2,0.2,2.5,3.6,10.2,
Mike Newlin,30,HOU,SG,76,,24.1,3.7,7.6,.487,2.8,3.2,.872,0.7,1.6,2.2,3.8,0.7,0.1,2.3,2.9,10.2,
Foots Walker,27,CLE,PG,55,,31.9,3.8,8.1,.464,2.5,3.2,.783,1.1,2.5,3.6,5.8,2.4,0.3,2.3,2.8,10.1,
Aaron James,26,NOJ,SF,73,,19.4,4.3,8.6,.494,1.4,1.9,.750,1.3,2.1,3.4,1.1,0.4,0.3,1.5,2.8,10.0,
Lou Hudson,34,LAL,SG,78,,21.6,4.2,8.2,.517,1.4,1.6,.887,0.8,1.0,1.8,1.8,0.7,0.2,1.3,1.7,9.8,
Sidney Wicks,29,SDC,PF,79,,25.6,3.9,8.6,.462,1.9,2.9,.650,2.0,3.1,5.1,1.6,0.9,0.5,2.3,3.5,9.8,
Bob Gross,25,POR,SF,53,,27.2,3.9,8.4,.472,1.8,2.2,.807,2.0,2.7,4.7,3.5,1.3,0.9,2.3,3.0,9.7,
Jim Cleamons,29,NYK,PG,79,,30.3,3.9,8.3,.473,1.6,2.2,.760,0.8,2.0,2.8,4.8,0.9,0.1,1.8,1.9,9.5,
Mark Olberding,22,SAS,PF,80,,23.6,3.3,6.9,.474,2.9,3.6,.803,1.2,4.2,5.4,2.6,0.7,0.2,2.0,3.5,9.4,
Winford Boynes,21,NJN,SG,69,,17.0,3.7,8.6,.430,1.9,2.4,.787,0.9,1.4,2.2,1.1,0.6,0.1,1.7,1.7,9.3,
Caldwell Jones,28,PHI,C,78,75,27.8,3.9,8.2,.474,1.6,2.1,.747,2.3,7.3,9.6,1.9,0.5,2.0,2.0,3.9,9.3,
Steve Mix,31,PHI,SF,74,1,17.1,3.6,6.7,.538,2.2,2.7,.801,1.5,2.5,4.0,1.6,0.8,0.2,1.4,1.5,9.3,
Larry Wright,24,WSB,PG,73,,22.7,3.8,8.1,.469,1.7,2.3,.744,0.7,1.3,1.9,4.1,0.9,0.2,1.6,2.3,9.3,
Butch Lee,22,2TM,PG,82,4,21.7,3.5,7.7,.457,2.1,2.8,.761,0.4,1.1,1.5,3.6,1.0,0.0,1.9,1.8,9.2,
Charles Johnson,29,WSB,SG,82,,22.2,4.2,9.6,.435,0.8,1.0,.848,0.9,1.6,2.5,2.2,1.2,0.1,1.1,2.0,9.2,
Ollie Johnson,29,CHI,SF,71,,24.4,4.0,7.6,.520,1.2,1.5,.800,0.8,2.4,3.2,2.3,0.8,0.5,1.6,2.6,9.2,
Ron Lee,26,2TM,PG,60,,22.4,3.6,8.5,.430,1.6,2.4,.695,1.1,1.8,2.8,3.4,1.8,0.1,2.8,3.0,8.9,
Bob Elliott,23,NJN,PF,14,,20.1,2.9,5.2,.562,2.9,4.0,.732,1.1,2.9,4.0,1.6,0.4,0.3,1.9,2.4,8.8,
Jeff Judkins,22,BOS,SF,81,,18.8,3.6,7.2,.503,1.5,1.8,.815,0.9,1.5,2.4,1.8,1.0,0.1,1.3,2.3,8.8,
Maurice Cheeks,22,PHI,PG,82,82,29.4,3.6,7.0,.510,1.2,1.7,.721,0.8,2.3,3.1,5.3,2.1,0.1,2.4,2.4,8.4,
Tree Rollins,23,ATL,C,81,45,23.5,3.7,6.9,.535,1.1,1.7,.631,2.7,4.6,7.3,0.6,0.6,3.1,1.1,4.0,8.4,
Nate Williams,28,GSW,SG,81,,16.0,3.5,7.0,.501,1.3,1.4,.872,0.8,1.7,2.6,0.8,0.7,0.1,1.1,2.1,8.3,
Marvin Barnes,26,BOS,PF,38,,20.9,3.5,7.1,.491,1.1,1.7,.652,1.5,3.2,4.7,1.4,1.0,1.0,1.8,3.8,8.1,
Mike Bratz,23,PHO,PG,77,,16.8,3.1,6.9,.454,1.8,2.2,.818,0.7,1.1,1.8,2.3,0.8,0.1,1.8,2.0,8.1,
Mark Landsberger,23,CHI,PF,80,,24.5,3.5,7.3,.475,1.1,2.4,.469,3.7,5.6,9.3,0.9,0.3,0.3,1.9,1.6,8.1,
Wilson Washington,23,NJN,PF,62,,18.4,3.5,7.0,.502,1.1,1.7,.635,1.4,3.3,4.7,0.8,0.5,1.1,1.6,3.0,8.1,
Mike Dunleavy,24,HOU,SG,74,,20.1,2.9,5.7,.506,2.1,2.5,.864,0.4,1.4,1.7,4.4,0.8,0.1,1.8,2.3,8.0,
Mike Gale,28,SAS,SG,82,,25.9,3.5,7.5,.464,1.1,1.3,.843,0.5,1.8,2.3,4.6,1.9,0.5,1.9,2.3,8.0,
Joe Meriweather,25,2TM,C,77,,22.0,3.1,6.5,.484,1.6,2.4,.674,1.9,3.5,5.3,1.0,0.5,1.2,1.7,3.7,7.9,
Anthony Roberts,23,DEN,SF,63,,19.6,3.3,7.9,.424,1.2,1.7,.691,1.7,2.4,4.1,1.7,0.3,0.0,1.0,2.3,7.9,
Greg Ballard,24,WSB,SF,82,,18.9,3.2,6.8,.465,1.5,2.1,.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2.0,7.8,
Tom Burleson,26,KCK,C,56,,16.6,2.8,6.1,.459,2.2,3.0,.716,1.5,3.5,5.0,0.9,0.5,1.0,1.1,3.3,7.8,
Don Buse,28,PHO,PG,82,82,31.0,3.5,7.0,.495,0.9,1.1,.769,0.5,2.1,2.6,4.3,1.9,0.2,1.2,1.8,7.8,DEF1
Mike Glenn,23,NYK,SG,75,,15.6,3.5,6.5,.541,0.8,0.8,.905,0.4,0.7,1.1,1.8,0.5,0.1,0.9,1.5,7.8,
Billy McKinney,23,KCK,PG,78,,15.9,3.1,6.1,.503,1.7,2.1,.796,0.3,0.8,1.1,3.2,0.7,0.0,1.6,1.6,7.8,
Earl Tatum,25,2TM,SG,79,,15.6,3.5,7.9,.447,0.7,0.9,.732,0.5,1.1,1.6,0.9,1.0,0.4,1.1,2.1,7.7,
T.R. Dunn,23,POR,SG,80,,22.9,3.1,6.9,.448,1.5,2.0,.772,1.8,2.5,4.3,1.3,1.1,0.3,1.2,2.1,7.7,
Jack Givens,22,ATL,SF,74,3,18.2,3.2,7.6,.415,1.4,1.8,.756,1.3,1.6,2.9,1.1,1.0,0.2,1.0,1.6,7.7,
Joe Bryant,24,PHI,PF,70,0,15.2,2.9,6.8,.429,1.8,2.4,.724,1.4,2.3,3.7,1.5,0.7,0.1,1.6,2.4,7.6,
Mike Green,27,SAS,C,76,,21.6,3.1,6.3,.493,1.3,1.9,.701,1.7,2.9,4.7,1.5,0.5,1.6,1.2,3.0,7.5,
Ron Boone,32,LAL,SG,82,,19.3,3.2,6.9,.455,1.1,1.3,.865,0.6,1.1,1.8,1.9,0.8,0.1,1.8,2.1,7.4,
Kenny Carr,23,LAL,PF,72,,16.0,3.1,6.3,.500,1.2,1.9,.606,1.0,3.1,4.1,0.8,0.5,0.4,1.6,2.1,7.4,
Connie Norman,25,SDC,SG,22,,14.7,3.2,7.5,.430,0.9,1.0,.826,0.6,0.9,1.5,1.1,0.5,0.1,1.0,1.6,7.3,
Quinn Buckner,24,MIL,PG,81,,21.7,3.1,6.8,.454,1.0,1.5,.632,0.7,1.9,2.6,5.8,1.9,0.2,2.6,2.8,7.2,
Larry Steele,29,POR,SG,72,,20.7,2.8,6.7,.420,1.6,1.9,.824,0.8,1.6,2.4,2.0,1.0,0.1,1.3,2.9,7.2,
John Gianelli,28,MIL,C,82,,25.1,3.1,6.4,.486,0.9,1.2,.706,1.5,3.5,5.0,2.0,0.5,0.7,1.3,2.4,7.1,
Kevin Restani,27,MIL,PF,81,,19.7,3.2,6.5,.495,0.6,0.9,.699,1.7,3.0,4.8,1.5,0.4,0.3,1.2,1.9,7.1,
Darnell Hillman,29,KCK,PF,78,,20.7,2.7,5.5,.493,1.6,2.9,.558,1.8,3.8,5.5,1.2,0.6,0.8,1.7,3.7,7.0,
