Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
George Gervin,26,SAS,SF,80,,36.1,11.8,21.9,.541,5.9,7.1,.826,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6,"MVP-2,AS,NBA1"
World B. Free,25,SDC,PG,78,,37.9,10.2,21.2,.481,8.4,11.1,.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8,"MVP-6,NBA2"
Marques Johnson,22,MIL,SF,77,,36.1,10.6,19.4,.550,4.3,5.7,.760,2.8,4.9,7.6,3.0,1.5,1.2,2.2,2.4,25.6,"AS,NBA1"
Bob McAdoo,27,2TM,C,60,,37.2,9.9,18.8,.529,4.9,7.5,.656,2.2,6.5,8.7,2.8,1.2,1.1,3.6,3.2,24.8,
Moses Malone,23,HOU,C,82,82,41.3,8.7,16.2,.540,7.3,9.9,.739,7.2,10.5,17.6,1.8,1.0,1.5,4.0,2.7,24.8,"MVP-1,AS,NBA1,DEF2"
David Thompson,24,DEN,SG,76,,35.1,9.1,17.8,.512,5.8,7.7,.753,1.4,2.2,3.6,3.0,0.9,1.1,2.4,2.4,24.0,"MVP-8,AS"
Paul Westphal,28,PHO,SG,81,,32.6,9.9,18.5,.535,4.2,5.0,.837,0.4,1.5,2.0,6.5,1.4,0.3,2.9,2.0,24.0,"AS,NBA1"
Kareem Abdul-Jabbar,31,LAL,C,80,,39.5,9.7,16.8,.577,4.4,5.9,.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,"MVP-4,AS,NBA2,DEF1"
Artis Gilmore,29,CHI,C,82,82,39.8,9.2,16.0,.575,5.3,7.2,.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7,AS
Walter Davis,24,PHO,SF,79,,30.8,9.7,17.2,.561,4.3,5.2,.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6,"MVP-10,AS,NBA2"
Bob Lanier,30,DET,C,53,,34.6,9.2,17.9,.515,5.2,6.9,.749,3.1,6.2,9.3,2.6,0.9,1.4,3.3,3.4,23.6,AS
Julius Erving,28,PHI,SF,78,76,35.9,9.2,18.7,.491,4.8,6.4,.745,2.5,4.7,7.2,4.6,1.7,1.3,4.0,2.7,23.1,AS
John Drew,24,ATL,SF,79,79,30.5,8.2,17.4,.473,6.3,8.6,.731,2.8,3.8,6.6,1.5,1.6,0.2,2.7,4.2,22.7,
Pete Maravich,31,NOJ,SG,49,,37.2,8.9,21.1,.421,4.8,5.7,.841,0.7,1.8,2.5,5.0,1.2,0.4,4.1,2.1,22.6,AS
George McGinnis,28,DEN,PF,76,,33.6,7.9,16.8,.474,6.7,10.1,.665,3.4,8.0,11.4,3.7,1.7,0.7,4.6,4.2,22.6,AS
John Williamson,27,NJN,SG,74,,33.1,8.6,18.5,.465,5.0,5.9,.854,0.7,1.9,2.6,3.4,1.2,0.2,3.1,2.9,22.2,
Larry Kenon,26,SAS,PF,81,,36.4,9.2,18.3,.504,3.6,4.3,.845,3.2,6.5,9.8,4.1,1.9,0.2,3.7,2.4,22.1,AS
Campy Russell,27,CLE,SF,74,,38.6,8.1,17.1,.476,5.6,7.1,.797,2.0,4.8,6.8,4.7,1.3,0.3,3.5,3.0,21.9,AS
Elvin Hayes,33,WSB,PF,82,,37.9,8.8,18.0,.487,4.3,6.5,.654,3.8,8.3,12.1,1.7,0.9,2.3,2.9,3.8,21.8,"MVP-3,AS,NBA1"
Otis Birdsong,23,KCK,SG,82,82,34.6,9.0,17.8,.509,3.6,5.0,.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7,AS
Bernard King,22,NJN,SF,82,,34.9,8.7,16.6,.522,4.3,7.5,.564,3.1,5.1,8.2,3.6,1.4,0.5,3.9,4.0,21.6,
Truck Robinson,27,2TM,PF,69,,36.8,8.2,16.7,.491,4.7,6.7,.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3.0,21.1,
Spencer Haywood,29,2TM,PF,68,,34.7,8.8,17.7,.494,3.4,4.3,.791,2.5,5.3,7.8,1.9,0.6,1.2,2.9,3.5,20.9,
Randy Smith,30,SDC,SG,82,82,37.9,8.5,18.6,.455,3.6,4.4,.813,1.2,2.4,3.6,4.8,2.2,0.1,3.1,2.2,20.5,
Bob Dandridge,31,WSB,SF,78,,33.7,8.1,16.2,.499,4.2,5.1,.825,1.4,4.3,5.7,4.7,0.9,0.7,2.8,3.3,20.4,"MVP-5,AS,NBA2,DEF1"
Maurice Lucas,26,POR,PF,69,,35.7,8.2,17.5,.470,3.9,5.0,.783,2.8,7.6,10.4,3.1,1.0,1.2,3.4,3.7,20.4,"AS,DEF2"
Calvin Murphy,30,HOU,PG,82,,35.9,8.6,17.4,.496,3.0,3.2,.928,1.0,1.2,2.1,4.3,1.4,0.1,2.3,3.5,20.2,AS
Phil Smith,26,GSW,SG,59,,38.8,8.3,16.6,.501,3.3,4.3,.761,0.8,2.8,3.6,4.4,1.7,0.4,2.9,2.7,19.9,
Brian Winters,26,MIL,SG,79,,32.6,8.4,17.0,.493,3.0,3.5,.856,0.6,1.6,2.2,4.8,1.1,0.5,3.3,3.1,19.8,
Doug Collins,27,PHI,SG,47,44,33.9,7.6,15.3,.499,4.3,5.3,.814,0.8,1.9,2.6,4.1,1.1,0.4,2.8,3.0,19.5,AS
Gus Williams,25,SEA,PG,76,,29.8,8.0,16.1,.495,3.2,4.2,.775,1.5,1.8,3.2,4.0,2.1,0.4,2.5,2.1,19.2,
Cedric Maxwell,23,BOS,SF,80,60,37.1,5.9,10.1,.584,7.2,9.0,.802,3.4,6.5,9.9,2.9,1.2,0.9,3.4,3.3,19.0,
Rudy Tomjanovich,30,HOU,PF,74,,35.7,8.4,16.2,.517,2.3,3.0,.760,2.3,5.4,7.7,1.9,0.6,0.2,1.9,2.5,19.0,AS
M.L. Carr,28,DET,SF,80,,40.1,7.3,14.3,.514,4.0,5.4,.743,2.7,4.6,7.4,3.3,2.5,0.6,3.2,3.5,18.7,DEF2
Jamaal Wilkes,25,LAL,SF,82,82,35.5,7.6,15.1,.504,3.3,4.4,.751,2.0,5.4,7.4,2.8,1.6,0.3,2.7,3.4,18.6,
Tom Owens,29,POR,C,82,82,34.0,7.3,13.4,.548,3.9,4.9,.794,3.2,5.8,9.0,3.7,0.7,0.7,3.0,4.0,18.5,
Johnny Davis,23,IND,PG,79,79,37.6,7.2,15.7,.456,4.0,5.0,.793,0.9,1.5,2.4,5.7,1.2,0.3,2.7,2.2,18.3,
Scott Wedman,26,KCK,SF,73,,34.2,7.7,14.4,.534,3.0,3.7,.797,1.8,3.4,5.3,2.0,1.0,0.4,1.5,3.3,18.3,
Alvan Adams,24,PHO,C,77,,30.7,7.4,13.9,.530,3.0,3.8,.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8,
Adrian Dantley,23,LAL,SF,60,,29.6,6.2,12.2,.510,4.9,5.7,.854,2.2,3.5,5.7,2.3,1.1,0.2,2.6,2.7,17.3,
Ricky Sobers,26,IND,SG,81,81,34.9,6.8,14.7,.463,3.7,4.2,.882,1.5,2.3,3.7,5.6,1.7,0.3,3.8,3.9,17.3,
Ray Williams,24,NYK,PG,81,,29.3,7.1,15.5,.457,3.1,3.9,.802,1.3,2.3,3.6,6.2,1.6,0.2,3.5,3.4,17.3,
Robert Parish,25,GSW,C,76,,31.7,7.3,14.6,.499,2.6,3.7,.698,3.5,8.6,12.1,1.5,1.3,2.9,3.1,4.0,17.2,
Norm Nixon,23,LAL,PG,82,82,38.4,7.6,14.0,.542,1.9,2.5,.775,0.6,2.2,2.8,9.0,2.5,0.2,2.8,3.0,17.1,
Austin Carr,30,CLE,SG,82,,33.1,6.7,14.2,.475,3.6,4.4,.816,1.9,1.6,3.5,2.6,0.9,0.2,2.1,2.6,17.0,
Dan Issel,30,DEN,C,81,,33.9,6.6,12.7,.517,3.9,5.2,.754,3.0,6.1,9.1,3.1,0.8,0.6,2.1,2.9,17.0,
Jim McElroy,25,NOJ,PG,79,,34.2,6.8,13.9,.491,3.3,4.3,.762,0.8,1.9,2.7,5.7,1.9,0.6,3.0,2.3,16.9,
James Edwards,23,IND,C,82,82,31.0,6.5,13.0,.501,3.6,5.4,.676,2.2,6.3,8.5,1.1,0.7,1.3,2.0,4.4,16.7,
Dave Cowens,30,BOS,C,68,,37.0,7.2,14.9,.483,2.2,2.8,.807,2.2,7.4,9.6,3.6,1.1,0.8,2.6,3.9,16.6,
Toby Knight,23,NYK,SF,82,,32.5,7.4,14.3,.519,1.8,2.5,.704,2.5,4.2,6.7,1.5,0.7,0.7,2.0,3.8,16.6,
Reggie Theus,21,CHI,PG,82,,33.6,6.5,13.6,.480,3.2,4.2,.761,1.1,1.7,2.8,5.2,1.1,0.2,3.7,3.3,16.3,ROY-2
John Long,22,DET,SG,82,,30.5,7.1,15.1,.469,1.9,2.3,.826,1.5,1.7,3.2,1.5,1.2,0.2,1.7,2.7,16.1,
