Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Carmelo Anthony,28,NYK,PF,67,67,37.0,10.0,22.2,.449,2.3,6.2,.379,7.6,16.0,.476,.502,6.3,7.6,.830,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,"MVP-3,AS,NBA2"
Kevin Durant,24,OKC,SF,81,81,38.5,9.0,17.7,.510,1.7,4.1,.416,7.3,13.6,.539,.559,8.4,9.3,.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,"MVP-2,AS,NBA1"
Kobe Bryant,34,LAL,SG,78,78,38.6,9.5,20.4,.463,1.7,5.2,.324,7.8,15.2,.510,.504,6.7,8.0,.839,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,"MVP-5,AS,NBA1"
LeBron James,28,MIA,PF,76,76,37.9,10.1,17.8,.565,1.4,3.3,.406,8.7,14.5,.602,.603,5.3,7.0,.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,"MVP-1,DPOY-2,AS,NBA1,DEF1"
James Harden,23,HOU,SG,78,78,38.3,7.5,17.1,.438,2.3,6.2,.368,5.2,10.9,.477,.504,8.6,10.2,.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,"MVP-8,AS,NBA3"
Russell Westbrook,24,OKC,PG,82,82,34.9,8.2,18.7,.438,1.2,3.7,.323,7.0,15.1,.466,.470,5.6,7.0,.800,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,"MVP-9,DPOY-17,AS,NBA2"
Stephen Curry,24,GSW,PG,78,78,38.2,8.0,17.8,.451,3.5,7.7,.453,4.5,10.1,.449,.549,3.4,3.7,.900,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,MVP-11
Kyrie Irving,20,CLE,PG,59,59,34.7,8.2,18.1,.452,1.8,4.7,.391,6.4,13.4,.474,.503,4.2,4.9,.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,2.5,22.5,AS
Dwyane Wade,31,MIA,SG,69,69,34.7,8.2,15.8,.521,0.2,1.0,.258,8.0,14.9,.537,.528,4.5,6.2,.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,"MVP-10,DPOY-16,AS,NBA3"
LaMarcus Aldridge,27,POR,PF,74,74,37.7,8.6,17.8,.484,0.0,0.2,.143,8.6,17.6,.488,.485,3.8,4.7,.810,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,AS
Tony Parker,30,SAS,PG,66,66,32.9,7.9,15.1,.522,0.4,1.0,.353,7.5,14.0,.534,.534,4.2,5.0,.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,20.3,"MVP-6,AS,NBA2"
Brook Lopez,24,BRK,C,74,74,30.4,7.7,14.8,.521,0.0,0.0,.000,7.7,14.8,.522,.521,4.0,5.3,.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,2.1,19.4,AS
Monta Ellis,27,MIL,SG,82,82,37.5,7.3,17.5,.416,1.1,4.0,.287,6.1,13.5,.454,.448,3.5,4.6,.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,2.0,19.2,
Damian Lillard,22,POR,PG,82,82,38.6,6.7,15.7,.429,2.3,6.1,.368,4.5,9.6,.469,.501,3.3,3.9,.844,0.5,2.6,3.1,6.5,0.9,0.2,3.0,2.1,19.0,ROY-1
Deron Williams,28,BRK,PG,78,78,36.4,6.3,14.4,.440,2.2,5.7,.378,4.2,8.7,.482,.516,4.1,4.7,.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,18.9,
Paul Pierce,35,BOS,SF,77,77,33.4,6.2,14.2,.436,1.9,5.0,.380,4.3,9.2,.466,.502,4.3,5.5,.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,18.6,
David Lee,29,GSW,PF,79,79,36.8,7.6,14.7,.519,0.0,0.1,.000,7.6,14.6,.521,.519,3.2,4.1,.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5,"MVP-12,AS,NBA3"
John Wall,22,WAS,PG,49,42,32.7,6.6,15.0,.441,0.2,0.9,.267,6.4,14.1,.452,.449,5.0,6.2,.804,0.7,3.3,4.0,7.6,1.3,0.8,3.2,2.4,18.5,
Kevin Love,24,MIN,PF,18,18,34.3,5.8,16.6,.352,1.1,5.1,.217,4.7,11.4,.413,.386,5.6,7.9,.704,3.6,10.4,14.0,2.3,0.7,0.5,2.2,1.9,18.3,
Rudy Gay,26,2TM,SF,75,74,35.8,6.9,16.7,.416,1.1,3.5,.323,5.8,13.2,.440,.449,3.2,3.9,.814,1.3,4.8,6.1,2.7,1.5,0.7,2.6,2.4,18.2,
DeMar DeRozan,23,TOR,SG,82,82,36.7,6.7,15.0,.445,0.4,1.5,.283,6.3,13.5,.463,.459,4.3,5.2,.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1,
J.R. Smith,27,NYK,SG,80,0,33.5,6.6,15.6,.422,1.9,5.5,.356,4.7,10.2,.458,.484,3.0,3.9,.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1,6MOY-1
Blake Griffin,23,LAC,PF,80,80,32.5,7.2,13.4,.538,0.1,0.4,.179,7.2,13.1,.548,.541,3.5,5.3,.660,2.3,6.0,8.3,3.7,1.2,0.6,2.3,2.9,18.0,"AS,NBA2"
Tim Duncan,36,SAS,C,69,69,30.1,7.1,14.1,.502,0.0,0.1,.286,7.1,14.0,.504,.503,3.6,4.3,.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,1.7,17.8,"MVP-7,DPOY-6,AS,NBA1,DEF2"
Al Jefferson,28,UTA,C,78,78,33.1,7.8,15.8,.494,0.0,0.2,.118,7.8,15.6,.500,.495,2.1,2.8,.770,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,17.8,
Jrue Holiday,22,PHI,PG,78,78,37.5,7.1,16.5,.431,1.2,3.2,.368,5.9,13.3,.446,.466,2.3,3.1,.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,2.2,17.7,AS
Kemba Walker,22,CHA,PG,82,82,34.9,6.4,15.2,.423,1.3,4.0,.322,5.1,11.1,.459,.466,3.6,4.5,.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,1.9,17.7,
Brandon Jennings,23,MIL,PG,80,80,36.2,6.2,15.6,.399,2.2,5.8,.375,4.1,9.8,.412,.468,2.9,3.5,.819,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5,
Josh Smith,27,ATL,PF,76,76,35.3,7.2,15.6,.465,0.8,2.6,.303,6.4,12.9,.498,.491,2.2,4.2,.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,17.5,
Paul George,22,IND,SF,79,79,37.6,6.2,14.9,.419,2.2,5.9,.362,4.1,8.9,.457,.491,2.8,3.5,.807,1.1,6.5,7.6,4.1,1.8,0.6,2.9,2.9,17.4,"DPOY-8,MIP-1,AS,NBA3,DEF2"
Al Horford,26,ATL,C,74,74,37.2,7.8,14.3,.543,0.0,0.1,.500,7.7,14.2,.544,.545,1.8,2.8,.644,2.6,7.6,10.2,3.2,1.1,1.1,2.0,2.2,17.4,
Dirk Nowitzki,34,DAL,PF,53,47,31.3,6.5,13.7,.471,1.2,3.0,.414,5.2,10.8,.487,.516,3.1,3.6,.860,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,17.3,
DeMarcus Cousins,22,SAC,C,75,74,30.5,6.4,13.8,.465,0.1,0.3,.182,6.4,13.5,.471,.467,4.2,5.6,.738,3.0,7.0,9.9,2.7,1.4,0.7,3.0,3.6,17.1,
Dwight Howard,27,LAL,C,76,76,35.8,6.2,10.7,.578,0.0,0.1,.167,6.2,10.6,.581,.579,4.7,9.5,.492,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1,"DPOY-14,AS,NBA3"
David West,32,IND,PF,73,73,33.4,6.9,13.8,.498,0.1,0.3,.211,6.8,13.6,.503,.500,3.3,4.3,.768,2.0,5.7,7.7,2.9,1.0,0.9,2.2,2.0,17.1,
Eric Gordon,24,NOH,SG,42,40,30.1,5.6,13.9,.402,1.3,4.1,.324,4.3,9.8,.436,.450,4.5,5.3,.842,0.2,1.6,1.8,3.3,1.1,0.2,2.8,1.8,17.0,
Chris Paul,27,LAC,PG,70,70,33.4,5.9,12.2,.481,1.1,3.3,.328,4.8,8.9,.538,.526,4.1,4.6,.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,"MVP-4,DPOY-11,AS,NBA1,DEF1"
Ty Lawson,25,DEN,PG,73,71,34.4,6.1,13.3,.461,1.2,3.2,.366,5.0,10.1,.491,.505,3.2,4.3,.756,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7,MVP-12
Chris Bosh,28,MIA,C,74,74,33.2,6.6,12.3,.535,0.3,1.0,.284,6.3,11.3,.557,.546,3.3,4.1,.798,1.8,5.0,6.8,1.7,0.9,1.4,1.7,2.3,16.6,AS
Klay Thompson,22,GSW,SG,82,82,35.8,6.2,14.7,.422,2.6,6.4,.401,3.6,8.3,.437,.509,1.6,1.9,.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,2.9,16.6,
Arron Afflalo,27,ORL,SF,64,64,36.0,6.2,14.1,.439,1.1,3.8,.300,5.1,10.4,.489,.478,3.0,3.5,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,
Jamal Crawford,32,LAC,SG,76,0,29.3,5.9,13.4,.438,2.0,5.2,.376,3.9,8.2,.477,.511,2.8,3.3,.871,0.3,1.4,1.7,2.5,1.0,0.2,1.9,0.9,16.5,6MOY-2
Luol Deng,27,CHI,SF,75,75,38.7,6.2,14.6,.426,1.0,3.1,.322,5.2,11.5,.455,.461,3.1,3.8,.816,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,16.5,"DPOY-15,AS"
Joe Johnson,31,BRK,SG,72,72,36.7,6.2,14.6,.423,2.1,5.5,.375,4.1,9.1,.452,.493,1.8,2.2,.820,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,16.3,
Nikola Peković,27,MIN,C,62,62,31.6,6.2,12.0,.520,0.0,0.0,,6.2,12.0,.520,.520,3.9,5.2,.744,3.7,5.1,8.8,0.9,0.7,0.8,1.6,2.3,16.3,
Ryan Anderson,24,NOH,PF,81,22,30.9,5.8,13.8,.423,2.6,6.9,.382,3.2,6.9,.464,.519,1.9,2.2,.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,6MOY-5
Carlos Boozer,31,CHI,PF,79,79,32.2,6.9,14.4,.477,0.0,0.0,.000,6.9,14.4,.478,.477,2.4,3.3,.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,16.2,
Danilo Gallinari,24,DEN,SF,71,71,32.5,5.1,12.3,.418,1.9,5.1,.373,3.2,7.2,.450,.495,4.0,4.9,.822,0.9,4.3,5.2,2.5,0.9,0.5,1.6,1.8,16.2,
Greg Monroe,22,DET,C,81,81,33.2,6.3,13.1,.486,0.0,0.0,.000,6.3,13.0,.488,.486,3.3,4.8,.689,2.9,6.7,9.6,3.5,1.3,0.7,2.9,2.3,16.0,
Gerald Henderson,25,CHA,SG,68,58,31.4,5.6,12.6,.447,0.5,1.5,.330,5.1,11.1,.462,.466,3.8,4.6,.824,0.8,2.9,3.7,2.6,1.0,0.5,1.6,2.2,15.5,
Chandler Parsons,24,HOU,SF,76,76,36.3,6.0,12.4,.486,2.0,5.2,.385,4.0,7.2,.559,.567,1.5,2.0,.729,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,15.5,
Zach Randolph,31,MEM,PF,76,75,34.3,6.2,13.5,.460,0.0,0.3,.087,6.2,13.2,.469,.461,3.0,3.9,.750,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4,AS
O.J. Mayo,25,DAL,SG,82,82,35.5,5.6,12.5,.449,1.7,4.3,.407,3.9,8.3,.471,.519,2.3,2.8,.820,0.4,3.1,3.5,4.4,1.1,0.3,2.6,2.4,15.3,
Tyreke Evans,23,SAC,SG,65,61,31.0,5.6,11.8,.478,0.7,2.0,.338,4.9,9.7,.508,.508,3.2,4.2,.775,0.9,3.6,4.4,3.5,1.4,0.4,2.0,2.0,15.2,
Glen Davis,27,ORL,PF,34,33,31.3,6.3,14.1,.448,0.0,0.1,.000,6.3,14.0,.450,.448,2.5,3.4,.718,1.6,5.6,7.2,2.1,0.9,0.6,1.9,2.6,15.1,
Kevin Garnett,36,BOS,C,68,68,29.7,6.2,12.5,.496,0.0,0.2,.125,6.2,12.3,.504,.498,2.3,3.0,.786,1.1,6.7,7.8,2.3,1.1,0.9,1.6,2.3,14.8,"MVP-12,AS"
Wesley Matthews,26,POR,SG,69,69,34.8,5.1,11.7,.436,2.4,6.2,.398,2.7,5.6,.478,.540,2.2,2.7,.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8,
Thaddeus Young,24,PHI,PF,76,76,34.6,6.7,12.6,.531,0.0,0.1,.125,6.7,12.5,.535,.532,1.4,2.5,.574,2.4,5.1,7.5,1.6,1.8,0.7,1.2,2.5,14.8,
Goran Dragić,26,PHO,PG,77,77,33.5,5.2,11.8,.443,1.1,3.6,.319,4.1,8.2,.497,.491,3.2,4.2,.748,0.8,2.3,3.1,7.4,1.6,0.3,2.8,2.8,14.7,
Jameer Nelson,30,ORL,PG,56,56,35.3,5.5,13.9,.392,2.2,6.3,.341,3.3,7.6,.435,.470,1.6,1.8,.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,2.9,14.7,
Dion Waiters,21,CLE,SG,61,48,28.8,5.5,13.4,.412,1.0,3.3,.310,4.5,10.0,.446,.451,2.6,3.5,.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,14.7,ROY-5
Mike Conley,25,MEM,PG,80,80,34.5,5.2,11.8,.440,1.3,3.7,.362,3.9,8.1,.476,.497,2.9,3.5,.830,0.5,2.3,2.8,6.1,2.2,0.3,2.4,2.1,14.6,"DPOY-21,DEF2"
Paul Millsap,27,UTA,PF,78,78,30.4,5.5,11.2,.490,0.2,0.5,.333,5.3,10.7,.498,.498,3.4,4.6,.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,3.0,14.6,
Jeff Teague,24,ATL,PG,80,78,32.9,5.5,12.2,.451,1.1,3.1,.359,4.4,9.1,.482,.496,2.5,2.8,.881,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6,
Ramon Sessions,26,CHA,SG,61,0,27.1,4.5,11.1,.408,0.5,1.8,.308,4.0,9.3,.427,.433,4.8,5.7,.839,0.4,2.3,2.8,3.8,0.8,0.1,1.7,1.5,14.4,6MOY-12
Nicolas Batum,24,POR,SF,73,73,38.5,4.8,11.4,.423,2.3,6.1,.372,2.6,5.3,.481,.522,2.4,2.9,.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,
George Hill,26,IND,PG,76,76,34.5,5.1,11.5,.443,1.7,4.6,.368,3.4,6.8,.494,.518,2.3,2.8,.817,0.6,3.1,3.7,4.7,1.1,0.3,1.5,1.8,14.2,
Amar'e Stoudemire,30,NYK,PF,29,0,23.5,5.3,9.2,.577,0.0,0.0,,5.3,9.2,.577,.577,3.6,4.5,.808,2.1,2.9,5.0,0.4,0.3,0.7,1.7,3.1,14.2,
JJ Redick,28,2TM,SG,78,13,30.5,4.9,11.3,.434,2.1,5.8,.366,2.8,5.5,.506,.528,2.2,2.4,.900,0.2,2.0,2.2,3.8,0.5,0.1,1.8,1.5,14.1,6MOY-14
Marc Gasol,28,MEM,C,80,80,35.0,5.4,10.9,.494,0.0,0.2,.071,5.4,10.7,.501,.494,3.4,4.0,.848,2.3,5.5,7.8,4.0,1.0,1.7,2.0,3.2,14.1,"MVP-12,DPOY-1,NBA2,DEF2"
Gordon Hayward,22,UTA,SF,72,27,29.2,4.7,10.7,.435,1.4,3.4,.415,3.3,7.3,.444,.501,3.4,4.1,.827,0.7,2.4,3.1,3.0,0.8,0.5,1.7,1.7,14.1,6MOY-14
Anderson Varejão,30,CLE,C,25,25,36.0,5.5,11.6,.478,0.0,0.2,.000,5.5,11.4,.486,.478,3.1,4.1,.755,5.5,8.9,14.4,3.4,1.5,0.6,1.8,2.7,14.1,
Lou Williams,26,ATL,SG,39,9,28.7,4.8,11.4,.422,1.8,5.0,.367,2.9,6.3,.466,.503,2.7,3.1,.868,0.2,1.8,2.1,3.6,1.1,0.3,1.9,1.4,14.1,
Kevin Martin,29,OKC,SG,77,0,27.7,4.5,10.1,.450,2.1,4.8,.426,2.5,5.3,.472,.551,2.8,3.2,.890,0.4,1.9,2.3,1.4,0.9,0.1,1.3,1.8,14.0,6MOY-4
Bradley Beal,19,WAS,SG,56,46,31.2,5.0,12.3,.410,1.6,4.2,.386,3.4,8.1,.424,.477,2.2,2.8,.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,ROY-3
Raymond Felton,28,NYK,PG,68,68,34.0,5.5,13.0,.427,1.4,3.8,.360,4.2,9.2,.455,.480,1.5,1.9,.789,0.8,2.1,2.9,5.5,1.4,0.2,2.3,1.9,13.9,
Isaiah Thomas,23,SAC,PG,79,62,26.9,4.6,10.5,.440,1.5,4.1,.358,3.2,6.5,.491,.509,3.2,3.6,.882,0.4,1.7,2.0,4.0,0.8,0.0,1.8,2.1,13.9,
