Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Kobe Bryant,27,LAL,SG,80,80,41.0,12.2,27.2,.450,2.3,6.5,.347,10.0,20.7,.482,.491,8.7,10.2,.850,0.9,4.4,5.3,4.5,1.8,0.4,3.1,2.9,35.4,"MVP-4,AS,NBA1,DEF1"
Allen Iverson,30,PHI,PG,72,72,43.1,11.3,25.3,.447,1.0,3.1,.323,10.3,22.2,.465,.467,9.4,11.5,.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0,"MVP-10,AS,NBA3"
LeBron James,21,CLE,SF,79,79,42.5,11.1,23.1,.480,1.6,4.8,.335,9.5,18.3,.518,.515,7.6,10.3,.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,"MVP-2,AS,NBA1"
Gilbert Arenas,24,WAS,PG,80,80,42.3,9.3,20.9,.447,2.5,6.8,.369,6.8,14.1,.485,.507,8.2,10.0,.820,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,"AS,NBA3"
Dwyane Wade,24,MIA,SG,75,75,38.6,9.3,18.8,.495,0.2,1.0,.171,9.1,17.8,.513,.499,8.4,10.7,.783,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,"MVP-6,AS,NBA2"
Paul Pierce,28,BOS,SF,79,79,39.0,8.7,18.5,.471,1.4,4.0,.354,7.3,14.5,.503,.509,7.9,10.3,.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,AS
Dirk Nowitzki,27,DAL,PF,81,81,38.1,9.3,19.3,.480,1.4,3.3,.406,7.9,16.0,.496,.515,6.7,7.4,.901,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,"MVP-3,AS,NBA1"
Carmelo Anthony,21,DEN,SF,80,80,36.8,9.5,19.7,.481,0.5,1.9,.243,9.0,17.8,.506,.493,7.2,8.9,.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5,NBA3
Michael Redd,26,MIL,SG,80,80,39.1,8.5,19.0,.450,2.0,5.2,.395,6.5,13.8,.471,.504,6.3,7.1,.877,1.0,3.3,4.3,2.9,1.2,0.1,2.1,2.0,25.4,
Ray Allen,30,SEA,SG,78,78,38.7,8.7,19.2,.454,3.4,8.4,.412,5.3,10.9,.486,.544,4.2,4.6,.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,AS
Elton Brand,26,LAC,PF,79,79,39.2,9.6,18.2,.527,0.0,0.0,.333,9.6,18.1,.527,.527,5.6,7.2,.775,3.0,7.0,10.0,2.6,1.0,2.5,2.2,2.9,24.7,"MVP-7,DPOY-10,AS,NBA2"
Tracy McGrady,26,HOU,SF,47,47,37.1,8.7,21.5,.406,1.6,5.0,.312,7.2,16.5,.434,.442,5.4,7.2,.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,AS
Vince Carter,29,NJN,SG,79,79,36.8,8.3,19.2,.430,1.6,4.6,.341,6.7,14.6,.459,.471,6.1,7.6,.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2,AS
Jason Richardson,25,GSW,SG,75,75,38.4,8.5,19.2,.446,2.4,6.4,.384,6.1,12.8,.477,.509,3.7,5.5,.673,1.4,4.4,5.8,3.1,1.3,0.5,2.2,2.7,23.2,
Chris Bosh,21,TOR,C,70,70,39.3,7.8,15.5,.505,0.0,0.2,.000,7.8,15.3,.511,.505,6.8,8.3,.816,2.9,6.3,9.2,2.6,0.7,1.1,2.2,3.0,22.5,AS
Yao Ming,25,HOU,C,57,57,34.2,8.2,15.8,.519,0.0,0.0,.000,8.2,15.8,.519,.519,5.9,6.9,.853,2.6,7.6,10.2,1.5,0.5,1.6,2.6,3.4,22.3,"AS,NBA3"
Kevin Garnett,29,MIN,PF,76,76,38.9,8.2,15.7,.526,0.1,0.4,.267,8.1,15.3,.532,.529,5.2,6.4,.810,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,"DPOY-13,AS,DEF2"
Shawn Marion,27,PHO,PF,81,81,40.3,8.8,16.9,.525,1.2,3.6,.331,7.7,13.3,.577,.560,3.0,3.7,.809,3.1,8.8,11.8,1.8,2.0,1.7,1.5,2.8,21.8,"MVP-10,DPOY-7,AS,NBA3"
Mike Bibby,27,SAC,PG,82,82,38.6,7.3,16.9,.432,2.3,6.1,.386,4.9,10.8,.458,.501,4.2,4.9,.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1,21.1,
Antawn Jamison,29,WAS,SF,82,80,40.1,8.0,18.2,.442,1.8,4.5,.394,6.3,13.7,.458,.491,2.6,3.6,.731,2.0,7.3,9.3,1.9,1.1,0.1,1.7,2.3,20.5,
Pau Gasol,25,MEM,PF,80,80,39.2,7.5,14.9,.503,0.0,0.2,.250,7.5,14.8,.505,.504,5.3,7.7,.689,2.4,6.5,8.9,4.6,0.6,1.9,2.9,2.3,20.4,AS
Mike James,30,TOR,PG,79,79,37.0,7.3,15.5,.469,2.1,4.8,.442,5.2,10.7,.481,.538,3.6,4.3,.837,0.6,2.7,3.3,5.8,0.9,0.0,2.6,2.7,20.3,
Joe Johnson,24,ATL,SG,82,82,40.7,7.7,17.0,.453,1.6,4.4,.356,6.1,12.6,.487,.499,3.2,4.0,.791,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,
