Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,23,PHW,C,72,46.4,14.8,32.1,.461,8.0,13.8,.582,27.0,2.3,2.1,37.6,"MVP-1,ROY-1,AS,NBA1"
Jack Twyman,25,CIN,SF,75,40.3,11.6,27.5,.422,8.0,10.2,.785,8.9,3.5,3.7,31.2,"MVP-6,AS,NBA2"
Elgin Baylor,25,MNL,SF,70,41.0,10.8,25.4,.424,8.1,11.0,.732,16.4,3.5,3.3,29.6,"MVP-5,AS,NBA1"
Bob Pettit,27,STL,PF,72,40.2,9.3,21.2,.438,7.6,10.0,.753,17.0,3.6,2.8,26.1,"MVP-3,AS,NBA1"
Cliff Hagan,28,STL,SF,75,37.3,9.6,20.7,.464,5.6,7.0,.803,10.7,4.0,3.6,24.8,"MVP-14,AS"
Gene Shue,28,DET,PG,75,44.5,8.3,20.0,.413,6.3,7.2,.872,5.5,3.9,1.9,22.8,"MVP-7,AS,NBA1"
Dolph Schayes,31,SYR,PF,75,36.5,7.7,19.2,.401,7.1,8.0,.893,12.8,3.4,3.5,22.5,"MVP-8,AS,NBA2"
Paul Arizin,31,PHW,SF,72,36.4,8.2,19.4,.424,5.8,7.3,.798,8.6,2.3,3.7,22.3,AS
Richie Guerin,27,NYK,SG,74,32.8,7.8,18.6,.420,6.2,8.0,.773,6.8,6.3,3.3,21.8,"MVP-12,AS,NBA2"
Tom Heinsohn,25,BOS,PF,75,32.3,9.0,21.2,.423,3.8,5.1,.733,10.6,2.3,3.7,21.7,MVP-10
Willie Naulls,25,NYK,SF,65,34.6,8.5,19.8,.428,4.4,5.3,.836,14.2,2.1,3.3,21.4,"MVP-12,AS"
Clyde Lovellette,30,STL,C,68,28.7,8.1,17.3,.468,4.6,5.7,.821,10.6,1.9,3.6,20.8,AS
George Yardley,31,SYR,SF,73,32.9,7.5,16.5,.453,5.2,6.4,.816,7.9,1.7,3.1,20.2,AS
Bob Cousy,31,BOS,PG,75,34.5,7.6,19.7,.384,4.3,5.4,.792,4.7,9.5,1.9,19.4,"MVP-4,AS,NBA1"
Bill Sharman,33,BOS,SG,71,27.0,7.9,17.3,.456,3.5,4.1,.866,3.7,2.0,2.2,19.3,"AS,NBA2"
Kenny Sears,26,NYK,PF,64,32.8,6.4,13.5,.477,5.7,6.5,.868,13.7,2.0,3.0,18.5,
Bill Russell,25,BOS,C,74,42.5,7.5,16.1,.467,3.2,5.3,.612,24.0,3.7,2.8,18.2,"MVP-2,AS,NBA2"
Bailey Howell,23,DET,PF,75,31.3,6.8,14.9,.456,4.2,5.6,.739,10.5,0.8,3.8,17.8,
Frank Ramsey,28,BOS,SG,73,27.5,5.8,14.5,.397,3.7,4.8,.787,6.9,1.9,3.4,15.3,
Walter Dukes,29,DET,C,66,32.4,4.8,13.2,.361,5.7,7.7,.740,13.4,1.2,4.7,15.2,"MVP-11,AS"
Tom Gola,27,PHW,SG,75,38.3,5.7,13.1,.433,3.6,4.5,.794,10.4,5.5,4.1,15.0,"MVP-8,AS"
Red Kerr,27,SYR,C,75,31.6,5.8,14.8,.392,3.1,4.1,.752,12.2,2.2,2.8,14.7,
Larry Costello,28,SYR,PG,71,34.8,5.2,11.6,.453,3.5,4.1,.862,5.5,6.3,3.3,14.0,AS
Rudy LaRusso,22,MNL,PF,71,29.5,5.0,12.9,.389,3.7,5.0,.742,9.6,1.2,3.1,13.7,
Phil Jordon,26,CIN,C,75,27.5,5.1,12.9,.393,3.2,4.5,.716,8.3,2.8,3.0,13.4,
Hal Greer,23,SYR,SG,70,28.3,5.5,11.6,.476,2.1,2.7,.783,4.3,2.7,3.0,13.2,
Carl Braun,32,NYK,PG,54,28.0,5.3,12.2,.432,2.4,2.9,.838,3.1,5.0,2.4,12.9,
Hot Rod Hundley,25,MNL,PG,73,31.2,5.0,14.0,.358,2.8,3.7,.744,5.3,4.6,2.7,12.8,AS
Charlie Tyra,24,NYK,C,74,27.5,5.5,12.9,.426,1.8,2.6,.704,8.1,1.1,3.5,12.8,
Dick Barnett,23,SYR,SG,57,21.7,5.1,12.3,.412,2.2,3.2,.711,2.7,2.8,1.7,12.4,
Larry Foust,31,2TM,C,72,27.3,4.3,10.6,.407,3.5,4.4,.791,8.6,1.3,3.3,12.2,
Dick Garmaker,27,2TM,,70,27.6,4.6,11.6,.396,2.9,3.8,.772,4.5,2.9,2.7,12.1,AS
