Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Sam Jones,26,BOS,SG,74,20.4,4.8,10.6,.454,2.3,3.0,.764,5.1,1.7,1.4,11.9,
Guy Rodgers,24,PHW,PG,68,36.5,5.0,12.8,.389,1.6,2.7,.613,5.8,7.1,2.9,11.6,
Chuck Noble,28,DET,SG,58,27.9,4.8,13.3,.357,1.7,2.4,.732,3.5,4.6,3.0,11.3,AS
Ed Conlin,26,DET,SG,70,23.4,4.3,11.9,.361,2.6,3.4,.761,4.9,1.8,2.3,11.2,
Wayne Embry,22,CIN,C,73,21.8,4.2,9.5,.439,2.3,4.5,.514,9.5,1.1,3.1,10.6,
Bucky Bockhorn,26,CIN,SG,75,28.0,4.3,10.8,.398,1.9,2.6,.747,5.1,3.4,3.3,10.5,
Win Wilfong,26,CIN,PG,72,27.7,3.9,10.6,.370,2.2,2.9,.778,4.9,3.7,3.2,10.1,
Maurice King,24,BOS,PG,1,19.0,5.0,8.0,.625,0.0,1.0,.000,4.0,2.0,3.0,10.0,
Woody Sauldsberry,25,PHW,PF,71,26.0,4.6,13.7,.334,0.8,1.5,.534,6.3,1.6,2.9,9.9,
Archie Dees,23,DET,PF,73,17.0,3.7,8.5,.439,2.3,2.8,.809,5.4,0.6,2.6,9.7,
Hub Reed,23,2TM,C,71,25.6,3.8,8.5,.449,1.9,2.6,.728,8.6,1.0,3.2,9.5,
Jack George,31,NYK,PG,69,23.2,3.6,9.4,.385,2.2,2.9,.767,2.9,3.5,2.1,9.5,
Dave Piontek,25,2TM,SF,77,23.8,3.8,9.5,.401,1.7,2.6,.639,6.0,1.5,2.7,9.3,
Frank Selvy,27,2TM,SG,62,21.1,3.3,8.4,.393,2.5,3.4,.736,2.8,1.8,1.6,9.1,
Earl Lloyd,31,DET,SF,68,23.7,3.5,9.8,.356,1.9,2.4,.800,4.7,1.3,3.3,8.9,
Shellie McMillon,23,DET,SF,75,18.9,3.6,8.4,.426,1.8,2.7,.663,5.7,0.7,2.6,8.9,
Cal Ramsey,22,2TM,SF,11,17.7,3.5,8.7,.406,1.7,3.0,.576,6.0,0.8,2.3,8.8,
Bob Hopkins,25,SYR,PF,75,21.5,3.4,8.8,.389,1.8,2.3,.782,6.2,0.7,2.6,8.7,
Med Park,26,CIN,SG,74,25.0,3.1,7.9,.388,2.6,3.5,.727,4.1,2.9,2.4,8.7,
Al Ferrari,26,STL,SG,71,22.1,3.0,7.4,.413,2.5,3.2,.782,2.3,2.6,2.9,8.6,
Johnny McCarthy,25,STL,SG,75,31.8,3.2,9.7,.329,2.0,3.0,.659,4.0,4.4,3.1,8.4,
Jim Palmer,26,2TM,C,74,20.0,3.3,7.8,.429,1.6,2.4,.684,5.3,0.9,3.0,8.3,
Andy Johnson,27,PHW,SF,75,18.9,3.3,8.6,.378,1.7,2.8,.601,3.8,2.0,2.6,8.2,
Slick Leonard,27,MNL,PG,73,28.4,3.2,9.8,.322,1.9,2.6,.705,3.4,3.5,2.3,8.2,
Tom Hawkins,23,MNL,SF,69,21.3,3.2,8.4,.380,1.5,2.4,.646,6.2,0.8,2.7,7.9,
Al Bianchi,27,SYR,PG,69,18.2,3.1,8.3,.366,1.6,2.2,.703,2.6,2.4,3.3,7.7,
Joe Graboski,30,PHW,PF,73,17.4,3.0,8.0,.372,1.8,2.4,.753,4.9,1.5,2.0,7.7,
Jim Krebs,24,MNL,C,75,16.9,3.2,8.1,.392,1.3,1.8,.721,4.4,0.5,2.8,7.6,
Mike Farmer,23,NYK,SF,67,22.9,3.2,8.5,.373,1.0,1.2,.843,5.7,0.9,1.9,7.4,
Ray Felix,29,2TM,C,47,18.8,2.9,7.6,.383,1.5,2.4,.625,7.2,0.7,3.8,7.3,
Dick McGuire,34,DET,PG,68,21.6,2.6,5.9,.445,1.8,3.0,.617,3.9,5.3,1.6,7.1,
Johnny Green,26,NYK,PF,69,17.9,3.0,6.8,.447,0.9,2.2,.406,7.8,0.8,2.8,7.0,
Connie Dierking,23,SYR,C,71,15.8,2.7,7.4,.365,1.5,2.6,.574,6.4,0.8,2.4,6.9,
Gene Conley,29,BOS,PF,71,18.7,2.8,7.6,.373,1.1,1.6,.667,8.3,0.5,3.8,6.7,
Ron Sobie,25,2TM,PG,16,14.6,2.3,6.8,.343,1.9,2.3,.838,3.0,1.3,2.0,6.6,
Ed Fleming,26,MNL,SG,27,15.3,2.2,5.2,.418,2.0,2.6,.768,3.2,1.4,1.7,6.3,
K.C. Jones,27,BOS,PG,74,17.2,2.3,5.6,.408,1.7,2.3,.753,2.7,2.6,1.5,6.3,
Slater Martin,34,STL,PG,64,27.4,2.2,6.0,.371,1.8,2.4,.729,2.9,5.2,2.7,6.2,
Si Green,26,STL,PG,70,19.3,2.3,6.1,.372,1.6,2.5,.634,3.7,1.9,2.1,6.1,
Bob Ferry,22,STL,C,62,14.1,2.3,5.5,.426,1.2,1.9,.639,3.8,0.6,2.1,5.9,
Jim Loscutoff,29,BOS,SF,28,19.1,2.4,7.3,.322,0.8,1.3,.611,3.9,0.4,3.9,5.5,
Phil Rollins,26,CIN,PG,72,17.2,2.2,5.4,.409,1.1,1.8,.606,2.5,3.2,2.1,5.5,
Whitey Bell,27,NYK,PG,31,14.5,2.3,6.0,.378,0.9,1.4,.651,2.8,1.8,1.9,5.4,
Steve Hamilton,25,MNL,SF,15,16.5,1.9,5.1,.377,1.2,1.5,.783,3.9,0.5,2.6,5.1,
Billy Kenville,29,DET,SG,25,14.6,1.9,5.2,.359,1.3,1.6,.805,2.8,1.8,1.2,5.1,
Dave Gambee,22,2TM,SF,61,10.8,1.9,4.8,.402,1.1,1.7,.651,3.8,0.6,1.4,5.0,
Joe Ruklick,21,PHW,PF,39,9.8,2.2,5.5,.397,0.7,0.9,.722,3.5,0.6,1.8,5.0,
Barney Cable,24,2TM,,57,12.5,1.9,5.1,.376,0.8,1.2,.657,3.9,0.7,1.6,4.6,
Vern Hatton,24,PHW,SG,67,15.7,1.9,5.3,.357,0.8,1.3,.609,2.4,1.2,0.9,4.6,
Togo Palazzi,27,SYR,SF,7,10.0,1.9,5.9,.317,0.6,1.1,.500,2.0,0.4,1.0,4.3,
John Richter,22,BOS,C,66,12.2,1.7,5.0,.340,0.9,1.8,.504,4.7,0.4,2.4,4.3,
Chuck Share,32,2TM,C,41,15.9,1.4,3.7,.391,1.3,2.0,.663,5.4,1.5,3.5,4.2,
Gary Alcorn,23,DET,C,58,11.6,1.6,5.4,.292,0.8,1.4,.571,4.8,0.4,2.1,4.0,
Bob Anderegg,22,NYK,SF,33,11.3,1.7,4.3,.385,0.7,1.3,.548,2.1,0.9,1.0,4.0,
Tony Windis,27,DET,PG,9,21.4,1.8,6.7,.267,0.4,0.7,.667,5.2,3.6,2.2,4.0,
Ernie Beck,28,PHW,SG,66,12.3,1.7,4.5,.388,0.4,0.5,.844,1.9,1.1,1.4,3.9,
Boo Ellis,23,MNL,PF,46,14.6,1.4,4.0,.346,1.1,1.7,.671,5.1,0.6,1.4,3.9,
Larry Staverman,23,CIN,PF,49,9.8,1.4,3.0,.470,1.0,1.3,.734,3.7,0.7,2.0,3.8,
Bobby Smith,22,MNL,,10,13.0,1.3,5.4,.241,1.1,1.6,.688,3.3,1.4,1.0,3.7,
Jack McMahon,31,STL,PG,25,13.4,1.3,3.7,.355,0.6,1.2,.552,1.0,2.0,1.7,3.3,
Gene Guarilia,22,BOS,SF,48,8.8,1.2,3.2,.377,0.6,0.9,.707,1.8,0.4,1.2,3.0,
Guy Sparrow,27,PHW,,11,7.3,1.3,4.1,.311,0.2,0.7,.250,2.1,0.5,1.8,2.7,
Nick Mantis,24,MNL,SG,10,7.1,1.0,3.9,.256,0.1,0.2,.500,0.6,0.9,0.8,2.1,
Wayne Stevens,23,CIN,,8,6.1,0.4,2.4,.158,0.9,1.3,.700,2.0,0.5,0.5,1.6,
Brendan McCann,24,NYK,PG,4,7.3,0.3,2.5,.100,0.8,0.8,1.000,1.0,2.5,0.5,1.3,
Jim Ray,26,SYR,,4,5.3,0.3,1.5,.167,0.0,0.0,,0.0,0.5,0.8,0.5,
Paul Seymour,32,SYR,,4,1.8,0.0,1.0,.000,0.0,0.0,,0.3,0.0,0.3,0.0,
