Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Paul Arizin,28,PHW,SF,71,39.0,8.6,20.4,.422,8.3,10.0,.829,7.9,2.1,3.9,25.6,"MVP-3,AS,NBA1"
Bob Pettit,24,STL,C,71,35.1,8.6,20.8,.415,7.5,9.6,.773,14.6,1.9,2.5,24.7,"MVP-2,AS,NBA1"
Neil Johnston,27,PHW,C,69,36.7,7.5,16.9,.447,7.8,9.4,.826,12.4,2.9,3.3,22.8,"AS,NBA2"
Dolph Schayes,28,SYR,PF,72,39.6,6.9,18.2,.379,8.7,9.6,.904,14.0,3.2,3.0,22.5,"MVP-4,AS,NBA1"
George Yardley,28,FTW,SF,72,37.4,7.3,17.7,.410,7.0,8.9,.787,10.5,2.0,3.2,21.5,"MVP-5,AS,NBA2"
Bill Sharman,30,BOS,SG,67,35.9,7.7,18.5,.416,5.7,6.3,.905,4.3,3.5,2.8,21.1,"AS,NBA1"
Clyde Lovellette,27,MNL,C,69,36.1,8.3,19.5,.426,4.1,5.8,.717,13.5,2.0,3.6,20.8,AS
Bob Cousy,28,BOS,PG,64,36.9,7.5,19.8,.378,5.7,6.9,.821,4.8,7.5,2.1,20.6,"MVP-1,AS,NBA1"
Ed Macauley,28,STL,PF,72,35.9,5.8,13.7,.419,5.0,6.7,.749,6.1,2.8,2.9,16.5,AS
Dick Garmaker,24,MNL,SG,72,33.4,5.6,14.1,.400,5.1,6.0,.839,4.7,2.6,2.8,16.3,"AS,NBA2"
Jack Twyman,22,ROC,SG,72,32.5,6.2,14.2,.439,3.8,5.0,.760,4.9,1.7,3.5,16.3,"MVP-8,AS"
Tom Heinsohn,22,BOS,PF,72,29.9,6.2,15.6,.397,3.8,4.8,.790,9.8,1.6,4.2,16.2,"ROY-1,AS"
Maurice Stokes,23,ROC,PF,72,38.3,6.0,17.3,.347,3.6,5.3,.665,17.4,4.6,4.0,15.6,"MVP-6,AS,NBA2"
Harry Gallatin,29,NYK,PF,72,27.0,4.6,11.3,.406,5.8,7.2,.800,10.1,1.2,2.8,15.0,"MVP-8,AS"
Kenny Sears,23,NYK,SF,72,34.9,4.8,11.4,.418,5.3,6.7,.790,8.5,1.4,3.1,14.8,MVP-8
Bill Russell,22,BOS,C,48,35.3,5.8,13.5,.427,3.2,6.4,.492,19.6,1.8,3.0,14.7,MVP-7
Joe Graboski,27,PHW,PF,72,34.7,5.4,15.5,.349,3.5,4.5,.783,8.5,1.9,3.4,14.3,
Carl Braun,29,NYK,PG,72,32.6,5.3,13.8,.381,3.4,4.2,.809,3.6,3.6,2.7,13.9,AS
Vern Mikkelsen,28,MNL,PF,72,30.5,4.5,11.9,.377,4.8,5.9,.807,8.8,1.7,4.3,13.7,AS
Ed Conlin,23,SYR,SG,71,31.7,4.7,12.6,.374,4.0,5.2,.769,6.1,2.9,2.4,13.4,
Larry Foust,28,FTW,C,61,25.1,4.0,10.1,.394,4.5,6.2,.718,9.1,1.2,3.6,12.4,
Mel Hutchins,28,FTW,PF,72,36.8,5.1,13.2,.387,2.1,2.9,.738,7.9,2.9,2.5,12.4,"MVP-8,AS"
Red Kerr,24,SYR,C,72,30.4,4.6,11.5,.403,3.1,4.3,.719,11.2,1.3,2.6,12.4,
Ray Felix,26,NYK,C,72,22.5,4.1,9.8,.416,3.8,5.2,.747,8.2,0.5,3.9,12.0,MVP-8
Frank Ramsey,25,BOS,SG,35,23.1,3.9,10.0,.393,4.1,5.2,.791,5.1,1.9,3.2,11.9,
Si Green,23,ROC,SG,13,32.5,3.8,11.0,.350,3.8,5.3,.710,5.2,3.6,2.8,11.5,
Bob Houbregs,24,FTW,C,60,26.5,4.2,9.8,.432,2.8,3.9,.714,6.7,1.9,2.0,11.2,
Dick Ricketts,23,ROC,C,72,29.4,4.2,12.1,.344,2.9,4.1,.694,6.1,1.8,4.3,11.2,
Slick Leonard,24,MNL,PG,72,27.0,4.2,12.0,.349,2.6,3.3,.772,3.1,2.3,1.9,11.0,
Slater Martin,31,2TM,PG,66,36.4,3.7,11.2,.332,3.5,4.4,.790,4.4,4.1,2.9,10.9,"AS,NBA2"
Gene Shue,25,FTW,PG,72,34.3,3.8,9.9,.385,3.3,4.4,.763,5.8,3.3,1.9,10.9,
Nat Clifton,34,NYK,PF,71,31.4,4.3,11.5,.377,2.1,3.1,.673,7.8,2.3,3.4,10.7,AS
Jim Loscutoff,26,BOS,SF,70,31.7,4.4,12.7,.345,1.9,2.7,.706,10.4,1.3,3.5,10.6,
Jack Coleman,32,STL,PF,72,29.8,4.4,10.8,.408,1.7,2.2,.764,9.0,2.2,3.3,10.5,
Jack George,28,PHW,SG,67,33.3,3.8,11.2,.337,3.0,4.4,.683,4.7,4.6,2.5,10.5,AS
