Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Chuck Share,29,STL,C,72,23.2,3.3,7.4,.439,3.7,5.5,.684,8.9,1.1,3.7,10.3,
Willie Naulls,22,2TM,,71,25.0,4.1,11.5,.357,1.9,2.7,.677,8.7,1.2,2.6,10.1,
Walter Dukes,26,MNL,C,71,26.3,3.2,8.8,.364,3.7,5.4,.689,11.2,0.8,3.8,10.1,
Richie Regan,26,ROC,PG,71,29.6,3.6,11.0,.329,2.6,3.3,.774,2.9,3.1,2.5,9.8,AS
Richie Guerin,24,NYK,SG,72,24.9,3.6,9.7,.368,2.5,4.1,.620,4.6,2.5,2.6,9.7,
Chuck Mencel,23,MNL,PG,72,25.7,3.4,9.6,.353,2.5,3.3,.746,3.3,2.8,1.3,9.2,
Earl Lloyd,28,SYR,SF,72,27.3,3.6,9.5,.373,1.9,2.5,.749,6.0,1.6,3.9,9.0,
Dave Piontek,22,ROC,SF,71,24.8,3.6,9.0,.403,1.7,2.6,.667,4.9,1.5,2.0,9.0,
Togo Palazzi,24,2TM,SF,63,16.1,3.3,9.1,.368,2.2,2.8,.777,4.2,0.8,1.9,8.8,
Bob Harrison,29,2TM,,66,27.4,3.7,9.5,.386,1.4,2.0,.715,2.4,2.4,3.3,8.8,
Chuck Noble,25,FTW,SG,54,23.3,3.7,10.3,.360,1.4,1.9,.745,2.5,3.3,3.0,8.8,
Whitey Skoog,30,MNL,SG,23,28.5,3.4,9.6,.355,1.9,2.0,.936,3.1,3.3,2.8,8.7,
Jack McMahon,28,STL,SG,72,32.6,3.3,10.1,.330,2.0,3.1,.631,3.1,5.1,3.0,8.6,
Ed Kalafat,24,MNL,SF,65,24.9,2.7,7.8,.351,3.0,4.6,.661,6.5,1.6,3.7,8.5,
Al Bianchi,24,SYR,PG,68,23.2,2.9,8.3,.351,2.4,3.5,.690,3.3,1.6,2.9,8.3,
Billy Kenville,26,FTW,SG,71,24.0,2.9,8.6,.336,2.5,3.1,.798,4.6,2.4,2.4,8.2,
Jack Nichols,30,BOS,PF,61,22.5,3.2,8.8,.363,1.8,2.2,.794,6.1,1.4,3.0,8.2,
Arnie Risen,32,BOS,C,43,21.7,2.8,7.1,.388,2.5,3.6,.679,6.7,1.2,3.8,8.0,
Larry Costello,25,PHW,PG,72,29.3,2.6,6.9,.374,2.4,3.1,.788,4.5,3.3,2.5,7.6,
Art Spoelstra,24,ROC,C,69,17.0,3.1,8.1,.388,1.3,1.7,.733,3.2,0.8,2.4,7.6,
Joe Holup,22,SYR,SF,71,18.1,2.3,6.9,.329,2.9,3.6,.806,3.9,1.2,2.5,7.4,
Ernie Beck,25,PHW,SG,72,24.2,2.7,7.1,.384,1.5,2.2,.707,4.3,2.6,2.2,7.0,
Ed Fleming,23,ROC,SG,51,18.2,2.1,7.1,.299,2.7,3.7,.728,3.6,1.6,1.8,7.0,
Ron Sobie,22,NYK,SG,71,19.4,2.3,6.2,.376,2.1,2.8,.764,4.6,1.8,2.2,6.8,
Corky Devlin,25,FTW,SG,71,17.5,2.7,7.1,.378,1.4,2.0,.678,2.1,2.0,1.6,6.7,
Walt Davis,26,PHW,PF,65,19.2,2.7,6.7,.407,1.1,1.6,.698,4.7,0.8,3.6,6.6,
Johnny McCarthy,22,ROC,PG,72,21.7,2.4,6.4,.376,1.8,2.7,.674,2.8,1.5,1.8,6.6,
Larry Hennessy,27,2TM,SG,21,17.8,2.7,8.3,.320,1.1,1.5,.719,2.1,1.3,1.3,6.4,
Jim Paxson,24,MNL,SF,71,17.9,1.9,6.8,.285,2.4,3.3,.720,3.7,1.2,2.3,6.3,
Bob Burrow,22,ROC,C,67,15.3,2.0,5.5,.374,1.9,3.1,.616,4.4,0.6,2.5,6.0,
Paul Seymour,29,SYR,PG,65,19.0,2.2,6.8,.324,1.6,1.9,.821,2.0,3.0,1.4,6.0,
Bob Hopkins,22,SYR,C,62,12.3,2.1,5.5,.379,1.5,2.0,.746,3.8,0.4,1.7,5.7,
Cliff Hagan,25,STL,SF,67,14.5,2.0,5.5,.361,1.5,2.2,.690,3.7,1.3,2.5,5.5,
Dick Schnittker,28,MNL,SF,70,14.2,1.6,5.0,.322,2.3,2.8,.829,2.6,0.7,2.1,5.5,
Dick Hemric,23,BOS,PF,67,15.7,1.6,4.7,.344,2.2,3.1,.695,4.5,0.6,1.5,5.4,
Dick McGuire,31,NYK,PG,72,16.5,1.9,5.1,.383,1.5,2.3,.644,2.0,3.1,1.4,5.3,
Red Rocha,33,FTW,C,72,16.0,1.9,5.4,.349,1.5,2.0,.757,3.8,1.1,2.3,5.3,
Med Park,23,STL,SG,66,17.1,1.8,4.9,.364,1.6,2.2,.740,3.0,1.4,2.1,5.2,
Irv Bemoras,26,STL,SF,62,15.9,2.0,6.2,.322,1.1,1.7,.680,2.0,0.7,1.2,5.1,
Phil Jordon,23,NYK,,9,10.1,2.0,5.4,.367,0.9,1.3,.667,3.8,0.2,1.7,4.9,
Jim Baechtold,29,NYK,SF,45,10.3,1.7,4.4,.381,1.5,2.0,.750,1.8,0.7,0.9,4.8,
George Dempsey,27,PHW,PG,71,16.2,1.9,4.3,.444,0.8,1.4,.539,3.5,1.9,1.5,4.5,
Bob Schafer,23,SYR,SG,11,15.2,1.7,6.0,.288,1.0,1.2,.846,1.0,1.4,1.5,4.5,
Andy Phillip,34,BOS,PG,67,22.0,1.6,4.1,.379,1.3,2.0,.642,2.7,2.5,1.8,4.4,
Lou Tsioropoulos,26,BOS,SF,52,12.9,1.5,4.9,.309,1.3,1.7,.775,4.0,0.6,2.6,4.4,
Lew Hitch,27,2TM,PF,68,16.7,1.6,4.4,.375,0.9,1.3,.716,3.7,0.6,1.5,4.2,
Bill Thieben,21,FTW,PF,58,10.9,1.6,4.4,.352,1.0,1.5,.655,3.6,0.3,1.3,4.1,
Tom Marshall,26,ROC,SF,40,11.5,1.4,4.1,.344,1.2,1.5,.810,2.1,0.8,0.8,4.0,
Odie Spears,32,2TM,SF,11,10.7,1.1,3.5,.316,1.7,2.0,.864,1.4,0.6,2.2,3.9,
Bobby Wanzer,35,ROC,SG,21,7.6,1.1,2.3,.469,1.7,2.2,.783,1.2,0.4,1.0,3.9,
Jim Tucker,24,SYR,PF,9,13.2,1.9,4.9,.386,0.0,0.1,.000,2.2,0.2,2.9,3.8,
Don Savage,28,SYR,,5,11.0,1.2,3.8,.316,1.2,1.4,.857,1.4,0.4,1.4,3.6,
Alex Hannum,33,2TM,PF,59,10.9,1.3,3.8,.345,0.6,0.9,.661,2.7,0.5,2.3,3.2,
Dick Rosenthal,27,FTW,SF,18,10.4,1.2,4.4,.266,0.5,0.9,.529,2.9,0.9,1.2,2.8,
Jackie Moore,24,PHW,SF,57,7.0,0.8,1.9,.406,0.6,0.8,.804,2.0,0.4,1.3,2.2,
Norm Stewart,22,STL,,5,7.4,0.8,3.0,.267,0.4,1.2,.333,1.0,0.4,1.8,2.0,
Jim Ray,23,SYR,,4,10.8,0.5,2.8,.182,0.8,1.3,.600,1.3,0.8,1.0,1.8,
Bob Armstrong,23,PHW,,19,5.8,0.6,1.9,.297,0.3,0.6,.500,2.1,0.2,0.7,1.5,
John Barber,29,STL,,5,3.8,0.4,1.6,.250,0.6,1.2,.500,1.2,0.0,0.8,1.4,
Ron Shavlik,23,NYK,,7,10.3,0.6,3.1,.182,0.3,0.7,.400,3.1,0.0,1.7,1.4,
Gary Bergen,24,NYK,,6,6.7,0.5,1.8,.273,0.3,0.3,1.000,1.3,0.2,0.7,1.3,
Hal Lear,22,PHW,,3,4.7,0.7,2.0,.333,0.0,0.0,,0.3,0.3,1.0,1.3,
Bob Williams,25,MNL,,4,5.0,0.3,1.0,.250,0.5,0.8,.667,1.3,0.0,0.5,1.0,
Forest Able,24,SYR,,1,1.0,0.0,2.0,.000,0.0,0.0,,1.0,1.0,1.0,0.0,
