Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,25,PHW,C,80,48.5,20.0,39.5,.506,10.4,17.0,.613,25.7,2.4,1.5,50.4,"MVP-2,AS,NBA1"
Elgin Baylor,27,LAL,SF,48,44.4,14.2,33.1,.428,9.9,13.1,.754,18.6,4.6,3.2,38.3,"MVP-4,AS,NBA1"
Walt Bellamy,22,CHP,C,79,42.3,12.3,23.7,.519,6.9,10.8,.644,19.0,2.7,3.6,31.6,"ROY-1,AS"
Bob Pettit,29,STL,PF,78,42.1,11.1,24.7,.450,8.9,11.6,.771,18.7,3.7,3.8,31.1,"MVP-6,AS,NBA1"
Oscar Robertson,23,CIN,PG,79,44.3,11.0,22.9,.478,8.9,11.0,.803,12.5,11.4,3.3,30.8,"MVP-3,AS,NBA1"
Jerry West,23,LAL,PG,75,41.2,10.7,23.9,.445,9.5,12.3,.769,7.9,5.4,2.3,30.8,"MVP-5,AS,NBA1"
Richie Guerin,29,NYK,SG,78,42.9,10.8,24.3,.442,8.0,9.8,.820,6.4,6.9,3.8,29.5,"MVP-7,AS,NBA2"
Willie Naulls,27,NYK,SF,75,39.7,10.0,24.0,.415,5.1,6.1,.842,11.6,2.6,3.5,25.0,AS
Cliff Hagan,30,STL,SF,77,36.2,9.1,19.4,.470,4.7,5.7,.825,8.2,4.8,3.7,22.9,AS
Jack Twyman,27,CIN,SF,80,37.4,9.2,19.3,.479,4.4,5.4,.811,8.0,2.7,4.0,22.9,"AS,NBA2"
Hal Greer,25,SYR,SG,71,38.1,9.1,20.3,.447,4.7,5.7,.819,7.4,4.4,3.5,22.8,AS
Tom Heinsohn,27,BOS,PF,79,30.2,8.8,20.4,.429,4.5,5.5,.819,9.5,2.1,3.5,22.1,"AS,NBA2"
Paul Arizin,33,PHW,SF,78,35.7,7.8,19.1,.410,6.2,7.7,.805,6.8,2.6,3.9,21.9,AS
Clyde Lovellette,32,STL,C,40,29.8,8.5,18.1,.471,3.9,4.7,.829,8.8,1.7,3.4,20.9,
Bailey Howell,25,DET,SF,79,36.2,7.0,15.1,.464,5.9,7.7,.768,12.6,2.4,4.0,19.9,AS
Wayne Embry,24,CIN,C,75,35.0,7.5,16.1,.466,4.7,6.9,.690,13.0,2.4,3.8,19.8,AS
Gene Shue,30,DET,PG,80,39.3,7.3,17.8,.408,4.5,5.6,.810,4.7,5.8,2.4,19.0,AS
Bill Russell,27,BOS,C,76,45.2,7.6,16.6,.457,3.8,6.3,.595,23.6,4.5,2.7,18.9,"MVP-1,AS,NBA2"
Sam Jones,28,BOS,SG,78,30.6,7.6,16.5,.464,3.1,3.8,.818,5.9,3.0,1.9,18.4,AS
Lenny Wilkens,24,STL,PG,20,43.5,7.0,18.2,.385,4.2,5.5,.764,6.6,5.8,3.2,18.2,
Rudy LaRusso,24,LAL,PF,80,34.4,6.5,13.9,.466,4.3,5.6,.763,10.4,2.2,3.2,17.2,AS
Don Ohl,25,DET,SG,77,32.8,7.2,16.2,.444,2.6,3.6,.718,3.5,3.2,2.2,17.0,
Lee Shaffer,22,SYR,SF,75,27.8,6.9,15.7,.436,3.2,4.1,.771,6.8,1.3,3.5,16.9,
Dave Gambee,24,SYR,SF,80,28.8,6.0,14.1,.424,4.8,5.9,.817,7.9,1.4,3.4,16.7,
