Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Paul Arizin,23,PHW,SF,66,44.5,8.3,18.5,.448,8.8,10.7,.818,11.3,2.6,3.8,25.4,"AS,NBA1"
George Mikan,27,MNL,C,64,40.2,8.5,22.1,.385,6.8,8.7,.780,13.5,3.0,4.5,23.8,"AS,NBA1"
Bob Cousy,23,BOS,PG,66,40.6,7.8,21.0,.369,6.2,7.7,.808,6.4,6.7,2.9,21.7,"AS,NBA1"
Ed Macauley,23,BOS,C,66,39.9,5.8,13.5,.432,7.5,9.4,.799,8.0,3.5,2.6,19.2,"AS,NBA1"
Bob Davies,32,ROC,PG,65,36.8,5.8,15.2,.383,4.5,5.8,.776,2.9,6.0,4.1,16.2,"AS,NBA1"
Frankie Brian,28,FTW,SG,66,40.5,5.2,14.7,.352,5.6,6.6,.848,3.5,3.5,3.3,15.9,AS
Larry Foust,23,FTW,C,66,39.6,5.9,15.0,.394,4.0,6.0,.678,13.3,3.0,3.7,15.9,"AS,NBA2"
Bobby Wanzer,30,ROC,SG,66,37.8,5.0,11.7,.425,5.7,6.3,.904,5.0,4.0,3.0,15.7,"AS,NBA2"
Arnie Risen,27,ROC,C,66,36.3,5.5,14.0,.394,4.6,6.5,.701,12.7,2.3,3.9,15.6,AS
Jim Pollard,29,MNL,SF,65,39.2,6.3,17.8,.356,2.8,4.0,.704,9.1,3.6,3.1,15.5,"AS,NBA2"
Vern Mikkelsen,23,MNL,PF,66,35.5,5.5,13.1,.419,4.3,5.6,.761,10.3,2.7,4.3,15.3,"AS,NBA2"
Joe Fulks,30,PHW,PF,61,31.2,5.5,17.7,.312,4.1,5.0,.825,6.0,2.0,4.2,15.1,AS
Fred Scolari,29,BLB,PG,64,35.0,4.5,13.5,.334,5.5,6.6,.835,3.3,4.7,3.3,14.6,AS
Fred Schaus,26,FTW,SF,62,41.6,4.5,12.5,.361,5.0,6.0,.833,7.0,4.0,3.6,14.1,
Max Zaslofsky,26,NYK,SG,66,32.0,4.9,14.5,.336,4.3,5.8,.755,2.9,2.4,2.8,14.1,AS
Dolph Schayes,23,SYR,PF,63,31.8,4.2,11.7,.355,5.4,6.7,.807,12.3,2.9,3.4,13.8,"AS,NBA1"
Joe Graboski,22,INO,C,66,37.0,4.8,12.5,.387,4.0,6.0,.667,9.9,2.0,3.8,13.7,
Red Rocha,28,SYR,C,66,38.5,4.5,11.3,.401,3.8,5.0,.770,8.3,1.9,3.8,12.9,AS
Don Barksdale,28,BLB,PF,62,32.5,4.4,13.0,.338,3.8,5.5,.691,9.7,2.2,3.7,12.6,
Leo Barnhorst,27,INO,SF,66,35.5,5.3,13.6,.389,1.8,2.8,.652,6.5,3.9,3.0,12.4,AS
Paul Walther,24,INO,SG,55,34.6,4.0,10.0,.401,4.2,5.6,.750,4.5,2.5,3.1,12.2,AS
Don Otten,30,2TM,C,64,28.0,3.5,9.9,.349,5.0,6.5,.773,6.8,1.9,3.4,12.0,
Andy Phillip,29,PHW,SG,66,44.4,4.2,11.5,.366,3.5,4.7,.753,6.6,8.2,3.3,12.0,"AS,NBA2"
Vince Boryla,24,NYK,SF,42,34.3,4.8,12.4,.387,2.3,2.7,.835,5.2,2.1,2.9,11.9,
Stan Miasek,28,BLB,PF,66,32.9,3.9,10.7,.365,4.0,5.6,.707,9.7,2.1,3.9,11.8,
Dike Eddleman,29,2TM,SF,66,28.8,4.1,12.3,.332,3.1,5.0,.611,4.1,2.0,3.8,11.3,AS
Jack Coleman,27,ROC,PF,66,39.5,4.7,11.2,.415,1.8,2.6,.710,10.5,3.2,3.3,11.2,
Harry Gallatin,24,NYK,PF,66,29.3,3.5,8.0,.442,4.2,5.2,.806,10.0,1.7,3.4,11.2,AS
Dick Mehen,29,MLH,PF,65,35.3,4.5,12.7,.356,1.8,2.6,.701,4.3,2.6,3.2,10.8,
Bill Sharman,25,BOS,SG,63,22.0,3.9,10.0,.389,2.9,3.4,.859,3.5,2.4,2.9,10.7,
Nat Clifton,29,NYK,PF,62,33.9,3.9,11.8,.335,2.7,4.1,.664,11.8,3.4,3.7,10.6,
Bob Lavoy,25,INO,PF,63,29.0,3.8,9.6,.397,2.7,3.5,.753,7.6,1.7,3.3,10.3,
Walt Kirk,27,MLH,PG,11,36.0,2.5,9.2,.277,5.0,7.1,.705,4.0,2.5,4.3,10.1,
