Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
Pete Maravich,29,NOJ,SG,73,,41.7,12.1,28.0,.433,6.9,8.2,.835,1.2,3.9,5.1,5.4,1.2,0.3,2.6,31.1,"MVP-3,AS,NBA1"
Billy Knight,24,IND,SF,78,77,40.0,10.7,21.6,.493,5.3,6.5,.816,2.9,4.6,7.5,3.3,1.5,0.2,2.5,26.6,AS
Kareem Abdul-Jabbar,29,LAL,C,82,82,36.8,10.8,18.7,.579,4.6,6.5,.701,3.2,10.0,13.3,3.9,1.2,3.2,3.2,26.2,"MVP-1,AS,NBA1,DEF2"
David Thompson,22,DEN,SG,82,82,36.6,10.0,19.8,.507,5.8,7.6,.766,1.7,2.4,4.1,4.1,1.4,0.6,2.9,25.9,"MVP-7,AS,NBA1"
Bob McAdoo,25,2TM,C,72,,38.9,10.3,20.1,.512,5.3,7.2,.738,2.8,10.1,12.9,2.8,1.1,1.4,3.6,25.8,AS
Bob Lanier,28,DET,C,64,,38.2,10.6,19.8,.534,4.1,5.0,.818,3.1,8.5,11.6,3.3,1.1,2.0,2.7,25.3,"MVP-4,AS"
John Drew,22,ATL,SF,74,,36.3,9.3,19.1,.487,5.6,7.8,.714,3.8,5.3,9.1,1.8,1.4,0.4,3.7,24.2,
Elvin Hayes,31,WSB,PF,82,,41.0,9.3,18.5,.501,5.1,7.5,.687,3.5,9.0,12.5,1.9,1.1,2.7,3.8,23.7,"MVP-7,AS,NBA1"
George Gervin,24,SAS,SF,82,82,33.0,8.9,16.3,.544,5.4,6.5,.833,1.6,3.9,5.5,2.9,1.3,1.3,3.5,23.1,"MVP-11,AS,NBA2"
Dan Issel,28,DEN,C,79,,31.7,8.4,16.2,.515,5.6,7.1,.797,2.7,6.1,8.8,2.2,1.2,0.4,3.1,22.3,AS
Ron Boone,30,KCK,SG,82,82,36.8,9.1,19.2,.474,4.0,4.7,.844,1.6,2.4,3.9,4.1,1.5,0.2,3.1,22.2,
Larry Kenon,24,SAS,PF,78,,37.6,9.1,18.4,.492,3.8,4.6,.823,3.6,7.7,11.3,2.9,2.1,0.8,2.4,21.9,
Rick Barry,32,GSW,SF,79,,36.8,8.6,19.6,.440,4.5,5.0,.916,0.9,4.4,5.3,6.0,2.2,0.7,2.5,21.8,AS
