Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
George Yardley,29,DET,SF,72,39.5,9.3,22.6,.414,9.1,11.2,.811,10.7,1.3,3.1,27.8,"MVP-3,AS,NBA1"
Dolph Schayes,29,SYR,PF,72,40.5,8.1,20.3,.398,8.7,9.7,.904,14.2,3.1,3.4,24.9,"MVP-2,AS,NBA1"
Bob Pettit,25,STL,PF,70,36.1,8.3,20.3,.410,8.0,10.6,.749,17.4,2.2,3.2,24.6,"MVP-4,AS,NBA1"
Clyde Lovellette,28,CIN,C,71,36.5,9.6,21.7,.441,4.2,5.7,.743,12.1,1.9,3.3,23.4,MVP-12
Bill Sharman,31,BOS,SG,63,35.1,8.7,20.6,.424,4.8,5.4,.893,4.7,2.7,2.5,22.3,"MVP-7,AS,NBA1"
Paul Arizin,29,PHW,SF,68,35.0,7.1,18.1,.393,6.5,8.0,.809,7.4,2.0,3.5,20.7,"MVP-8,AS"
Cliff Hagan,26,STL,SF,70,31.3,7.2,16.2,.443,5.5,7.2,.768,10.1,2.5,3.8,19.9,"MVP-11,AS,NBA2"
Neil Johnston,28,PHW,C,71,33.9,6.7,15.5,.429,6.2,7.6,.819,11.1,2.3,3.3,19.5,"MVP-12,AS"
Kenny Sears,24,NYK,PF,72,37.3,6.2,14.1,.439,6.3,7.6,.822,10.9,1.8,3.5,18.6,"MVP-12,AS"
Willie Naulls,23,NYK,SF,68,34.8,6.9,17.5,.397,4.2,5.1,.826,11.8,1.4,3.2,18.1,AS
Bob Cousy,29,BOS,PG,65,34.2,6.8,19.4,.353,4.3,5.0,.850,5.0,7.1,2.1,18.0,"MVP-6,AS,NBA1"
Tom Heinsohn,23,BOS,PF,69,32.0,6.8,17.8,.382,4.3,5.7,.746,10.2,1.8,4.0,17.8,
Vern Mikkelsen,29,MNL,PF,72,33.2,6.1,14.9,.410,5.1,6.5,.786,11.2,2.3,4.2,17.3,MVP-10
Jack Twyman,23,CIN,SF,72,30.3,6.5,14.3,.452,4.3,5.5,.775,6.4,1.5,3.1,17.2,AS
Maurice Stokes,24,CIN,PF,63,39.0,6.6,18.7,.351,3.8,5.3,.715,18.1,6.4,3.6,16.9,"MVP-5,AS,NBA2"
Larry Foust,29,MNL,C,72,30.6,5.4,13.6,.398,5.9,7.9,.756,12.2,1.5,4.2,16.8,AS
Bill Russell,23,BOS,C,69,38.3,6.6,15.0,.442,3.3,6.4,.519,22.7,2.9,2.6,16.6,"MVP-1,AS,NBA2"
Carl Braun,30,NYK,PG,71,34.9,6.0,14.3,.418,4.5,5.3,.849,4.6,5.5,2.6,16.5,
Richie Guerin,25,NYK,SG,63,37.6,5.5,15.4,.354,5.6,8.1,.691,7.8,5.0,3.2,16.5,AS
Frank Ramsey,26,BOS,SG,69,29.7,5.5,13.0,.419,5.6,6.8,.811,7.3,2.4,3.6,16.5,
Dick Garmaker,25,MNL,SG,68,32.6,5.7,14.5,.395,4.6,6.0,.764,5.4,2.7,2.8,16.1,AS
Gene Shue,26,DET,SG,63,37.0,5.6,14.6,.384,4.4,5.2,.844,5.3,2.7,2.4,15.6,AS
Red Kerr,25,SYR,C,72,33.1,5.7,14.2,.399,3.9,5.9,.664,13.4,1.2,2.7,15.2,
Ed Conlin,24,SYR,SF,60,31.2,5.7,14.6,.391,3.6,4.5,.796,7.3,2.2,2.8,15.0,
Larry Costello,26,SYR,PG,72,38.1,5.3,12.3,.426,4.4,5.3,.847,5.3,4.4,3.4,14.9,AS
Harry Gallatin,30,DET,PF,72,27.6,4.7,12.5,.379,5.4,6.9,.787,10.4,1.2,3.0,14.9,
Ed Macauley,29,STL,C,72,26.5,5.2,12.2,.428,3.7,5.1,.724,6.6,2.0,2.2,14.2,
Tom Gola,25,PHW,SG,59,36.0,5.0,12.1,.415,3.8,5.1,.746,10.8,5.5,3.8,13.8,NBA2
Woody Sauldsberry,23,PHW,PF,71,33.5,5.5,15.2,.360,1.9,3.1,.615,10.3,0.8,3.5,12.8,ROY-1
Joe Graboski,28,PHW,PF,72,28.8,4.7,14.1,.335,3.2,4.2,.749,7.9,1.7,3.5,12.6,
Ray Felix,27,NYK,C,72,23.7,4.2,9.6,.442,3.8,5.4,.697,10.4,0.7,3.9,12.2,
Slater Martin,32,STL,PG,60,35.0,4.3,12.8,.336,3.4,4.6,.746,3.8,3.6,3.1,12.0,"AS,NBA2"
Ron Sobie,23,NYK,PG,55,25.4,3.9,9.8,.403,3.6,4.3,.820,4.8,2.3,2.7,11.5,
Walter Dukes,27,DET,C,72,30.3,3.9,11.1,.349,3.4,5.1,.675,13.3,0.7,4.3,11.2,MVP-9
Slick Leonard,25,MNL,PG,66,31.4,4.0,12.0,.335,3.1,4.1,.765,3.6,3.3,2.2,11.2,
Guy Sparrow,25,NYK,SF,72,23.1,4.4,11.6,.379,2.3,3.6,.642,6.4,1.0,3.2,11.1,
Ernie Beck,26,PHW,SG,71,27.8,3.8,9.6,.398,2.4,2.9,.837,4.3,2.7,2.4,10.1,
Jim Paxson,25,CIN,SG,67,26.8,3.4,9.5,.352,3.1,4.3,.733,5.2,2.1,2.7,9.8,
George King,29,CIN,PG,63,36.1,3.7,10.2,.364,2.2,3.6,.617,4.9,5.3,2.0,9.7,
Dick Schnittker,29,MNL,SF,50,19.6,2.6,7.1,.359,4.0,4.7,.848,4.2,1.4,2.5,9.1,
Jack George,29,PHW,PG,72,26.5,3.2,8.7,.370,2.5,3.4,.736,4.0,3.3,1.9,8.9,
Ed Fleming,24,MNL,SF,72,23.4,3.1,9.1,.345,2.5,3.5,.710,6.8,1.9,3.1,8.8,
Togo Palazzi,25,SYR,SF,67,14.9,3.4,8.6,.394,1.8,2.6,.719,3.6,0.6,1.9,8.6,
Chuck Share,30,STL,C,72,25.3,3.0,7.6,.396,2.6,4.1,.648,10.4,1.8,3.9,8.6,
Al Bianchi,25,SYR,SG,69,20.6,3.1,9.1,.344,2.0,3.0,.683,3.2,1.7,2.7,8.3,
Bo Erias,25,MNL,SF,18,22.3,3.3,9.4,.347,1.7,2.6,.638,4.6,1.4,2.9,8.2,
Bob Hopkins,23,SYR,PF,69,17.7,3.2,8.0,.399,1.8,2.3,.764,5.7,0.7,2.3,8.2,
Dick McGuire,32,DET,PG,69,33.5,2.9,7.9,.373,2.2,3.3,.667,4.2,6.6,2.6,8.1,AS
Jack McMahon,29,STL,SG,72,31.1,3.0,10.0,.300,1.9,3.1,.606,2.7,4.6,2.6,7.9,
Phil Jordon,24,2TM,C,58,15.5,3.3,8.1,.413,1.1,1.6,.688,5.2,0.6,1.9,7.8,
Jim Krebs,22,MNL,C,68,18.5,2.9,7.8,.378,2.0,2.6,.767,7.4,0.4,2.7,7.8,
Dick Ricketts,24,CIN,PF,72,22.5,3.0,9.2,.324,1.8,2.7,.673,5.7,1.6,3.8,7.8,
Win Wilfong,24,STL,PG,71,19.2,2.8,7.6,.361,2.3,3.4,.685,4.1,2.3,2.8,7.8,
Nat Clifton,35,DET,PF,68,21.1,3.2,8.8,.363,1.3,2.1,.623,5.9,1.1,3.0,7.7,
Lou Tsioropoulos,27,BOS,SF,70,26.0,2.8,8.9,.317,2.0,3.0,.686,6.2,1.6,3.5,7.7,
Jack Coleman,33,STL,PF,72,20.9,3.2,7.8,.413,1.2,1.8,.641,6.7,1.6,2.3,7.6,
Bob Houbregs,25,DET,PF,17,17.8,2.9,8.1,.358,1.8,2.5,.698,3.8,1.1,2.1,7.5,
Billy Kenville,27,DET,SG,35,18.5,3.0,8.0,.379,1.3,2.1,.613,2.9,1.9,1.9,7.4,
Chuck Noble,26,DET,SG,61,22.3,3.3,9.9,.331,0.9,1.3,.727,2.3,2.5,2.7,7.4,
Charlie Tyra,22,NYK,C,68,17.4,2.6,7.2,.357,2.2,3.3,.670,7.1,0.5,2.6,7.4,
Richie Regan,27,CIN,SG,72,22.9,2.8,7.9,.355,1.7,2.4,.698,2.4,2.6,2.4,7.3,
Bob Harrison,30,SYR,SG,72,25.0,2.9,8.4,.348,1.3,1.7,.795,2.3,2.3,2.8,7.2,
Hot Rod Hundley,23,MNL,PG,65,17.8,2.7,8.4,.318,1.6,2.5,.642,2.9,1.9,1.5,7.0,
Mel Hutchins,29,NYK,PF,18,21.3,2.8,7.3,.389,1.3,2.4,.558,4.8,1.9,1.7,7.0,
Corky Devlin,26,MNL,SG,70,17.8,2.4,7.0,.348,1.9,2.5,.773,1.9,2.4,1.5,6.8,
Art Spoelstra,25,2TM,,67,19.5,2.4,6.3,.384,1.9,2.8,.679,5.0,0.9,3.4,6.7,
Arnie Risen,33,BOS,C,63,17.8,2.1,6.3,.338,1.8,2.7,.683,5.7,0.8,3.1,6.1,
Jack Nichols,31,BOS,PF,69,17.7,2.5,7.0,.351,0.9,1.2,.738,4.4,0.9,1.8,5.8,
Dave Piontek,23,CIN,SF,71,14.5,2.1,5.6,.378,1.3,2.1,.629,3.6,0.7,1.9,5.6,
Med Park,24,STL,SG,71,15.5,1.9,5.1,.366,1.7,2.3,.728,2.6,1.1,1.5,5.4,
Earl Lloyd,29,SYR,SF,61,17.1,2.0,5.9,.331,1.3,1.7,.745,4.7,1.0,2.9,5.2,
Monk Meineke,27,CIN,PF,67,11.8,1.9,5.2,.356,1.1,1.8,.647,3.4,0.6,2.3,4.9,
Joe Holup,23,2TM,SF,53,14.0,1.7,5.2,.327,1.3,1.8,.755,4.2,0.7,1.9,4.8,
Sam Jones,24,BOS,SG,56,10.6,1.8,4.2,.429,1.1,1.5,.714,2.9,0.7,0.8,4.6,
Jim Loscutoff,27,BOS,SF,5,11.2,2.2,6.2,.355,0.2,0.6,.333,4.0,0.2,1.6,4.6,
George Dempsey,28,PHW,PG,67,15.6,1.7,4.6,.360,1.0,1.6,.667,3.2,1.9,1.7,4.4,
Lennie Rosenbluth,25,PHW,SF,53,7.0,1.7,5.0,.343,1.0,1.6,.631,1.7,0.4,0.7,4.4,
Paul Seymour,30,SYR,PG,64,11.9,1.7,4.9,.340,0.8,1.0,.841,1.7,1.5,1.4,4.2,
Tom Marshall,27,2TM,SF,38,13.6,1.4,4.4,.313,1.3,1.7,.762,2.7,0.5,1.1,4.0,
Larry Friend,22,NYK,SG,44,12.9,1.7,5.1,.327,0.6,0.9,.659,2.4,1.1,1.2,4.0,
Bob Burrow,23,MNL,C,14,12.2,1.6,5.0,.314,0.8,2.4,.333,4.6,0.4,1.1,3.9,
Dick Duckett,24,CIN,PG,34,12.5,1.6,4.6,.342,0.7,0.8,.889,1.6,1.4,1.8,3.9,
Walt Davis,27,2TM,PF,61,10.9,1.4,4.0,.348,1.0,1.3,.744,2.9,0.5,2.3,3.8,
Bill Thieben,22,DET,PF,27,9.0,1.6,5.3,.294,0.6,1.0,.593,2.4,0.3,1.6,3.7,
Frank Selvy,25,2TM,,38,11.2,1.2,4.4,.263,1.2,2.0,.610,2.3,0.9,1.2,3.6,
Andy Phillip,35,BOS,PG,70,16.6,1.4,3.9,.355,0.6,1.0,.592,2.3,1.7,1.7,3.4,
Jerry Paulson,22,CIN,,6,11.3,1.3,3.8,.348,0.7,1.0,.667,1.7,0.7,0.8,3.3,
McCoy Ingram,26,MNL,PF,24,11.1,1.1,4.3,.262,0.5,1.2,.464,4.8,0.8,1.8,2.8,
Pat Dunn,26,PHW,SG,28,7.4,1.0,3.2,.311,0.5,0.6,.824,1.1,1.0,0.7,2.5,
Dick Atha,26,DET,SG,18,8.9,0.9,2.6,.362,0.6,0.7,.833,1.3,1.1,1.3,2.4,
Jim Walsh,27,PHW,,10,7.2,0.5,2.7,.185,1.0,1.7,.588,1.5,0.8,0.9,2.0,
Bill Ebben,22,DET,,8,6.3,0.8,3.5,.214,0.4,0.5,.750,1.0,0.5,0.6,1.9,
Brendan McCann,22,NYK,PG,36,8.2,0.6,2.8,.220,0.7,1.0,.676,1.3,1.5,0.9,1.9,
Worthy Patterson,26,STL,,4,3.3,0.8,2.0,.375,0.3,0.5,.500,0.5,0.5,0.8,1.8,
Red Morrison,25,STL,C,13,6.1,0.7,2.0,.346,0.2,0.3,.750,2.0,0.0,0.9,1.6,
